X	Y
343.000	191.000
343.177	189.202
343.893	187.722
345.045	186.460
346.530	185.318
348.245	184.203
350.106	183.087
352.031	181.974
353.944	180.871
355.765	179.785
357.417	178.721
358.876	177.691
360.226	176.715
361.559	175.816
362.969	175.015
364.531	174.318
366.237	173.657
368.060	172.947
369.971	172.102
371.942	171.035
373.947	169.686
375.967	168.103
377.985	166.365
379.984	164.548
381.948	162.733
383.859	160.995
385.701	159.413
387.469	158.006
389.172	156.722
390.821	155.500
392.425	154.281
393.995	153.004
395.542	151.631
397.075	150.204
398.602	148.786
400.134	147.440
401.679	146.227
403.246	145.198
404.839	144.289
406.463	143.387
408.121	142.378
409.815	141.150
411.548	139.619
413.313	137.862
415.103	136.015
416.908	134.212
418.719	132.587
420.529	131.274
422.328	130.386
424.102	129.819
425.835	129.363
427.512	128.801
429.116	127.919
430.644	126.579
432.126	124.887
433.603	122.997
435.112	121.064
436.693	119.243
438.385	117.687
440.201	116.473
442.099	115.514
444.029	114.705
445.944	113.937
447.793	113.105
449.540	112.116
451.204	110.964
452.829	109.675
454.456	108.271
456.128	106.778
457.885	105.220
459.734	103.620
461.647	101.999
463.594	100.377
465.547	98.777
467.475	97.219
469.349	95.723
471.156	94.306
472.921	92.967
474.675	91.706
476.450	90.520
478.274	89.410
480.177	88.371
482.149	87.379
484.149	86.392
486.140	85.369
488.082	84.268
489.936	83.046
491.672	81.674
493.308	80.172
494.870	78.574
496.390	76.914
497.895	75.227
499.415	73.548
500.973	71.901
502.583	70.296
504.261	68.740
506.019	67.240
507.872	65.804
509.832	64.439
511.885	63.146
513.982	61.919
516.074	60.749
518.109	59.630
520.037	58.555
521.811	57.517
523.440	56.503
525.001	55.499
526.573	54.489
528.234	53.457
530.059	52.388
532.050	51.292
534.146	50.199
536.286	49.138
538.410	48.138
540.454	47.231
542.365	46.443
544.147	45.758
545.837	45.141
547.473	44.555
549.094	43.965
550.732	43.344
552.403	42.698
554.119	42.042
555.891	41.389
557.732	40.753
559.637	40.141
561.586	39.550
563.554	38.977
565.518	38.418
567.454	37.872
569.358	37.344
571.259	36.861
573.194	36.454
575.197	36.153
577.303	35.986
579.526	35.968
581.826	36.075
584.151	36.273
586.451	36.533
588.676	36.820
590.775	37.106
592.703	37.401
594.421	37.777
595.891	38.306
597.075	39.064
597.950	40.103
598.543	41.403
598.891	42.932
599.029	44.655
598.993	46.522
598.815	48.459
598.530	50.391
598.171	52.241
597.771	53.940
597.389	55.493
597.100	56.969
596.984	58.442
597.111	59.979
597.468	61.589
597.983	63.238
598.583	64.895
599.196	66.524
599.793	68.114
600.415	69.685
601.111	71.263
601.928	72.870
602.904	74.522
604.019	76.189
605.237	77.826
606.521	79.387
607.834	80.829
609.131	82.126
610.315	83.372
611.269	84.705
611.877	86.262
612.031	88.165
611.734	90.296
611.080	92.348
610.165	94.008
609.086	94.965
607.975	95.062
607.148	94.938
606.941	95.418
607.260	96.643
607.739	98.311
608.003	100.112
607.786	101.807
607.167	103.399
606.296	104.936
605.326	106.469
604.399	108.045
603.540	109.650
602.699	111.239
601.827	112.763
600.871	114.172
599.817	115.448
598.745	116.649
597.752	117.849
596.937	119.119
596.349	120.508
595.901	121.996
595.475	123.545
594.954	125.120
594.257	126.692
593.410	128.252
592.462	129.795
591.460	131.316
590.453	132.812
589.477	134.298
588.558	135.807
587.721	137.371
586.991	139.024
586.379	140.789
585.842	142.658
585.322	144.612
584.762	146.633
584.105	148.702
583.310	150.802
582.433	152.922
581.567	155.049
580.807	157.175
580.246	159.288
579.977	161.377
580.032	163.434
580.297	165.453
580.635	167.428
580.913	169.354
580.995	171.226
580.784	173.039
580.294	174.795
579.555	176.492
578.599	178.133
577.456	179.719
576.170	181.260
574.794	182.778
573.383	184.293
571.992	185.829
570.674	187.407
569.454	189.029
568.293	190.665
567.149	192.279
565.977	193.834
564.733	195.295
563.397	196.655
561.996	197.972
560.564	199.310
559.136	200.734
557.744	202.309
556.401	204.051
555.064	205.864
553.686	207.636
552.216	209.255
550.607	210.609
548.812	211.594
546.835	212.224
544.711	212.589
542.473	212.781
540.159	212.891
537.804	213.013
535.437	213.214
533.071	213.492
530.716	213.830
528.382	214.211
526.080	214.618
523.817	215.034
521.601	215.444
519.423	215.839
517.275	216.213
515.146	216.557
513.027	216.866
510.907	217.131
508.779	217.354
506.635	217.543
504.471	217.708
502.278	217.856
500.050	217.997
497.786	218.138
495.499	218.287
493.211	218.447
490.942	218.624
488.711	218.824
486.538	219.052
484.432	219.302
482.369	219.551
480.324	219.768
478.272	219.927
476.187	219.999
474.048	219.962
471.855	219.834
469.612	219.643
467.326	219.416
465.003	219.182
462.647	218.971
460.269	218.805
457.883	218.697
455.507	218.657
453.158	218.695
450.852	218.822
448.606	219.048
446.436	219.359
444.357	219.685
442.383	219.948
440.527	220.071
438.803	219.975
437.209	219.645
435.700	219.249
434.222	218.983
432.722	219.044
431.167	219.526
429.572	220.279
427.960	221.120
426.353	221.866
424.767	222.357
423.181	222.618
421.552	222.762
419.838	222.903
417.998	223.151
416.031	223.526
413.970	223.966
411.851	224.407
409.709	224.786
407.578	225.037
405.480	225.132
403.406	225.117
401.343	225.050
399.277	224.990
397.196	224.994
395.091	225.107
392.975	225.305
390.871	225.543
388.799	225.775
386.782	225.954
384.838	226.038
382.958	226.035
381.107	225.993
379.252	225.960
377.357	225.985
375.395	226.108
373.366	226.310
371.287	226.546
369.174	226.774
367.043	226.948
364.911	227.025
362.802	226.987
360.749	226.839
358.785	226.585
356.945	226.233
355.258	225.787
353.723	225.235
352.294	224.548
350.923	223.694
349.566	222.641
348.224	221.397
346.973	220.027
345.900	218.602
345.089	217.193
344.617	215.862
344.519	214.605
344.812	213.396
345.501	212.206
346.425	210.960
347.316	209.557
347.904	207.893
347.934	205.873
347.385	203.513
346.453	200.937
345.344	198.272
344.263	195.643
343.413	193.176
343.000	191.000
