X	Y
347.000	215.000
347.862	214.238
349.471	214.071
351.728	214.335
354.536	214.864
357.797	215.492
361.413	216.054
365.298	216.428
369.401	216.620
373.678	216.660
378.084	216.576
382.575	216.397
387.105	216.152
391.630	215.870
396.105	215.580
400.485	215.310
404.727	215.090
408.785	214.948
412.638	214.900
416.285	214.947
419.730	215.090
422.975	215.331
426.023	215.669
428.877	216.106
431.538	216.642
434.011	217.277
436.329	217.993
438.563	218.742
440.787	219.480
443.075	220.159
445.499	220.733
448.133	221.157
450.987	221.415
454.000	221.535
457.106	221.542
460.238	221.463
463.329	221.328
466.312	221.162
469.122	220.993
471.716	220.846
474.139	220.740
476.455	220.690
478.727	220.713
481.019	220.825
483.395	221.043
485.887	221.378
488.458	221.831
491.055	222.399
493.628	223.082
496.125	223.877
498.496	224.784
500.696	225.798
502.726	226.894
504.612	228.041
506.378	229.202
508.048	230.346
509.648	231.439
511.220	232.452
512.828	233.368
514.536	234.168
516.411	234.834
518.501	235.351
520.697	235.756
522.802	236.116
524.615	236.497
525.935	236.964
526.633	237.594
526.923	238.505
527.119	239.821
527.418	241.501
527.927	243.372
528.747	245.257
529.982	246.980
531.684	248.408
533.697	249.587
535.809	250.614
537.810	251.583
539.489	252.588
540.655	253.718
541.399	254.986
542.019	256.345
542.817	257.750
544.044	259.157
545.607	260.561
547.264	261.968
548.775	263.385
549.899	264.820
550.445	266.283
550.509	267.792
550.292	269.371
549.993	271.043
549.767	272.819
549.592	274.651
549.407	276.483
549.151	278.256
548.769	279.915
548.327	281.468
547.991	282.977
547.933	284.503
548.302	286.106
549.017	287.794
549.858	289.546
550.599	291.342
551.018	293.161
550.947	294.958
550.391	296.618
549.387	298.012
547.974	299.013
546.225	299.559
544.354	299.859
542.608	300.181
541.233	300.794
540.446	301.931
540.213	303.529
540.383	305.386
540.804	307.295
541.323	309.063
541.797	310.652
542.093	312.140
542.074	313.608
541.622	315.121
540.771	316.600
539.635	317.891
538.327	318.840
536.974	319.331
535.785	319.582
535.017	319.978
534.830	320.836
534.976	322.167
535.087	323.899
534.805	325.957
534.007	328.189
532.835	330.358
531.445	332.219
529.995	333.531
528.642	334.054
527.434	333.807
526.232	333.277
524.874	333.000
523.271	333.362
521.563	334.285
519.931	335.604
518.557	337.152
517.616	338.763
517.083	340.344
516.726	341.872
516.300	343.331
515.568	344.701
514.448	345.935
513.003	346.958
511.304	347.695
509.422	348.071
507.413	348.083
505.315	347.850
503.163	347.504
500.994	347.175
498.842	346.995
496.742	347.059
494.730	347.353
492.839	347.839
491.103	348.480
489.557	349.238
488.189	350.065
486.918	350.895
485.653	351.663
484.306	352.302
482.841	352.765
481.277	353.025
479.631	353.054
477.924	352.833
476.194	352.457
474.488	352.101
472.855	351.940
471.342	352.147
469.929	352.742
468.524	353.571
467.027	354.472
465.341	355.284
463.434	355.918
461.359	356.387
459.179	356.712
456.953	356.911
454.743	357.006
452.590	357.021
450.483	356.990
448.397	356.951
446.312	356.938
444.205	356.990
442.063	357.128
439.926	357.289
437.851	357.386
435.894	357.330
434.113	357.031
432.545	356.424
431.131	355.554
429.783	354.501
428.414	353.343
426.941	352.157
425.364	350.965
423.723	349.766
422.061	348.553
420.420	347.324
418.838	346.076
417.322	344.813
415.859	343.546
414.438	342.286
413.048	341.043
411.679	339.819
410.336	338.584
409.026	337.296
407.757	335.913
406.535	334.398
405.346	332.775
404.150	331.155
402.901	329.657
401.557	328.398
400.079	327.485
398.515	326.837
396.974	326.239
395.570	325.471
394.407	324.323
393.484	322.775
392.701	320.980
391.956	319.095
391.144	317.277
390.180	315.662
389.075	314.240
387.887	312.941
386.669	311.695
385.475	310.433
384.327	309.121
383.202	307.762
382.081	306.362
380.941	304.926
379.761	303.470
378.521	302.047
377.204	300.717
375.792	299.540
374.266	298.573
372.646	297.808
370.989	297.165
369.354	296.559
367.800	295.908
366.371	295.139
365.071	294.216
363.897	293.106
362.845	291.779
361.921	290.227
361.143	288.506
360.534	286.680
360.117	284.817
359.909	282.978
359.828	281.205
359.708	279.515
359.381	277.927
358.682	276.459
357.574	275.101
356.199	273.813
354.713	272.549
353.271	271.264
352.011	269.920
350.952	268.517
350.058	267.076
349.293	265.617
348.623	264.159
348.034	262.693
347.534	261.189
347.127	259.616
346.817	257.946
346.542	256.190
346.201	254.388
345.687	252.581
344.897	250.809
343.796	249.100
342.547	247.439
341.351	245.806
340.409	244.179
339.919	242.537
339.967	240.874
340.430	239.207
341.167	237.555
342.034	235.939
342.921	234.377
343.828	232.891
344.780	231.498
345.803	230.220
346.901	229.059
347.935	227.904
348.702	226.592
349.000	224.962
348.717	222.926
348.075	220.665
347.374	218.426
346.915	216.455
347.000	215.000
