X	Y
368.000	117.000
369.648	115.981
371.319	115.287
373.007	114.732
374.701	114.126
376.396	113.307
378.095	112.283
379.808	111.137
381.545	109.950
383.314	108.805
385.124	107.763
386.980	106.835
388.887	106.025
390.849	105.337
392.870	104.775
394.939	104.298
397.022	103.815
399.086	103.231
401.096	102.453
403.022	101.391
404.864	100.089
406.654	98.705
408.423	97.402
410.204	96.345
412.028	95.687
413.895	95.398
415.777	95.296
417.646	95.190
419.477	94.893
421.257	94.299
423.009	93.459
424.757	92.439
426.528	91.307
428.342	90.133
430.175	89.007
431.981	88.034
433.715	87.317
435.330	86.959
436.818	86.955
438.258	87.070
439.736	87.039
441.328	86.634
443.038	85.872
444.835	84.877
446.688	83.772
448.570	82.677
450.459	81.674
452.354	80.772
454.251	79.972
456.151	79.276
458.050	78.687
459.939	78.188
461.799	77.747
463.610	77.332
465.356	76.911
467.039	76.461
468.708	75.980
470.421	75.470
472.233	74.931
474.177	74.365
476.218	73.771
478.313	73.152
480.415	72.509
482.479	71.841
484.488	71.160
486.479	70.492
488.494	69.866
490.578	69.311
492.772	68.855
495.079	68.496
497.436	68.182
499.775	67.858
502.031	67.469
504.135	66.961
506.051	66.307
507.838	65.572
509.577	64.839
511.347	64.193
513.224	63.712
515.236	63.401
517.381	63.214
519.652	63.106
522.045	63.030
524.554	62.943
527.137	62.824
529.728	62.672
532.261	62.488
534.669	62.269
536.885	62.015
538.868	61.731
540.693	61.448
542.472	61.202
544.316	61.034
546.326	60.976
548.514	61.008
550.825	61.075
553.204	61.118
555.596	61.082
557.946	60.911
560.236	60.595
562.489	60.187
564.732	59.742
566.993	59.315
569.298	58.961
571.667	58.721
574.093	58.597
576.569	58.583
579.084	58.673
581.630	58.861
584.197	59.142
586.766	59.511
589.306	59.966
591.785	60.502
594.171	61.117
596.435	61.808
598.544	62.575
600.481	63.446
602.230	64.468
603.779	65.686
605.113	67.145
606.228	68.866
607.150	70.802
607.909	72.891
608.536	75.069
609.061	77.276
609.514	79.465
609.916	81.638
610.288	83.803
610.651	85.968
611.025	88.142
611.425	90.330
611.838	92.523
612.249	94.709
612.643	96.875
613.002	99.011
613.313	101.110
613.572	103.184
613.777	105.252
613.924	107.332
614.014	109.442
614.048	111.584
614.045	113.727
614.024	115.835
614.004	117.871
614.003	119.800
614.022	121.617
614.038	123.350
614.028	125.033
613.967	126.696
613.826	128.347
613.570	129.964
613.164	131.526
612.582	133.011
611.914	134.436
611.320	135.837
610.961	137.250
610.904	138.699
610.987	140.181
611.018	141.684
610.823	143.202
610.387	144.745
609.764	146.331
609.012	147.975
608.179	149.683
607.281	151.399
606.326	153.050
605.322	154.567
604.275	155.885
603.189	157.028
602.062	158.071
600.894	159.092
599.680	160.144
598.406	161.208
597.056	162.255
595.616	163.253
594.079	164.193
592.463	165.103
590.785	166.016
589.064	166.964
587.316	167.964
585.551	168.963
583.776	169.886
581.999	170.659
580.225	171.210
578.463	171.542
576.717	171.739
574.996	171.893
573.304	172.094
571.626	172.366
569.920	172.655
568.141	172.899
566.246	173.039
564.228	173.063
562.125	173.022
559.981	172.974
557.839	172.974
555.737	173.075
553.676	173.273
551.624	173.520
549.550	173.768
547.421	173.970
545.210	174.084
542.931	174.117
540.614	174.097
538.289	174.052
535.987	174.010
533.737	173.998
531.539	174.017
529.368	174.044
527.199	174.056
525.009	174.030
522.773	173.945
520.492	173.799
518.187	173.608
515.879	173.389
513.591	173.159
511.344	172.936
509.145	172.728
506.973	172.530
504.808	172.338
502.626	172.145
500.407	171.946
498.141	171.740
495.844	171.533
493.537	171.335
491.239	171.154
488.969	170.998
486.745	170.877
484.581	170.805
482.489	170.799
480.482	170.875
478.573	171.049
476.783	171.347
475.151	171.812
473.719	172.492
472.526	173.430
471.511	174.577
470.484	175.769
469.253	176.837
467.652	177.634
465.712	178.170
463.549	178.524
461.280	178.774
459.020	178.998
456.858	179.255
454.779	179.525
452.737	179.766
450.687	179.939
448.587	180.002
446.422	179.949
444.245	179.854
442.120	179.799
440.110	179.867
438.276	180.139
436.618	180.569
435.058	180.948
433.512	181.058
431.901	180.703
430.203	179.920
428.431	178.895
426.597	177.817
424.715	176.874
422.807	176.170
420.922	175.594
419.112	175.003
417.430	174.252
415.920	173.213
414.551	171.913
413.247	170.463
411.936	168.976
410.543	167.565
409.021	166.295
407.366	165.163
405.579	164.158
403.661	163.269
401.613	162.483
399.470	161.764
397.287	161.058
395.118	160.312
393.019	159.476
391.042	158.497
389.184	157.397
387.383	156.265
385.579	155.193
383.707	154.276
381.714	153.594
379.670	153.076
377.727	152.545
376.042	151.821
374.769	150.725
373.995	149.175
373.657	147.297
373.675	145.243
373.966	143.167
374.435	141.201
374.905	139.378
375.176	137.696
375.046	136.155
374.367	134.750
373.289	133.442
372.062	132.181
370.935	130.918
370.064	129.631
369.282	128.396
368.361	127.303
367.103	126.431
365.679	125.671
364.485	124.800
363.920	123.596
364.173	121.995
365.074	120.207
366.418	118.463
368.000	117.000
