X	Y
377.000	146.000
379.593	145.450
382.642	145.376
385.996	145.683
389.503	146.276
393.011	147.061
396.367	147.943
399.419	148.826
402.041	149.627
404.293	150.360
406.321	151.078
408.274	151.836
410.298	152.691
412.530	153.692
414.997	154.853
417.652	156.158
420.450	157.593
423.344	159.143
426.288	160.795
429.235	162.533
432.143	164.342
435.004	166.196
437.831	168.060
440.634	169.904
443.427	171.694
446.220	173.397
449.026	174.981
451.856	176.414
454.691	177.691
457.459	178.853
460.084	179.944
462.489	181.011
464.598	182.099
466.335	183.254
467.701	184.492
468.864	185.775
470.012	187.053
471.334	188.279
472.894	189.439
474.509	190.584
475.963	191.774
477.043	193.070
477.645	194.500
478.050	195.987
478.622	197.430
479.704	198.732
481.342	199.876
483.336	200.904
485.479	201.861
487.564	202.791
489.406	203.737
490.994	204.712
492.399	205.715
493.695	206.746
494.945	207.807
496.138	208.902
497.230	210.045
498.174	211.243
498.984	212.487
499.811	213.710
500.825	214.845
502.164	215.835
503.776	216.730
505.535	217.615
507.316	218.578
509.000	219.700
510.580	220.996
512.134	222.430
513.742	223.963
515.485	225.555
517.431	227.172
519.528	228.794
521.662	230.410
523.715	232.010
525.571	233.585
527.113	235.126
528.285	236.628
529.222	238.109
530.093	239.592
531.069	241.098
532.263	242.647
533.600	244.259
534.967	245.951
536.248	247.741
537.331	249.646
538.147	251.664
538.700	253.761
538.999	255.901
539.053	258.047
538.870	260.164
538.454	262.200
537.801	264.097
536.911	265.796
535.781	267.235
534.448	268.406
533.043	269.413
531.712	270.380
530.596	271.427
529.707	272.596
528.883	273.828
527.953	275.055
526.793	276.219
525.459	277.306
524.045	278.311
522.644	279.229
521.297	280.069
519.948	280.877
518.532	281.697
516.986	282.573
515.329	283.507
513.631	284.469
511.963	285.431
510.396	286.365
508.953	287.250
507.596	288.079
506.284	288.843
504.973	289.535
503.606	290.149
502.124	290.682
500.464	291.129
498.625	291.516
496.698	291.909
494.782	292.383
492.979	293.009
491.359	293.836
489.874	294.821
488.450	295.895
487.010	296.993
485.492	298.055
483.889	299.056
482.209	299.979
480.458	300.806
478.644	301.521
476.786	302.111
474.906	302.570
473.029	302.888
471.177	303.057
469.394	303.099
467.742	303.065
466.286	303.010
465.068	302.982
463.960	302.986
462.755	303.004
461.316	303.021
459.675	303.028
457.887	303.016
456.007	302.975
454.083	302.921
452.159	302.891
450.281	302.921
448.491	303.049
446.804	303.239
445.186	303.334
443.596	303.166
441.999	302.582
440.400	301.686
438.839	300.760
437.355	300.093
435.979	299.923
434.666	300.053
433.336	300.063
431.914	299.585
430.397	298.709
428.813	297.757
427.194	297.052
425.567	296.847
423.936	296.969
422.296	297.100
420.644	296.920
418.975	296.279
417.288	295.398
415.581	294.539
413.852	293.969
412.101	293.842
410.333	293.969
408.556	294.094
406.777	293.960
404.999	293.407
403.219	292.530
401.432	291.471
399.633	290.369
397.818	289.361
395.990	288.504
394.156	287.807
392.323	287.276
390.498	286.918
388.716	286.659
387.057	286.282
385.606	285.553
384.444	284.252
383.547	282.405
382.790	280.278
382.044	278.148
381.182	276.290
380.100	274.928
378.892	273.907
377.730	272.911
376.789	271.626
376.151	269.894
375.729	267.857
375.416	265.692
375.104	263.575
374.697	261.663
374.197	259.940
373.661	258.287
373.151	256.584
372.718	254.723
372.342	252.718
371.960	250.661
371.505	248.646
370.912	246.764
370.141	245.065
369.224	243.471
368.205	241.885
367.129	240.209
366.042	238.367
365.010	236.404
364.102	234.410
363.388	232.474
362.940	230.683
362.778	229.065
362.813	227.502
362.939	225.859
363.051	224.001
363.105	221.907
363.111	219.654
363.081	217.326
363.028	215.005
362.964	212.772
362.905	210.638
362.874	208.559
362.891	206.488
362.976	204.379
363.146	202.192
363.374	199.947
363.618	197.690
363.836	195.464
363.986	193.312
364.028	191.270
363.943	189.302
363.716	187.351
363.337	185.355
362.792	183.257
362.161	181.070
361.651	178.916
361.482	176.926
361.874	175.230
362.996	173.925
364.691	172.905
366.677	171.977
368.669	170.951
370.384	169.638
371.642	167.947
372.470	165.984
372.917	163.875
373.031	161.749
372.867	159.724
372.536	157.818
372.193	155.976
371.989	154.141
372.079	152.259
372.572	150.360
373.523	148.584
374.982	147.081
377.000	146.000
