X	Y
28.879	18.190
28.875	18.056
28.922	17.924
29.008	17.791
29.120	17.653
29.247	17.509
29.376	17.354
29.498	17.186
29.610	17.006
29.715	16.817
29.815	16.622
29.914	16.424
30.012	16.226
30.113	16.030
30.220	15.840
30.334	15.658
30.454	15.486
30.580	15.320
30.709	15.161
30.838	15.007
30.967	14.857
31.092	14.709
31.211	14.563
31.325	14.418
31.433	14.277
31.540	14.142
31.646	14.018
31.756	13.907
31.870	13.812
31.992	13.735
32.118	13.672
32.242	13.614
32.361	13.553
32.467	13.478
32.557	13.384
32.633	13.269
32.702	13.142
32.772	13.007
32.850	12.873
32.943	12.744
33.055	12.627
33.185	12.519
33.328	12.417
33.480	12.319
33.637	12.222
33.795	12.124
33.950	12.021
34.102	11.913
34.251	11.801
34.399	11.684
34.549	11.563
34.702	11.440
34.861	11.315
35.026	11.187
35.199	11.059
35.378	10.930
35.561	10.801
35.745	10.673
35.929	10.546
36.110	10.422
36.285	10.300
36.453	10.181
36.612	10.066
36.765	9.955
36.914	9.846
37.063	9.739
37.215	9.634
37.374	9.528
37.542	9.423
37.723	9.317
37.916	9.210
38.115	9.103
38.317	8.996
38.517	8.889
38.712	8.784
38.897	8.680
39.068	8.578
39.222	8.479
39.359	8.382
39.482	8.289
39.596	8.199
39.704	8.112
39.812	8.029
39.923	7.949
40.038	7.873
40.158	7.797
40.285	7.720
40.420	7.642
40.564	7.560
40.717	7.473
40.880	7.382
41.053	7.287
41.236	7.188
41.429	7.086
41.634	6.982
41.849	6.875
42.076	6.766
42.312	6.656
42.554	6.544
42.799	6.433
43.043	6.321
43.282	6.210
43.514	6.100
43.733	5.993
43.937	5.888
44.121	5.786
44.284	5.687
44.430	5.593
44.565	5.504
44.694	5.421
44.825	5.344
44.962	5.275
45.113	5.214
45.278	5.160
45.453	5.111
45.638	5.065
45.829	5.021
46.024	4.977
46.221	4.931
46.418	4.882
46.613	4.829
46.806	4.776
46.997	4.723
47.185	4.673
47.369	4.628
47.550	4.590
47.726	4.561
47.898	4.542
48.068	4.531
48.238	4.529
48.408	4.535
48.580	4.547
48.757	4.565
48.940	4.587
49.126	4.614
49.313	4.642
49.497	4.670
49.675	4.697
49.845	4.722
50.003	4.742
50.147	4.757
50.284	4.772
50.422	4.792
50.567	4.822
50.728	4.867
50.912	4.933
51.117	5.020
51.327	5.122
51.522	5.229
51.681	5.333
51.786	5.427
51.817	5.502
51.758	5.551
51.633	5.581
51.483	5.607
51.354	5.643
51.286	5.705
51.302	5.798
51.372	5.913
51.461	6.036
51.534	6.156
51.555	6.259
51.523	6.347
51.461	6.430
51.395	6.522
51.350	6.634
51.335	6.759
51.352	6.886
51.404	7.001
51.493	7.089
51.613	7.147
51.751	7.188
51.887	7.226
52.005	7.276
52.088	7.353
52.132	7.463
52.151	7.596
52.165	7.743
52.192	7.891
52.250	8.031
52.351	8.155
52.487	8.265
52.648	8.365
52.821	8.458
52.997	8.547
53.164	8.637
53.311	8.731
53.430	8.833
53.520	8.942
53.582	9.061
53.615	9.189
53.620	9.330
53.596	9.479
53.542	9.629
53.459	9.768
53.345	9.885
53.201	9.970
53.024	10.012
52.822	10.012
52.604	9.983
52.383	9.941
52.171	9.900
51.979	9.874
51.820	9.878
51.705	9.928
51.637	10.028
51.600	10.163
51.573	10.315
51.537	10.465
51.472	10.595
51.363	10.691
51.217	10.753
51.052	10.786
50.880	10.797
50.719	10.790
50.583	10.772
50.480	10.752
50.404	10.747
50.342	10.778
50.287	10.857
50.232	10.972
50.171	11.107
50.098	11.245
50.008	11.370
49.899	11.469
49.789	11.548
49.700	11.618
49.656	11.693
49.677	11.783
49.757	11.890
49.866	12.008
49.977	12.130
50.060	12.251
50.088	12.365
50.046	12.468
49.949	12.563
49.810	12.651
49.643	12.735
49.463	12.815
49.284	12.895
49.112	12.977
48.953	13.062
48.810	13.154
48.686	13.255
48.587	13.366
48.514	13.491
48.468	13.629
48.445	13.775
48.437	13.924
48.440	14.071
48.448	14.211
48.455	14.339
48.464	14.457
48.481	14.570
48.511	14.680
48.558	14.792
48.624	14.907
48.706	15.026
48.802	15.147
48.908	15.271
49.022	15.398
49.140	15.527
49.251	15.656
49.342	15.780
49.399	15.895
49.408	15.999
49.357	16.088
49.254	16.164
49.121	16.235
48.981	16.310
48.856	16.397
48.770	16.503
48.734	16.631
48.740	16.777
48.779	16.934
48.845	17.096
48.927	17.259
49.018	17.416
49.114	17.564
49.216	17.702
49.325	17.829
49.440	17.943
49.564	18.043
49.697	18.128
49.838	18.199
49.984	18.263
50.132	18.324
50.278	18.391
50.420	18.468
50.553	18.563
50.675	18.677
50.780	18.806
50.864	18.946
50.922	19.092
50.948	19.237
50.939	19.378
50.895	19.511
50.821	19.634
50.726	19.746
50.614	19.845
50.493	19.929
50.367	19.999
50.234	20.058
50.094	20.111
49.943	20.162
49.781	20.216
49.606	20.276
49.421	20.346
49.241	20.425
49.082	20.512
48.960	20.606
48.890	20.707
48.887	20.813
48.950	20.923
49.052	21.037
49.166	21.152
49.262	21.269
49.311	21.385
49.294	21.499
49.216	21.610
49.090	21.716
48.928	21.814
48.741	21.902
48.543	21.980
48.344	22.044
48.146	22.094
47.950	22.129
47.757	22.146
47.568	22.145
47.383	22.125
47.202	22.084
47.027	22.021
46.856	21.939
46.687	21.845
46.518	21.742
46.348	21.637
46.174	21.534
45.994	21.439
45.806	21.357
45.610	21.291
45.407	21.239
45.199	21.200
44.988	21.170
44.775	21.150
44.563	21.135
44.352	21.125
44.146	21.118
43.944	21.112
43.745	21.108
43.549	21.105
43.354	21.105
43.160	21.107
42.966	21.112
42.770	21.120
42.572	21.132
42.371	21.148
42.170	21.169
41.967	21.197
41.765	21.232
41.562	21.277
41.360	21.331
41.160	21.396
40.961	21.471
40.765	21.554
40.571	21.641
40.380	21.727
40.193	21.811
40.009	21.888
39.829	21.954
39.654	22.007
39.483	22.045
39.314	22.070
39.145	22.083
38.975	22.087
38.802	22.081
38.623	22.069
38.439	22.052
38.248	22.030
38.051	22.006
37.850	21.981
37.644	21.955
37.433	21.931
37.219	21.909
37.002	21.892
36.782	21.878
36.560	21.868
36.338	21.859
36.117	21.852
35.896	21.845
35.678	21.836
35.462	21.825
35.251	21.810
35.045	21.790
34.842	21.768
34.641	21.743
34.442	21.717
34.243	21.692
34.042	21.669
33.839	21.649
33.632	21.633
33.422	21.622
33.208	21.614
32.993	21.607
32.776	21.601
32.560	21.593
32.345	21.582
32.133	21.567
31.924	21.545
31.719	21.515
31.520	21.478
31.326	21.430
