X	Y
31.293	20.948
31.426	20.814
31.607	20.711
31.829	20.635
32.082	20.582
32.360	20.547
32.654	20.528
32.957	20.519
33.259	20.517
33.553	20.517
33.831	20.516
34.091	20.513
34.336	20.507
34.571	20.501
34.800	20.496
35.027	20.493
35.255	20.493
35.490	20.498
35.736	20.509
35.995	20.527
36.270	20.553
36.557	20.586
36.855	20.626
37.160	20.672
37.470	20.724
37.782	20.782
38.095	20.845
38.404	20.913
38.709	20.985
39.005	21.061
39.291	21.140
39.566	21.222
39.830	21.308
40.085	21.397
40.332	21.489
40.573	21.585
40.810	21.684
41.042	21.787
41.274	21.894
41.504	22.004
41.736	22.117
41.969	22.235
42.201	22.357
42.431	22.483
42.659	22.614
42.881	22.750
43.096	22.891
43.304	23.037
43.502	23.188
43.689	23.346
43.863	23.509
44.018	23.674
44.148	23.835
44.246	23.989
44.307	24.129
44.323	24.251
44.289	24.351
44.212	24.431
44.115	24.503
44.022	24.580
43.957	24.674
43.935	24.792
43.951	24.929
43.993	25.080
44.053	25.236
44.121	25.392
44.188	25.542
44.254	25.682
44.324	25.814
44.402	25.935
44.491	26.045
44.597	26.144
44.720	26.233
44.857	26.316
45.003	26.395
45.154	26.475
45.304	26.559
45.451	26.651
45.589	26.754
45.721	26.868
45.848	26.991
45.972	27.123
46.095	27.263
46.219	27.410
46.344	27.563
46.470	27.720
46.587	27.878
46.687	28.034
46.763	28.185
46.807	28.327
46.809	28.457
46.766	28.571
46.685	28.667
46.574	28.738
46.443	28.783
46.302	28.797
46.155	28.784
46.004	28.756
45.850	28.726
45.694	28.705
45.538	28.705
45.384	28.736
45.241	28.798
45.122	28.886
45.038	28.995
45.001	29.120
45.018	29.256
45.072	29.395
45.135	29.529
45.177	29.648
45.171	29.744
45.098	29.812
44.971	29.855
44.808	29.881
44.631	29.897
44.459	29.908
44.311	29.924
44.189	29.947
44.081	29.980
43.978	30.028
43.868	30.094
43.745	30.178
43.620	30.281
43.506	30.400
43.418	30.536
43.368	30.686
43.370	30.849
43.422	31.022
43.507	31.201
43.605	31.379
43.699	31.552
43.768	31.716
43.795	31.864
43.763	31.993
43.678	32.105
43.560	32.207
43.424	32.305
43.291	32.405
43.177	32.515
43.095	32.637
43.043	32.769
43.016	32.907
43.009	33.048
43.017	33.188
43.035	33.324
43.058	33.457
43.080	33.590
43.097	33.726
43.104	33.866
43.096	34.013
43.080	34.166
43.066	34.321
43.061	34.476
43.075	34.629
43.117	34.777
43.191	34.919
43.291	35.055
43.412	35.187
43.547	35.315
43.690	35.440
43.834	35.564
43.974	35.687
44.104	35.811
44.222	35.936
44.324	36.063
44.407	36.194
44.467	36.329
44.502	36.470
44.514	36.615
44.511	36.766
44.499	36.920
44.488	37.078
44.483	37.238
44.489	37.399
44.502	37.558
44.513	37.710
44.514	37.850
44.496	37.974
44.453	38.077
44.383	38.159
44.291	38.221
44.184	38.264
44.065	38.290
43.939	38.298
43.810	38.287
43.680	38.255
43.553	38.200
43.433	38.121
43.319	38.020
43.212	37.903
43.112	37.774
43.018	37.638
42.930	37.498
42.847	37.361
42.766	37.227
42.682	37.100
42.591	36.981
42.488	36.873
42.370	36.779
42.236	36.699
42.092	36.636
41.943	36.589
41.797	36.561
41.659	36.551
41.535	36.562
41.424	36.591
41.325	36.638
41.234	36.701
41.150	36.779
