X	Y
31.098	13.598
31.090	13.530
31.113	13.459
31.159	13.388
31.221	13.316
31.293	13.244
31.369	13.173
31.442	13.104
31.510	13.036
31.576	12.968
31.642	12.900
31.708	12.831
31.778	12.760
31.853	12.687
31.935	12.610
32.025	12.529
32.122	12.445
32.224	12.359
32.328	12.271
32.432	12.184
32.533	12.098
32.631	12.014
32.721	11.932
32.802	11.855
32.873	11.783
32.933	11.717
32.986	11.656
33.037	11.600
33.089	11.548
33.146	11.501
33.212	11.458
33.288	11.418
33.371	11.380
33.461	11.342
33.554	11.304
33.649	11.263
33.743	11.218
33.835	11.168
33.923	11.112
34.007	11.051
34.088	10.988
34.167	10.924
34.244	10.860
34.320	10.799
34.396	10.743
34.473	10.693
34.550	10.648
34.629	10.607
34.709	10.568
34.791	10.528
34.875	10.486
34.961	10.439
35.050	10.385
35.142	10.324
35.236	10.257
35.333	10.186
35.432	10.111
35.534	10.033
35.638	9.954
35.745	9.875
35.854	9.797
35.966	9.721
36.080	9.648
36.196	9.578
36.313	9.509
36.432	9.443
36.551	9.378
36.671	9.313
36.791	9.250
36.911	9.186
37.031	9.122
37.149	9.058
37.267	8.992
37.383	8.926
37.499	8.858
37.615	8.791
37.731	8.723
37.848	8.656
37.966	8.589
38.085	8.522
38.206	8.456
38.329	8.392
38.455	8.329
38.583	8.267
38.714	8.206
38.846	8.147
38.980	8.088
39.115	8.031
39.251	7.973
39.387	7.917
39.524	7.860
39.661	7.804
39.797	7.748
39.933	7.691
40.068	7.635
40.202	7.578
40.334	7.522
40.464	7.466
40.592	7.411
40.718	7.356
40.842	7.303
40.963	7.250
41.080	7.199
41.195	7.150
41.306	7.101
41.413	7.055
41.518	7.011
41.619	6.968
41.718	6.928
41.815	6.889
41.909	6.853
42.001	6.820
42.091	6.789
42.180	6.761
42.268	6.735
42.355	6.713
42.443	6.694
42.530	6.678
42.619	6.666
42.708	6.658
42.797	6.654
42.886	6.655
42.974	6.661
43.059	6.674
43.141	6.692
43.220	6.718
43.293	6.751
43.358	6.791
43.414	6.836
43.458	6.886
43.487	6.940
43.502	6.999
43.508	7.060
43.510	7.125
43.514	7.191
43.527	7.259
43.551	7.327
43.584	7.398
43.623	7.470
43.666	7.545
43.711	7.622
43.755	7.702
43.797	7.785
43.836	7.870
43.872	7.959
43.904	8.049
43.932	8.141
43.956	8.235
43.975	8.330
43.990	8.426
44.000	8.521
44.006	8.616
44.006	8.710
44.001	8.802
43.991	8.891
43.976	8.976
43.956	9.058
43.935	9.135
43.916	9.210
43.902	9.281
43.897	9.349
43.904	9.415
43.925	9.480
43.955	9.543
43.989	9.606
44.023	9.670
44.052	9.736
44.073	9.804
44.084	9.875
44.087	9.948
44.080	10.024
44.065	10.103
44.041	10.185
44.009	10.269
43.973	10.353
43.933	10.435
43.894	10.512
43.857	10.583
43.824	10.644
43.799	10.696
43.779	10.743
43.763	10.794
43.751	10.854
43.741	10.929
43.733	11.020
43.724	11.120
43.716	11.224
43.706	11.329
43.694	11.428
43.680	11.517
43.663	11.592
43.644	11.652
43.625	11.706
43.609	11.758
43.597	11.817
43.592	11.885
43.589	11.959
43.582	12.033
43.563	12.099
43.529	12.152
43.473	12.186
43.403	12.207
43.331	12.221
43.266	12.239
43.221	12.268
43.205	12.316
43.213	12.380
43.238	12.456
43.272	12.538
43.308	12.622
43.337	12.704
43.353	12.779
43.357	12.850
43.350	12.918
43.331	12.986
43.301	13.055
43.261	13.127
43.212	13.203
43.158	13.281
43.101	13.361
43.043	13.443
42.986	13.524
42.933	13.606
42.887	13.687
42.846	13.767
42.811	13.846
42.778	13.923
42.746	13.999
42.714	14.073
42.680	14.145
42.643	14.215
42.603	14.285
42.560	14.355
42.516	14.426
42.472	14.500
42.426	14.577
42.381	14.658
42.336	14.743
42.290	14.830
42.244	14.917
42.197	15.003
42.149	15.086
42.099	15.164
42.047	15.238
41.993	15.305
41.935	15.367
41.873	15.425
41.806	15.478
41.733	15.528
41.653	15.575
41.565	15.619
41.472	15.659
41.375	15.696
41.276	15.729
41.176	15.756
41.078	15.777
40.983	15.791
40.893	15.799
40.807	15.800
40.723	15.797
40.639	15.793
40.551	15.789
40.459	15.789
40.358	15.793
40.248	15.805
40.128	15.824
40.000	15.849
39.866	15.878
39.728	15.910
39.586	15.945
39.442	15.981
39.299	16.016
39.157	16.050
39.018	16.081
38.883	16.109
38.754	16.132
38.629	16.151
38.509	16.165
38.392	16.175
38.279	16.182
38.169	16.184
38.062	16.182
37.956	16.177
37.852	16.168
37.749	16.156
37.647	16.141
37.544	16.126
37.441	16.109
37.337	16.093
37.231	16.078
37.122	16.064
37.011	16.054
36.897	16.046
36.782	16.041
36.664	16.038
36.546	16.038
36.428	16.040
36.310	16.044
36.193	16.051
36.077	16.059
35.964	16.069
35.852	16.080
35.740	16.092
35.628	16.105
35.515	16.119
35.400	16.133
35.282	16.147
35.160	16.161
35.034	16.174
34.902	16.186
34.766	16.197
34.628	16.207
34.487	16.215
34.347	16.221
34.208	16.225
34.071	16.226
33.938	16.225
33.810	16.220
33.689	16.213
33.575	16.202
33.466	16.189
33.362	16.173
33.258	16.157
33.153	16.141
33.045	16.126
32.931	16.113
32.808	16.103
32.675	16.096
32.532	16.092
32.384	16.090
32.238	16.087
32.098	16.080
31.971	16.067
31.861	16.046
31.775	16.015
31.719	15.972
31.696	15.913
31.706	15.841
31.739	15.757
31.786	15.664
31.838	15.566
31.886	15.466
31.920	15.366
31.932	15.269
31.919	15.177
31.887	15.089
31.844	15.004
31.796	14.920
31.751	14.836
31.717	14.752
31.700	14.666
31.701	14.577
31.714	14.488
31.729	14.399
31.739	14.311
31.736	14.225
31.712	14.144
31.659	14.067
31.583	13.995
31.490	13.926
31.391	13.859
31.294	13.794
31.207	13.730
31.138	13.665
31.098	13.598
