X	Y
31.931	15.000
31.995	14.942
32.078	14.905
32.179	14.886
32.293	14.882
32.418	14.890
32.552	14.906
32.691	14.929
32.834	14.954
32.976	14.979
33.118	15.003
33.259	15.025
33.399	15.045
33.538	15.063
33.676	15.079
33.814	15.092
33.950	15.102
34.086	15.109
34.220	15.113
34.354	15.113
34.486	15.109
34.617	15.103
34.748	15.094
34.877	15.084
35.005	15.073
35.133	15.063
35.260	15.052
35.385	15.043
35.510	15.037
35.634	15.032
35.757	15.030
35.879	15.029
35.999	15.029
36.118	15.031
36.234	15.033
36.349	15.035
36.461	15.037
36.571	15.038
36.679	15.038
36.786	15.038
36.894	15.038
37.003	15.037
37.117	15.037
37.235	15.037
37.359	15.037
37.490	15.038
37.629	15.040
37.775	15.043
37.927	15.049
38.084	15.057
38.243	15.069
38.405	15.086
38.569	15.107
38.732	15.134
38.893	15.167
39.052	15.206
39.208	15.253
39.358	15.308
39.504	15.370
39.645	15.438
39.782	15.511
39.915	15.586
40.044	15.663
40.169	15.740
40.292	15.816
40.412	15.889
40.529	15.959
40.644	16.023
40.756	16.080
40.864	16.133
40.964	16.183
41.055	16.232
41.133	16.281
41.197	16.333
41.242	16.389
41.268	16.450
41.280	16.516
41.287	16.582
41.300	16.647
41.325	16.705
41.371	16.756
41.432	16.802
41.501	16.845
41.571	16.890
41.634	16.938
41.684	16.993
41.719	17.056
41.744	17.127
41.763	17.202
41.783	17.282
41.808	17.364
41.844	17.446
41.889	17.530
41.941	17.614
41.995	17.701
42.048	17.789
42.097	17.881
42.139	17.975
42.170	18.074
42.188	18.176
42.196	18.279
42.194	18.383
42.183	18.485
42.165	18.584
42.142	18.678
42.114	18.766
42.083	18.848
42.051	18.925
42.019	19.002
41.987	19.081
41.959	19.166
41.935	19.259
41.916	19.363
41.902	19.476
41.888	19.591
41.874	19.703
41.857	19.808
41.833	19.899
41.800	19.971
41.757	20.019
41.703	20.046
41.643	20.062
41.581	20.080
41.520	20.109
41.465	20.159
41.414	20.228
41.367	20.310
41.320	20.399
41.272	20.490
41.222	20.576
41.167	20.651
41.106	20.712
41.040	20.762
40.971	20.806
40.900	20.848
40.828	20.893
40.757	20.946
40.689	21.009
40.620	21.081
40.552	21.158
40.481	21.237
40.406	21.314
40.326	21.385
40.239	21.448
40.143	21.498
40.040	21.536
39.932	21.564
39.822	21.587
39.712	21.607
39.606	21.629
39.507	21.656
39.418	21.691
39.340	21.738
39.273	21.795
39.213	21.862
39.157	21.934
39.102	22.009
39.042	22.085
38.976	22.158
38.901	22.228
38.817	22.292
38.729	22.353
38.637	22.409
38.545	22.461
38.455	22.510
38.370	22.555
38.293	22.596
38.222	22.634
38.154	22.670
38.086	22.702
38.015	22.731
37.937	22.758
37.849	22.783
37.751	22.805
37.646	22.825
37.536	22.845
37.424	22.863
37.311	22.880
37.200	22.897
37.093	22.914
36.993	22.932
36.898	22.950
36.809	22.970
36.724	22.992
36.643	23.017
36.564	23.046
36.488	23.080
36.412	23.116
36.336	23.152
36.258	23.184
36.177	23.208
36.092	23.220
36.001	23.217
35.904	23.195
35.805	23.159
35.705	23.111
35.607	23.054
35.515	22.991
35.432	22.926
35.360	22.860
35.302	22.798
35.255	22.740
35.214	22.687
35.175	22.637
35.131	22.591
35.077	22.548
35.013	22.509
34.942	22.470
34.864	22.430
34.784	22.387
34.703	22.339
34.623	22.285
34.545	22.224
34.469	22.157
34.395	22.086
34.321	22.012
34.247	21.937
34.172	21.861
34.096	21.785
34.018	21.712
33.938	21.641
33.858	21.571
33.777	21.502
33.697	21.434
33.617	21.367
33.540	21.299
33.464	21.231
33.391	21.163
33.321	21.094
33.254	21.024
33.190	20.954
33.128	20.882
33.070	20.810
33.014	20.737
32.961	20.663
32.910	20.589
32.859	20.516
32.808	20.445
32.754	20.377
32.698	20.312
32.637	20.252
32.574	20.195
32.509	20.140
32.445	20.086
32.382	20.032
32.324	19.976
32.270	19.917
32.221	19.855
32.173	19.789
32.127	19.721
32.079	19.649
32.027	19.574
31.971	19.496
31.909	19.416
31.843	19.335
31.774	19.254
31.704	19.175
31.634	19.099
31.566	19.028
31.500	18.963
31.438	18.903
31.381	18.848
31.330	18.795
31.288	18.741
31.254	18.685
31.231	18.624
31.215	18.560
31.203	18.492
31.192	18.421
31.178	18.350
31.157	18.278
31.131	18.205
31.105	18.131
31.081	18.054
31.065	17.972
31.060	17.885
31.068	17.793
31.091	17.695
31.125	17.594
31.169	17.492
31.221	17.391
31.280	17.292
31.344	17.197
31.410	17.109
31.478	17.027
31.545	16.951
31.611	16.879
31.673	16.810
31.732	16.743
31.784	16.677
31.830	16.609
31.867	16.538
31.896	16.462
31.918	16.381
31.931	16.292
31.936	16.194
31.933	16.085
31.922	15.963
31.905	15.832
31.887	15.696
31.870	15.559
31.859	15.424
31.855	15.297
31.864	15.181
31.888	15.080
31.931	15.000
