X	Y
25.812	16.624
25.823	16.539
25.864	16.456
25.930	16.374
26.011	16.294
26.101	16.217
26.193	16.142
26.278	16.071
26.351	16.004
26.414	15.940
26.469	15.877
26.521	15.813
26.571	15.749
26.625	15.682
26.685	15.610
26.750	15.535
26.822	15.457
26.898	15.374
26.980	15.289
27.066	15.200
27.156	15.109
27.250	15.014
27.348	14.919
27.448	14.823
27.549	14.731
27.649	14.645
27.748	14.567
27.845	14.499
27.938	14.444
28.025	14.405
28.107	14.382
28.183	14.371
28.256	14.363
28.327	14.351
28.398	14.326
28.470	14.283
28.543	14.220
28.619	14.142
28.698	14.054
28.782	13.958
28.869	13.859
28.962	13.761
29.060	13.668
29.165	13.584
29.275	13.510
29.390	13.443
29.507	13.381
29.626	13.322
29.745	13.263
29.862	13.202
29.976	13.137
30.085	13.066
30.188	12.986
30.285	12.898
30.376	12.805
30.463	12.711
30.545	12.619
30.624	12.531
30.700	12.451
30.773	12.382
30.845	12.326
30.917	12.284
30.989	12.250
31.063	12.220
31.139	12.187
31.219	12.148
31.304	12.097
31.394	12.034
31.488	11.962
31.588	11.881
31.692	11.795
31.800	11.705
31.912	11.613
32.029	11.521
32.149	11.431
32.273	11.345
32.399	11.264
32.526	11.186
32.651	11.112
32.771	11.041
32.887	10.973
32.995	10.909
33.093	10.847
33.179	10.788
33.253	10.731
33.316	10.676
33.372	10.622
33.428	10.569
33.487	10.517
33.554	10.464
33.634	10.412
33.724	10.359
33.823	10.306
33.929	10.253
34.039	10.198
34.153	10.144
34.267	10.088
34.381	10.032
34.492	9.974
34.602	9.916
34.711	9.857
34.821	9.798
34.932	9.739
35.045	9.679
35.161	9.619
35.280	9.560
35.404	9.500
35.533	9.441
35.667	9.384
35.804	9.327
35.944	9.273
36.088	9.221
36.234	9.171
36.382	9.125
36.531	9.082
36.681	9.043
36.832	9.009
36.982	8.980
37.131	8.958
37.275	8.944
37.415	8.941
37.548	8.949
37.673	8.970
37.787	9.007
37.890	9.059
37.979	9.131
38.055	9.219
38.117	9.320
38.166	9.430
38.203	9.543
38.229	9.656
38.243	9.762
38.248	9.859
38.243	9.942
38.234	10.014
38.228	10.081
38.230	10.146
38.248	10.216
38.286	10.294
38.338	10.380
38.398	10.472
38.460	10.569
38.517	10.670
38.561	10.774
38.587	10.878
38.589	10.981
38.570	11.084
38.538	11.187
38.499	11.288
38.462	11.390
38.432	11.491
38.418	11.591
38.426	11.692
38.455	11.792
38.497	11.892
38.546	11.992
38.595	12.092
38.638	12.193
38.667	12.293
38.676	12.393
38.664	12.494
38.636	12.595
38.598	12.697
38.555	12.801
38.515	12.907
38.481	13.014
38.461	13.125
38.457	13.238
38.466	13.353
38.483	13.468
38.502	13.583
38.517	13.696
38.524	13.807
38.517	13.913
38.491	14.015
38.444	14.111
38.385	14.204
38.319	14.295
38.252	14.385
38.192	14.476
38.145	14.570
38.118	14.667
38.114	14.769
38.129	14.876
38.155	14.986
38.187	15.099
38.218	15.214
38.242	15.329
38.251	15.445
38.240	15.560
38.207	15.674
38.156	15.786
38.094	15.898
38.024	16.009
37.953	16.119
37.885	16.229
37.825	16.338
37.779	16.447
37.751	16.555
37.736	16.664
37.729	16.772
37.725	16.880
37.718	16.989
37.703	17.097
37.673	17.206
37.624	17.315
37.556	17.423
37.472	17.532
37.380	17.639
37.285	17.744
37.191	17.847
37.105	17.946
37.032	18.042
36.978	18.134
36.947	18.221
36.934	18.302
36.928	18.375
36.917	18.440
36.889	18.494
36.835	18.536
36.755	18.567
36.651	18.589
36.529	18.601
36.393	18.607
36.248	18.607
36.096	18.603
35.944	18.595
35.795	18.586
35.651	18.576
35.512	18.565
35.377	18.554
35.245	18.543
35.116	18.533
34.989	18.524
34.863	18.515
34.738	18.508
34.613	18.502
34.488	18.498
34.361	18.496
34.234	18.495
34.105	18.495
33.975	18.496
33.844	18.498
33.710	18.500
33.575	18.503
33.437	18.505
33.297	18.508
33.156	18.510
33.013	18.512
32.871	18.513
32.729	18.514
32.589	18.513
32.451	18.512
32.315	18.509
32.182	18.504
32.053	18.498
31.928	18.491
31.806	18.484
31.688	18.477
31.573	18.470
31.460	18.465
31.350	18.462
31.243	18.461
31.137	18.464
31.033	18.468
30.928	18.475
30.822	18.482
30.714	18.490
30.602	18.497
30.485	18.502
30.363	18.506
30.235	18.507
30.102	18.505
29.968	18.500
29.833	18.492
29.698	18.481
29.566	18.467
29.438	18.449
29.316	18.427
29.201	18.402
29.093	18.374
28.991	18.347
28.893	18.322
28.799	18.302
28.706	18.291
28.613	18.289
28.520	18.300
28.424	18.321
28.327	18.351
28.226	18.386
28.121	18.422
28.011	18.458
27.896	18.488
27.775	18.512
27.649	18.526
27.518	18.533
27.387	18.534
27.257	18.531
27.131	18.525
27.010	18.517
26.897	18.510
26.794	18.504
26.704	18.500
26.625	18.495
26.557	18.482
26.498	18.456
26.448	18.413
26.406	18.350
26.372	18.268
26.346	18.174
26.329	18.071
26.321	17.964
26.322	17.858
26.332	17.756
26.348	17.660
26.363	17.568
26.372	17.480
26.368	17.394
26.345	17.309
26.299	17.224
26.229	17.138
26.144	17.053
26.054	16.967
25.967	16.881
25.891	16.795
25.837	16.709
25.812	16.624
