X	Y
26.367	18.119
26.427	18.038
26.516	17.975
26.629	17.929
26.760	17.895
26.903	17.869
27.051	17.846
27.200	17.824
27.343	17.798
27.479	17.770
27.610	17.740
27.737	17.712
27.861	17.687
27.982	17.666
28.102	17.653
28.222	17.648
28.342	17.653
28.461	17.668
28.578	17.691
28.693	17.723
28.805	17.763
28.913	17.811
29.018	17.867
29.119	17.926
29.219	17.987
29.320	18.045
29.423	18.097
29.531	18.139
29.645	18.168
29.766	18.183
29.891	18.186
30.019	18.182
30.146	18.173
30.271	18.165
30.391	18.161
30.504	18.164
30.609	18.177
30.708	18.198
30.806	18.227
30.903	18.263
31.003	18.305
31.109	18.351
31.223	18.401
31.342	18.451
31.467	18.500
31.595	18.545
31.727	18.583
31.861	18.613
31.997	18.631
32.133	18.637
32.268	18.633
32.401	18.623
32.533	18.613
32.661	18.607
32.786	18.608
32.905	18.623
33.020	18.654
33.129	18.701
33.236	18.759
33.342	18.822
33.450	18.887
33.561	18.949
33.677	19.002
33.799	19.042
33.928	19.070
34.059	19.090
34.188	19.106
34.314	19.123
34.431	19.144
34.538	19.174
34.630	19.217
34.709	19.274
34.780	19.342
34.847	19.419
34.914	19.505
34.985	19.596
35.064	19.692
35.151	19.790
35.244	19.890
35.342	19.989
35.442	20.087
35.544	20.182
35.645	20.272
35.744	20.357
35.839	20.435
35.932	20.509
36.024	20.581
36.116	20.652
36.209	20.726
36.305	20.803
36.405	20.886
36.508	20.977
36.611	21.075
36.713	21.179
36.811	21.290
36.902	21.407
36.984	21.530
37.053	21.659
37.108	21.792
37.148	21.930
37.175	22.070
37.192	22.211
37.202	22.350
37.208	22.485
37.213	22.615
37.219	22.738
37.229	22.851
37.243	22.956
37.257	23.056
37.267	23.154
37.272	23.254
37.267	23.358
37.249	23.469
37.221	23.587
37.183	23.709
37.138	23.833
37.088	23.957
37.036	24.078
36.982	24.195
36.930	24.305
36.879	24.409
36.827	24.509
36.773	24.608
36.714	24.707
36.650	24.810
36.579	24.917
36.499	25.031
36.414	25.145
36.326	25.254
36.238	25.352
36.155	25.433
36.078	25.489
36.011	25.516
35.954	25.515
35.901	25.507
35.847	25.515
35.786	25.554
35.720	25.622
35.651	25.713
35.581	25.822
35.512	25.943
35.447	26.070
35.386	26.198
35.330	26.323
35.275	26.438
35.219	26.540
35.158	26.624
35.091	26.684
35.015	26.717
34.929	26.724
34.836	26.716
34.740	26.704
34.646	26.699
34.556	26.714
34.471	26.755
34.391	26.817
34.311	26.894
34.228	26.981
34.138	27.072
34.040	27.161
33.930	27.242
33.809	27.313
33.683	27.376
33.556	27.431
33.432	27.478
33.314	27.518
33.209	27.550
33.119	27.576
33.042	27.597
32.972	27.615
32.899	27.632
32.816	27.650
32.718	27.671
32.605	27.694
32.481	27.719
32.350	27.744
32.214	27.770
32.077	27.794
31.941	27.817
31.811	27.838
31.686	27.856
31.564	27.871
31.446	27.884
31.331	27.894
31.217	27.901
31.103	27.906
30.990	27.908
30.877	27.907
30.768	27.902
30.662	27.893
30.561	27.880
30.466	27.862
30.378	27.839
30.295	27.811
30.213	27.778
30.132	27.739
30.047	27.695
29.958	27.645
29.865	27.589
29.773	27.528
29.685	27.462
29.605	27.390
29.534	27.313
29.476	27.231
29.428	27.145
29.383	27.056
29.337	26.965
29.285	26.874
29.221	26.782
29.142	26.692
29.051	26.603
28.951	26.515
28.846	26.428
28.738	26.343
28.632	26.258
28.529	26.175
28.435	26.093
28.347	26.013
28.265	25.934
28.187	25.859
28.110	25.786
28.033	25.718
27.954	25.654
27.872	25.594
27.789	25.536
27.706	25.479
27.623	25.420
27.542	25.358
27.464	25.292
27.391	25.221
27.327	25.144
27.274	25.063
27.237	24.977
27.218	24.885
27.216	24.790
27.224	24.692
27.233	24.594
27.236	24.499
27.224	24.408
27.190	24.322
27.137	24.242
27.070	24.164
26.994	24.086
26.913	24.007
26.832	23.925
26.754	23.838
26.682	23.748
26.616	23.656
26.556	23.563
26.503	23.472
26.457	23.385
26.419	23.302
26.385	23.224
26.351	23.151
26.314	23.082
26.270	23.018
26.216	22.958
26.156	22.897
26.093	22.832
26.031	22.759
25.972	22.676
25.921	22.579
25.879	22.471
25.848	22.355
25.830	22.233
25.828	22.107
25.842	21.980
25.875	21.855
25.925	21.732
25.986	21.612
26.054	21.495
26.124	21.380
26.190	21.267
26.246	21.156
26.289	21.047
26.315	20.939
26.329	20.834
26.337	20.731
26.344	20.630
26.355	20.532
26.376	20.436
26.410	20.344
26.454	20.256
26.506	20.176
26.565	20.103
26.627	20.040
26.690	19.986
26.749	19.938
26.799	19.889
26.835	19.834
26.852	19.767
26.851	19.688
26.833	19.596
26.799	19.490
26.753	19.372
26.694	19.240
26.626	19.096
26.555	18.944
26.486	18.788
26.424	18.634
26.376	18.486
26.346	18.347
26.342	18.224
26.367	18.119
