X	Y
30.407	30.611
30.381	30.483
30.398	30.344
30.448	30.198
30.523	30.046
30.612	29.889
30.707	29.730
30.798	29.570
30.877	29.412
30.945	29.256
31.005	29.103
31.062	28.956
31.119	28.814
31.180	28.680
31.250	28.555
31.333	28.439
31.427	28.330
31.530	28.226
31.638	28.122
31.750	28.015
31.861	27.901
31.970	27.777
32.072	27.640
32.169	27.495
32.261	27.348
32.349	27.208
32.433	27.080
32.514	26.973
32.593	26.893
32.670	26.844
32.747	26.814
32.825	26.784
32.904	26.735
32.985	26.654
33.069	26.545
33.156	26.416
33.246	26.278
33.339	26.140
33.436	26.010
33.538	25.898
33.642	25.809
33.745	25.737
33.845	25.671
33.935	25.605
34.012	25.530
34.073	25.438
34.122	25.331
34.165	25.213
34.211	25.089
34.265	24.965
34.336	24.845
34.428	24.733
34.538	24.630
34.661	24.535
34.792	24.447
34.925	24.365
35.056	24.289
35.177	24.218
35.286	24.151
35.378	24.085
35.450	24.020
35.497	23.954
35.518	23.884
35.523	23.811
35.533	23.735
35.569	23.658
35.644	23.579
35.750	23.499
35.879	23.418
36.022	23.334
36.168	23.247
36.310	23.157
36.437	23.064
36.547	22.967
36.644	22.868
36.730	22.767
36.810	22.665
36.888	22.563
36.967	22.460
37.049	22.360
37.133	22.265
37.219	22.178
37.305	22.103
37.393	22.042
37.480	21.996
37.568	21.959
37.657	21.921
37.749	21.872
37.845	21.804
37.945	21.712
38.050	21.603
38.159	21.483
38.274	21.356
38.393	21.229
38.517	21.108
38.647	20.998
38.783	20.902
38.922	20.817
39.063	20.739
39.205	20.664
39.347	20.589
39.487	20.508
39.624	20.419
39.756	20.318
39.883	20.209
40.006	20.098
40.125	19.990
40.239	19.891
40.349	19.808
40.455	19.745
40.559	19.706
40.662	19.683
40.767	19.664
40.879	19.640
41.000	19.599
41.134	19.531
41.278	19.439
41.431	19.328
41.592	19.205
41.757	19.075
41.924	18.945
42.091	18.820
42.257	18.706
42.418	18.609
42.574	18.533
42.725	18.473
42.873	18.423
43.019	18.379
