X	Y
31.988	32.396
32.029	32.278
32.108	32.169
32.221	32.069
32.362	31.977
32.527	31.893
32.711	31.817
32.909	31.748
33.115	31.685
33.326	31.628
33.535	31.576
33.739	31.529
33.938	31.487
34.133	31.447
34.323	31.410
34.509	31.375
34.691	31.341
34.871	31.307
35.048	31.273
35.222	31.237
35.395	31.198
35.567	31.157
35.738	31.113
35.907	31.068
36.076	31.022
36.244	30.977
36.412	30.935
36.579	30.897
36.745	30.864
36.910	30.838
37.076	30.819
37.241	30.810
37.406	30.811
37.571	30.819
37.738	30.834
37.906	30.856
38.076	30.882
38.248	30.912
38.424	30.944
38.603	30.978
38.786	31.012
38.974	31.045
39.166	31.078
39.363	31.109
39.563	31.140
39.767	31.170
39.973	31.200
40.183	31.229
40.395	31.259
40.609	31.287
40.825	31.316
41.043	31.345
41.261	31.374
41.481	31.404
41.700	31.434
41.920	31.467
42.139	31.503
42.356	31.542
42.572	31.586
42.786	31.636
42.996	31.692
43.203	31.756
43.407	31.828
43.606	31.909
43.799	32.000
43.988	32.102
44.170	32.214
44.347	32.336
44.519	32.465
44.685	32.600
44.845	32.741
45.000	32.884
45.150	33.030
45.294	33.176
45.433	33.321
45.567	33.464
45.696	33.603
45.820	33.738
45.939	33.867
46.053	33.993
46.163	34.116
46.268	34.236
46.370	34.355
46.468	34.472
46.563	34.590
46.654	34.707
46.743	34.827
46.829	34.947
46.912	35.068
46.994	35.188
47.074	35.308
47.152	35.427
47.231	35.545
47.308	35.660
47.386	35.772
47.464	35.882
47.542	35.991
47.621	36.099
47.700	36.208
47.779	36.319
47.858	36.434
47.939	36.552
48.019	36.676
48.099	36.805
48.178	36.938
48.255	37.074
48.329	37.212
48.399	37.351
48.464	37.491
48.522	37.630
48.574	37.768
48.618	37.903
48.656	38.037
48.690	38.170
48.719	38.304
48.747	38.438
48.773	38.574
48.801	38.712
48.830	38.853
48.862	38.998
48.895	39.145
48.928	39.293
48.959	39.441
48.986	39.586
49.007	39.728
49.022	39.865
49.028	39.996
49.024	40.119
49.010	40.235
48.985	40.344
48.949	40.447
48.902	40.544
48.843	40.635
48.774	40.721
48.697	40.804
48.618	40.885
48.543	40.966
48.479	41.049
48.429	41.136
48.401	41.230
48.389	41.327
48.382	41.423
48.370	41.513
48.341	41.593
48.284	41.657
48.198	41.706
48.093	41.745
47.978	41.779
47.864	41.813
47.761	41.852
47.678	41.903
47.621	41.967
47.581	42.043
47.550	42.128
47.522	42.220
47.489	42.316
47.445	42.414
47.391	42.513
47.329	42.611
47.260	42.707
47.186	42.799
47.108	42.886
47.027	42.968
46.946	43.044
46.863	43.119
46.782	43.195
46.702	43.273
46.626	43.358
46.553	43.452
46.484	43.553
46.416	43.658
46.346	43.761
46.272	43.858
46.193	43.942
46.104	44.009
46.003	44.055
45.893	44.081
45.775	44.093
45.654	44.098
45.532	44.101
45.414	44.110
45.301	44.131
45.197	44.168
45.100	44.219
45.008	44.282
44.918	44.352
44.827	44.428
44.734	44.505
44.636	44.581
44.531	44.653
44.422	44.721
44.309	44.783
44.193	44.839
44.073	44.887
43.953	44.926
43.831	44.957
43.709	44.978
43.587	44.994
43.466	45.009
43.347	45.026
43.229	45.048
43.115	45.079
43.004	45.124
42.896	45.181
42.792	45.247
42.693	45.320
42.597	45.395
42.505	45.470
42.418	45.541
42.335	45.605
42.254	45.660
42.170	45.704
42.081	45.737
41.981	45.757
41.867	45.763
41.738	45.755
41.598	45.736
41.452	45.708
41.306	45.675
41.165	45.639
41.034	45.604
40.919	45.573
40.824	45.548
40.748	45.531
40.681	45.520
40.614	45.512
40.537	45.506
40.443	45.501
40.335	45.496
40.217	45.489
40.093	45.482
39.964	45.473
39.835	45.461
39.709	45.447
39.587	45.430
39.468	45.413
39.353	45.395
39.240	45.379
39.130	45.365
39.023	45.354
38.917	45.348
38.812	45.344
38.707	45.340
38.600	45.333
38.490	45.323
38.376	45.306
38.257	45.280
38.134	45.248
38.010	45.210
37.885	45.170
37.761	45.130
37.641	45.091
37.526	45.057
37.418	45.028
37.315	45.003
37.217	44.980
37.123	44.957
37.030	44.929
36.937	44.896
36.842	44.853
36.747	44.801
36.649	44.740
36.551	44.671
36.452	44.593
36.351	44.507
36.249	44.414
36.147	44.313
36.043	44.206
