X	Y
56.821	71.456
56.935	71.152
57.110	70.874
57.333	70.616
57.589	70.373
57.866	70.141
58.149	69.914
58.426	69.688
58.688	69.457
58.937	69.222
59.179	68.982
59.417	68.734
59.656	68.480
59.900	68.218
60.154	67.947
60.419	67.668
60.697	67.386
60.987	67.105
61.288	66.831
61.601	66.567
61.924	66.320
62.258	66.093
62.601	65.892
62.955	65.717
63.317	65.563
63.688	65.424
64.068	65.292
64.456	65.162
64.850	65.027
65.252	64.881
65.661	64.716
66.075	64.530
66.495	64.323
66.921	64.099
67.351	63.861
67.785	63.610
68.224	63.349
68.666	63.083
69.111	62.812
69.559	62.540
70.009	62.269
70.461	62.002
70.914	61.739
71.368	61.479
71.822	61.223
72.276	60.971
72.730	60.722
73.182	60.477
73.632	60.235
74.080	59.998
74.525	59.764
74.967	59.533
75.405	59.308
75.839	59.087
76.270	58.873
76.695	58.666
77.116	58.466
77.532	58.275
77.942	58.094
78.347	57.923
78.745	57.763
79.139	57.614
79.528	57.478
79.914	57.356
80.298	57.248
80.681	57.154
81.064	57.076
81.449	57.014
81.836	56.969
82.226	56.939
82.616	56.919
83.004	56.905
83.390	56.893
83.772	56.879
84.147	56.857
84.515	56.824
84.875	56.776
85.228	56.714
85.578	56.643
85.927	56.566
86.280	56.485
86.638	56.405
87.005	56.327
87.384	56.257
87.774	56.192
88.171	56.131
88.571	56.072
88.972	56.012
89.369	55.949
89.759	55.881
90.138	55.806
90.503	55.722
90.855	55.635
91.196	55.552
91.526	55.483
91.849	55.437
92.165	55.421
92.478	55.445
92.788	55.514
93.097	55.620
93.405	55.753
93.713	55.902
94.022	56.059
94.332	56.213
94.645	56.354
94.956	56.480
95.256	56.602
95.534	56.730
95.780	56.875
95.984	57.049
96.136	57.260
96.230	57.510
96.267	57.783
96.249	58.063
96.176	58.336
96.051	58.587
95.883	58.807
95.701	59.007
95.537	59.201
95.423	59.403
95.391	59.625
95.450	59.874
95.560	60.140
95.676	60.412
95.752	60.678
95.742	60.928
95.613	61.151
95.395	61.352
95.141	61.537
94.905	61.715
94.740	61.894
94.697	62.080
94.771	62.275
94.897	62.477
95.009	62.682
95.043	62.887
94.958	63.090
94.776	63.295
94.528	63.506
94.242	63.727
93.948	63.962
93.676	64.215
93.450	64.490
93.264	64.777
93.107	65.068
92.968	65.354
92.832	65.623
92.690	65.867
92.530	66.076
92.352	66.256
92.168	66.420
91.986	66.581
91.818	66.754
91.673	66.951
91.551	67.174
91.450	67.422
91.367	67.690
91.298	67.976
91.241	68.276
91.190	68.585
91.135	68.895
91.066	69.198
90.975	69.484
90.850	69.746
90.683	69.974
90.472	70.167
90.226	70.335
89.958	70.490
89.679	70.641
89.401	70.802
89.134	70.982
88.886	71.187
88.651	71.413
88.425	71.653
88.201	71.901
87.974	72.151
87.737	72.397
87.485	72.631
87.216	72.855
86.927	73.071
86.618	73.282
86.289	73.493
85.937	73.705
85.562	73.924
85.164	74.151
84.741	74.391
84.299	74.639
83.848	74.889
83.394	75.134
82.948	75.368
82.517	75.585
82.110	75.778
81.736	75.939
81.402	76.064
81.118	76.145
80.874	76.184
80.649	76.188
80.419	76.165
80.163	76.123
79.860	76.069
79.507	76.008
79.116	75.946
78.697	75.886
78.262	75.833
77.822	75.790
77.387	75.764
76.969	75.757
76.579	75.773
76.225	75.816
75.911	75.885
75.643	75.981
75.425	76.104
75.263	76.253
75.158	76.429
75.085	76.616
75.013	76.798
74.908	76.957
74.743	77.079
74.519	77.166
74.247	77.226
73.936	77.266
73.596	77.294
73.237	77.318
72.868	77.344
72.497	77.378
72.131	77.427
71.777	77.496
71.443	77.590
71.135	77.717
70.861	77.881
70.620	78.082
70.399	78.307
70.184	78.543
69.961	78.776
69.714	78.994
69.429	79.183
69.095	79.332
68.718	79.441
68.309	79.516
67.880	79.562
67.442	79.583
67.009	79.585
66.591	79.574
66.201	79.554
65.848	79.530
65.533	79.498
65.250	79.454
64.993	79.391
64.757	79.303
64.536	79.184
64.327	79.032
64.135	78.850
63.964	78.643
63.821	78.417
63.710	78.177
63.634	77.929
63.578	77.678
63.527	77.430
63.462	77.193
63.366	76.971
63.226	76.770
63.043	76.590
62.823	76.429
62.571	76.286
62.293	76.158
61.993	76.045
61.679	75.943
61.356	75.846
61.031	75.751
60.710	75.652
60.399	75.544
60.105	75.422
59.831	75.284
59.577	75.132
59.336	74.974
59.106	74.815
58.880	74.661
58.655	74.519
58.428	74.388
58.201	74.257
57.977	74.113
57.757	73.943
57.544	73.734
57.341	73.477
57.156	73.176
56.997	72.845
56.874	72.495
56.798	72.138
56.777	71.788
56.821	71.456
