X	Y
58.715	75.072
58.941	74.891
59.247	74.758
59.622	74.668
60.055	74.615
60.536	74.592
61.054	74.594
61.598	74.616
62.156	74.650
62.719	74.691
63.276	74.734
63.818	74.774
64.346	74.811
64.862	74.845
65.367	74.877
65.862	74.907
66.349	74.936
66.830	74.965
67.306	74.994
67.779	75.023
68.250	75.053
68.720	75.085
69.190	75.120
69.661	75.160
70.131	75.207
70.602	75.264
71.071	75.334
71.541	75.419
72.009	75.521
72.476	75.643
72.942	75.786
73.406	75.955
73.869	76.148
74.328	76.363
74.782	76.595
75.230	76.838
75.670	77.088
76.100	77.340
76.519	77.589
76.926	77.831
77.319	78.060
77.696	78.273
78.056	78.464
78.396	78.636
78.713	78.797
79.002	78.955
79.261	79.117
79.484	79.290
79.670	79.482
79.815	79.700
79.930	79.936
80.033	80.178
80.141	80.409
80.274	80.616
80.450	80.785
80.677	80.909
80.944	81.003
81.234	81.084
81.534	81.169
81.827	81.276
82.100	81.421
82.338	81.619
82.535	81.864
82.689	82.146
82.795	82.454
82.851	82.778
82.854	83.105
82.799	83.425
82.690	83.731
82.538	84.023
82.355	84.302
82.153	84.569
81.945	84.825
81.743	85.069
81.560	85.304
81.399	85.530
81.253	85.748
81.113	85.960
80.969	86.166
80.812	86.368
80.633	86.567
80.432	86.762
80.213	86.948
79.979	87.121
79.736	87.278
79.486	87.416
79.236	87.531
78.986	87.629
78.741	87.722
78.500	87.826
78.267	87.954
78.044	88.118
77.831	88.331
77.624	88.582
77.419	88.851
77.207	89.117
76.983	89.360
76.741	89.561
76.473	89.700
76.178	89.761
75.862	89.762
75.540	89.728
75.225	89.685
74.929	89.659
74.666	89.676
74.448	89.762
74.273	89.916
74.125	90.116
73.986	90.340
73.840	90.564
73.670	90.765
73.465	90.927
73.228	91.052
72.965	91.142
72.684	91.204
72.389	91.242
72.087	91.259
71.782	91.261
71.476	91.254
71.168	91.243
70.858	91.233
70.546	91.232
70.232	91.244
69.917	91.276
69.601	91.328
69.283	91.395
68.965	91.474
68.646	91.559
68.327	91.646
68.009	91.731
67.692	91.809
67.374	91.878
67.054	91.939
66.731	91.991
66.400	92.035
66.062	92.071
65.712	92.100
65.350	92.122
64.974	92.138
64.587	92.145
64.191	92.144
63.787	92.133
63.380	92.112
62.970	92.079
62.560	92.034
62.153	91.975
61.750	91.901
61.356	91.813
60.972	91.710
60.603	91.593
60.251	91.462
59.919	91.316
59.611	91.157
59.331	90.983
59.080	90.796
58.857	90.596
58.657	90.385
58.474	90.164
58.302	89.934
58.137	89.697
57.971	89.455
57.803	89.209
57.635	88.960
57.468	88.712
57.304	88.466
57.146	88.224
56.995	87.989
56.853	87.760
56.721	87.532
56.600	87.295
56.491	87.043
56.394	86.766
56.309	86.457
56.238	86.110
56.180	85.730
56.135	85.325
56.104	84.905
56.085	84.479
56.080	84.055
56.088	83.642
56.110	83.249
56.144	82.884
56.192	82.552
56.258	82.246
56.345	81.961
56.456	81.692
56.595	81.431
56.765	81.174
56.969	80.913
57.200	80.649
57.448	80.381
57.702	80.110
57.951	79.837
58.183	79.561
58.388	79.285
58.555	79.008
58.677	78.730
58.755	78.449
58.795	78.163
58.801	77.868
58.779	77.563
58.734	77.244
58.669	76.909
58.599	76.565
58.537	76.222
58.502	75.890
58.509	75.581
58.575	75.305
58.715	75.072
