X	Y
18.604	13.434
18.598	13.325
18.627	13.213
18.681	13.103
18.751	13.000
18.827	12.908
18.902	12.834
18.967	12.779
19.027	12.738
19.086	12.700
19.151	12.655
19.228	12.595
19.315	12.519
19.409	12.434
19.506	12.345
19.604	12.256
19.698	12.174
19.786	12.104
19.864	12.048
19.936	12.002
20.005	11.959
20.074	11.915
20.144	11.863
20.219	11.801
20.297	11.733
20.378	11.662
20.462	11.591
20.547	11.523
20.633	11.463
20.721	11.407
20.810	11.354
20.901	11.299
20.993	11.240
21.088	11.174
21.185	11.098
21.283	11.016
21.382	10.931
21.481	10.850
21.578	10.775
21.673	10.713
21.764	10.667
21.852	10.637
21.939	10.615
22.027	10.594
22.116	10.563
22.210	10.516
22.308	10.447
22.410	10.363
22.515	10.270
22.620	10.176
22.724	10.087
22.825	10.011
22.923	9.954
23.015	9.919
23.105	9.899
23.193	9.886
23.281	9.871
23.371	9.844
23.464	9.801
23.560	9.745
23.657	9.680
23.756	9.611
23.855	9.541
23.955	9.476
24.053	9.419
24.148	9.368
24.238	9.321
24.319	9.275
24.390	9.228
24.447	9.177
24.495	9.124
24.540	9.072
24.591	9.027
24.654	8.992
24.731	8.965
24.819	8.941
24.917	8.914
25.023	8.881
25.134	8.835
25.249	8.778
25.365	8.714
25.480	8.646
25.592	8.579
25.698	8.515
25.797	8.460
25.886	8.416
25.965	8.380
26.033	8.348
26.091	8.317
26.139	8.281
26.182	8.242
26.228	8.206
26.288	8.181
26.364	8.166
26.452	8.157
26.550	8.147
26.652	8.130
26.755	8.100
26.857	8.055
26.959	7.997
27.064	7.929
27.171	7.855
27.284	7.778
27.404	7.701
27.531	7.627
27.667	7.558
27.805	7.494
27.944	7.437
28.078	7.387
28.204	7.344
28.319	7.309
28.418	7.282
28.499	7.264
28.570	7.254
28.639	7.248
28.714	7.245
28.803	7.244
28.904	7.242
29.015	7.240
29.134	7.234
29.257	7.224
29.382	7.210
29.507	7.189
29.630	7.165
29.751	7.143
29.869	7.125
29.983	7.117
30.094	7.122
30.200	7.145
30.300	7.186
30.393	7.242
30.479	7.312
30.555	7.392
30.622	7.479
30.677	7.572
30.721	7.667
30.754	7.763
30.776	7.857
30.789	7.947
30.792	8.032
30.789	8.112
30.784	8.189
30.784	8.266
30.794	8.348
30.817	8.435
30.850	8.528
30.889	8.625
30.930	8.725
30.967	8.825
30.997	8.926
31.017	9.025
31.025	9.122
31.020	9.217
31.000	9.307
30.964	9.394
30.916	9.475
30.869	9.551
30.836	9.624
30.829	9.693
30.858	9.759
30.912	9.823
30.976	9.888
31.032	9.957
31.066	10.029
31.071	10.108
31.055	10.192
31.026	10.282
30.993	10.377
30.964	10.476
30.940	10.576
30.917	10.673
30.889	10.762
30.852	10.837
30.803	10.895
30.746	10.939
30.700	10.978
30.678	11.025
30.693	11.085
30.731	11.158
30.778	11.239
30.819	11.325
30.840	11.412
30.839	11.500
30.822	11.589
30.796	11.680
30.765	11.775
30.738	11.874
30.713	11.974
30.689	12.072
30.660	12.160
30.624	12.235
30.577	12.292
30.525	12.333
30.479	12.373
30.450	12.422
30.447	12.490
30.462	12.575
30.487	12.671
30.512	12.775
30.530	12.882
30.533	12.989
30.521	13.093
30.494	13.193
30.453	13.286
30.398	13.371
30.330	13.445
30.254	13.511
30.178	13.573
30.109	13.636
30.055	13.704
30.022	13.780
30.010	13.867
30.010	13.959
30.011	14.055
30.006	14.151
29.985	14.243
29.946	14.331
29.893	14.416
29.830	14.497
29.760	14.576
29.686	14.654
29.612	14.730
29.539	14.805
29.467	14.882
29.395	14.961
29.325	15.042
29.257	15.127
29.190	15.215
29.121	15.303
29.048	15.385
28.969	15.459
28.880	15.521
28.780	15.567
28.667	15.596
28.544	15.612
28.412	15.616
28.274	15.612
28.131	15.604
27.986	15.592
27.839	15.582
27.693	15.573
27.549	15.565
27.409	15.557
27.273	15.549
27.142	15.539
27.019	15.526
26.904	15.509
26.798	15.488
26.699	15.465
26.604	15.441
26.510	15.419
26.416	15.401
26.318	15.390
26.217	15.385
26.114	15.385
26.010	15.388
25.907	15.392
25.806	15.396
25.709	15.399
25.615	15.399
25.524	15.399
25.436	15.398
25.351	15.396
25.266	15.394
25.180	15.393
25.091	15.392
24.996	15.393
24.891	15.397
24.776	15.402
24.655	15.408
24.530	15.413
24.406	15.414
24.288	15.411
24.178	15.400
24.081	15.382
23.993	15.357
23.909	15.330
23.823	15.305
23.729	15.287
23.622	15.278
23.501	15.279
23.372	15.287
23.238	15.302
23.104	15.319
