X	Y
19.207	14.490
19.271	14.435
19.359	14.401
19.467	14.385
19.591	14.386
19.725	14.401
19.865	14.427
20.007	14.461
20.145	14.501
20.275	14.545
20.395	14.590
20.506	14.636
20.611	14.679
20.712	14.721
20.811	14.758
20.910	14.790
21.011	14.815
21.116	14.833
21.226	14.842
21.341	14.844
21.461	14.841
21.585	14.833
21.712	14.824
21.841	14.813
21.973	14.803
22.107	14.796
22.242	14.792
22.378	14.794
22.515	14.800
22.652	14.810
22.791	14.823
22.930	14.839
23.070	14.858
23.211	14.878
23.353	14.898
23.497	14.920
23.642	14.941
23.787	14.961
23.934	14.981
24.081	15.001
24.228	15.022
24.374	15.046
24.518	15.071
24.661	15.100
24.802	15.132
24.940	15.169
25.075	15.211
25.206	15.259
25.334	15.313
25.457	15.372
25.576	15.434
25.692	15.499
25.804	15.564
25.913	15.629
26.019	15.692
26.121	15.752
26.220	15.808
26.317	15.859
26.410	15.906
26.501	15.951
26.589	15.998
26.674	16.046
26.756	16.100
26.835	16.160
26.911	16.230
26.985	16.308
27.057	16.393
27.128	16.482
27.199	16.574
27.271	16.667
27.343	16.759
27.418	16.848
27.496	16.931
27.577	17.009
27.660	17.081
27.742	17.152
27.824	17.220
27.903	17.290
27.977	17.361
28.046	17.436
28.109	17.517
28.164	17.602
28.213	17.692
28.255	17.786
28.293	17.881
28.326	17.977
28.356	18.074
28.382	18.169
28.406	18.263
28.428	18.355
28.448	18.448
28.468	18.542
28.488	18.637
28.508	18.736
28.530	18.838
28.553	18.945
28.576	19.055
28.599	19.169
28.621	19.285
28.641	19.403
28.657	19.522
28.670	19.642
28.678	19.761
28.679	19.878
28.674	19.994
28.662	20.105
28.642	20.211
28.614	20.309
28.578	20.398
28.532	20.476
28.477	20.542
28.413	20.595
28.343	20.641
28.270	20.683
28.198	20.727
28.130	20.777
28.069	20.837
28.017	20.911
27.971	20.996
27.930	21.089
27.890	21.184
27.847	21.281
27.800	21.373
27.745	21.459
27.681	21.534
27.607	21.600
27.527	21.659
27.443	21.713
27.358	21.765
27.274	21.816
27.193	21.869
27.119	21.927
27.051	21.988
26.987	22.052
26.926	22.117
26.867	22.183
26.807	22.248
26.745	22.311
26.681	22.371
26.613	22.426
26.542	22.477
26.469	22.524
26.393	22.564
26.313	22.599
26.232	22.627
26.148	22.651
26.063	22.672
25.978	22.692
25.894	22.714
25.812	22.740
25.731	22.772
25.653	22.811
25.577	22.856
25.501	22.906
25.424	22.960
25.346	23.018
25.265	23.079
25.180	23.143
25.093	23.205
25.004	23.264
24.915	23.316
24.827	23.358
24.742	23.386
24.661	23.396
24.584	23.388
24.513	23.364
24.446	23.334
24.382	23.305
24.322	23.286
24.265	23.284
24.208	23.299
24.149	23.325
24.086	23.358
24.015	23.390
23.935	23.418
23.846	23.440
23.750	23.457
23.648	23.471
23.544	23.483
23.437	23.493
23.332	23.504
23.228	23.516
23.128	23.528
23.030	23.540
22.933	23.550
22.838	23.556
22.745	23.557
22.651	23.552
22.558	23.540
22.464	23.518
22.373	23.489
22.285	23.452
22.202	23.408
22.124	23.356
22.054	23.299
21.992	23.234
21.938	23.165
21.889	23.091
21.842	23.015
21.794	22.937
21.744	22.858
21.689	22.780
21.627	22.704
21.559	22.629
21.486	22.555
21.409	22.481
21.330	22.408
21.250	22.335
21.170	22.262
21.091	22.188
21.014	22.113
20.938	22.037
20.864	21.961
20.791	21.883
20.720	21.804
20.651	21.724
20.582	21.643
20.515	21.560
20.450	21.477
20.384	21.393
20.320	21.310
20.255	21.229
20.191	21.150
20.126	21.075
20.060	21.003
19.994	20.935
19.928	20.869
19.863	20.804
19.800	20.739
19.740	20.672
19.684	20.600
19.633	20.524
19.587	20.443
19.543	20.362
19.498	20.284
19.452	20.213
19.401	20.151
19.344	20.103
19.280	20.069
19.214	20.043
19.149	20.018
19.091	19.989
19.044	19.949
19.009	19.895
18.983	19.829
18.960	19.755
18.938	19.677
18.910	19.597
18.875	19.519
18.832	19.443
18.783	19.370
18.731	19.299
18.678	19.229
18.626	19.162
18.577	19.096
18.533	19.031
18.491	18.966
18.453	18.901
18.416	18.833
18.381	18.763
18.347	18.689
18.314	18.611
18.285	18.532
18.260	18.450
18.241	18.367
18.228	18.283
18.223	18.199
18.225	18.115
18.229	18.029
18.234	17.940
18.237	17.847
18.235	17.749
18.224	17.645
18.204	17.535
18.180	17.423
18.155	17.311
18.134	17.204
18.123	17.106
18.126	17.020
18.147	16.949
18.191	16.898
18.255	16.860
18.332	16.831
18.417	16.803
18.505	16.770
18.589	16.726
18.667	16.666
18.736	16.589
18.798	16.501
18.854	16.404
18.907	16.302
18.957	16.199
19.006	16.098
19.055	16.003
19.105	15.917
19.153	15.836
19.198	15.759
19.236	15.680
19.265	15.597
19.281	15.505
19.281	15.401
19.267	15.284
19.243	15.159
19.215	15.030
19.188	14.902
19.168	14.780
19.161	14.667
19.172	14.569
19.207	14.490
