X	Y
51.857	56.263
51.983	56.126
52.219	56.040
52.527	55.989
52.871	55.956
53.212	55.924
53.521	55.878
53.794	55.808
54.034	55.706
54.246	55.564
54.433	55.375
54.602	55.138
54.762	54.867
54.923	54.579
55.098	54.292
55.296	54.022
55.529	53.786
55.797	53.587
56.096	53.414
56.416	53.252
56.752	53.089
57.096	52.913
57.440	52.710
57.779	52.472
58.112	52.212
58.437	51.946
58.755	51.692
59.066	51.467
59.370	51.289
59.667	51.175
59.957	51.134
60.243	51.143
60.531	51.174
60.823	51.198
61.124	51.187
61.436	51.115
61.762	50.986
62.098	50.815
62.443	50.617
62.798	50.406
63.159	50.197
63.526	50.005
63.897	49.841
64.274	49.702
64.655	49.578
65.043	49.461
65.436	49.341
65.835	49.209
66.242	49.056
66.655	48.874
67.075	48.662
67.499	48.430
67.924	48.187
68.351	47.940
68.775	47.700
69.195	47.474
69.608	47.272
70.014	47.103
70.410	46.971
70.798	46.869
71.181	46.785
71.560	46.711
71.937	46.635
72.315	46.547
72.696	46.436
73.082	46.295
73.467	46.133
73.848	45.961
74.221	45.792
74.580	45.637
74.921	45.508
75.239	45.418
75.533	45.373
75.807	45.355
76.073	45.343
76.337	45.313
76.611	45.244
76.899	45.120
77.197	44.958
77.499	44.782
77.796	44.612
78.082	44.473
78.351	44.387
78.600	44.362
78.843	44.375
79.094	44.399
79.366	44.407
79.672	44.374
80.013	44.293
80.382	44.173
80.770	44.023
81.169	43.853
81.570	43.672
81.965	43.489
82.346	43.312
82.711	43.149
83.064	42.999
83.409	42.864
83.753	42.745
84.100	42.643
84.454	42.558
84.822	42.492
85.204	42.444
85.602	42.409
86.015	42.387
86.444	42.375
86.890	42.369
87.353	42.367
87.833	42.367
88.328	42.367
88.831	42.374
89.332	42.392
89.822	42.427
90.290	42.485
90.729	42.572
91.128	42.693
91.478	42.855
91.773	43.062
92.017	43.308
92.219	43.584
92.390	43.883
92.538	44.194
92.673	44.510
92.803	44.822
92.921	45.127
93.012	45.421
93.063	45.704
93.061	45.972
92.993	46.224
92.860	46.461
92.676	46.686
92.455	46.904
92.212	47.118
91.962	47.331
91.723	47.548
91.521	47.765
91.381	47.984
91.330	48.202
91.392	48.419
91.549	48.634
91.744	48.850
91.919	49.067
92.017	49.288
91.991	49.514
91.855	49.745
91.645	49.985
91.397	50.236
91.147	50.499
90.929	50.776
90.758	51.065
90.619	51.363
90.497	51.662
90.373	51.957
90.231	52.242
90.055	52.511
89.853	52.764
89.649	53.001
89.471	53.225
89.346	53.437
89.299	53.640
89.318	53.835
89.342	54.028
89.313	54.221
89.180	54.419
88.955	54.624
88.667	54.835
88.342	55.054
88.008	55.281
87.694	55.518
87.424	55.766
87.200	56.019
87.014	56.274
86.853	56.524
86.707	56.764
86.567	56.988
86.422	57.196
86.266	57.395
86.093	57.597
85.895	57.809
85.666	58.043
85.404	58.300
85.113	58.572
84.798	58.849
84.462	59.123
84.110	59.382
83.747	59.619
83.377	59.822
83.004	59.988
82.636	60.127
82.278	60.254
81.936	60.384
81.618	60.531
81.328	60.712
81.075	60.939
80.853	61.212
80.650	61.506
80.449	61.797
80.235	62.060
79.993	62.270
79.708	62.403
79.381	62.457
79.036	62.462
78.700	62.453
78.397	62.460
78.154	62.518
77.990	62.652
77.877	62.838
77.770	63.036
77.624	63.205
77.403	63.310
77.115	63.355
76.780	63.354
76.417	63.318
76.047	63.263
75.690	63.200
75.358	63.142
75.047	63.092
74.748	63.055
74.455	63.035
74.160	63.036
73.856	63.061
73.541	63.108
73.214	63.169
72.877	63.236
72.531	63.303
72.175	63.361
71.810	63.403
71.438	63.428
71.061	63.438
70.681	63.436
70.300	63.425
69.920	63.407
69.542	63.385
69.170	63.361
68.806	63.340
68.454	63.326
68.117	63.324
67.799	63.337
67.503	63.371
67.231	63.429
66.975	63.510
66.723	63.609
66.461	63.724
66.179	63.851
65.863	63.986
65.517	64.122
65.147	64.253
64.762	64.370
64.371	64.467
63.983	64.534
63.605	64.566
63.244	64.556
62.900	64.511
62.567	64.445
62.241	64.369
61.917	64.296
61.590	64.238
61.257	64.205
60.917	64.193
60.576	64.187
60.235	64.176
59.898	64.145
59.569	64.082
59.250	63.976
58.943	63.829
58.649	63.654
58.367	63.463
58.097	63.268
57.841	63.080
57.598	62.910
57.363	62.759
57.130	62.624
56.892	62.499
56.643	62.382
56.377	62.269
56.091	62.161
55.786	62.062
55.462	61.976
55.117	61.907
54.752	61.857
54.370	61.827
53.992	61.805
53.642	61.772
53.345	61.712
53.126	61.608
53.011	61.442
52.999	61.212
53.062	60.932
53.169	60.619
53.290	60.287
53.392	59.955
53.451	59.631
53.463	59.315
53.424	59.002
53.331	58.686
53.184	58.363
52.978	58.029
52.724	57.685
52.453	57.344
52.198	57.017
51.992	56.720
51.867	56.464
51.857	56.263
