X	Y
53.043	60.839
53.197	60.577
53.452	60.376
53.781	60.227
54.157	60.118
54.553	60.042
54.941	59.987
55.302	59.946
55.643	59.914
55.974	59.889
56.305	59.866
56.647	59.843
57.011	59.816
57.402	59.785
57.814	59.755
58.238	59.732
58.665	59.722
59.088	59.733
59.499	59.768
59.889	59.836
60.253	59.937
60.601	60.060
60.939	60.190
61.278	60.315
61.625	60.421
61.989	60.495
62.378	60.526
62.791	60.517
63.226	60.479
63.679	60.420
64.150	60.349
64.633	60.276
65.128	60.209
65.631	60.157
66.139	60.127
66.650	60.120
67.158	60.133
67.661	60.166
68.154	60.218
68.635	60.287
69.099	60.372
69.543	60.472
69.963	60.586
70.364	60.709
70.750	60.839
71.128	60.969
71.505	61.097
71.886	61.217
72.277	61.326
72.682	61.419
73.096	61.503
73.503	61.585
73.890	61.675
74.245	61.781
74.553	61.912
74.802	62.078
74.989	62.279
75.134	62.505
75.257	62.742
75.378	62.979
75.516	63.205
75.681	63.417
75.875	63.621
76.102	63.818
76.365	64.014
76.667	64.213
77.001	64.415
77.354	64.623
77.718	64.839
78.079	65.063
78.428	65.297
78.753	65.543
79.043	65.801
79.293	66.073
79.500	66.358
79.659	66.656
79.767	66.966
79.820	67.289
79.816	67.623
79.760	67.964
79.659	68.308
79.518	68.650
79.345	68.984
79.145	69.307
78.925	69.613
78.689	69.903
78.442	70.180
78.188	70.445
77.933	70.700
77.680	70.945
77.433	71.184
77.190	71.417
76.945	71.646
76.692	71.873
76.425	72.099
76.138	72.327
75.827	72.556
75.497	72.781
75.159	72.995
74.823	73.191
74.499	73.361
74.196	73.496
73.924	73.592
73.681	73.656
73.453	73.715
73.225	73.795
72.983	73.922
72.718	74.108
72.436	74.332
72.143	74.568
71.845	74.792
71.551	74.978
71.265	75.102
70.995	75.159
70.743	75.180
70.514	75.199
70.311	75.250
70.134	75.355
69.967	75.497
69.791	75.650
69.588	75.790
69.349	75.902
69.080	75.986
68.788	76.044
68.481	76.080
68.167	76.094
67.852	76.093
67.542	76.084
67.242	76.076
66.957	76.078
66.692	76.100
66.447	76.146
66.214	76.217
65.984	76.313
65.746	76.433
65.495	76.576
65.227	76.728
64.943	76.874
64.644	77.000
64.329	77.089
63.998	77.130
63.656	77.125
63.306	77.089
62.954	77.037
62.605	76.984
62.265	76.944
61.936	76.929
61.618	76.935
61.306	76.950
60.997	76.960
60.685	76.954
60.368	76.920
60.049	76.859
59.742	76.796
59.463	76.751
59.226	76.751
59.045	76.814
58.902	76.927
58.754	77.047
58.558	77.130
58.295	77.151
57.976	77.115
57.618	77.028
57.235	76.895
56.844	76.724
56.460	76.519
56.092	76.289
55.742	76.041
55.410	75.783
55.097	75.521
54.803	75.265
54.531	75.022
54.279	74.799
54.049	74.595
53.837	74.400
53.642	74.203
53.462	73.993
53.295	73.761
53.140	73.505
52.999	73.234
52.872	72.956
52.760	72.681
52.663	72.415
52.586	72.160
52.535	71.907
52.514	71.646
52.532	71.368
52.590	71.065
52.680	70.744
52.785	70.411
52.892	70.075
52.986	69.743
53.053	69.425
53.086	69.123
53.101	68.832
53.116	68.542
53.149	68.246
53.219	67.936
53.334	67.606
53.479	67.263
53.630	66.914
53.764	66.569
53.859	66.234
53.890	65.918
53.847	65.626
53.756	65.358
53.652	65.106
53.573	64.868
53.552	64.639
53.593	64.409
53.661	64.166
53.717	63.895
53.724	63.582
53.653	63.218
53.521	62.814
53.358	62.388
53.198	61.960
53.070	61.546
53.008	61.166
53.043	60.839
