X	Y
68.158	41.053
68.291	40.826
68.459	40.625
68.650	40.446
68.854	40.283
69.059	40.134
69.255	39.994
69.431	39.858
69.575	39.722
69.681	39.584
69.756	39.441
69.812	39.293
69.857	39.139
69.903	38.978
69.958	38.810
70.025	38.636
70.106	38.458
70.201	38.278
70.310	38.099
70.435	37.922
70.576	37.749
70.731	37.581
70.898	37.417
71.073	37.253
71.251	37.089
71.430	36.921
71.605	36.749
71.773	36.570
71.931	36.382
72.078	36.186
72.216	35.981
72.349	35.771
72.480	35.554
72.611	35.334
72.745	35.111
72.885	34.886
73.034	34.660
73.193	34.435
73.361	34.210
73.536	33.987
73.717	33.765
73.904	33.545
74.094	33.328
74.287	33.113
74.481	32.901
74.675	32.692
74.868	32.486
75.061	32.283
75.254	32.081
75.448	31.879
75.643	31.676
75.841	31.470
76.043	31.260
76.247	31.046
76.457	30.826
76.671	30.599
76.890	30.365
77.115	30.126
77.344	29.881
77.579	29.632
77.820	29.379
78.065	29.124
78.316	28.866
78.571	28.608
78.832	28.348
79.098	28.090
79.370	27.832
79.645	27.576
79.924	27.323
80.204	27.071
80.485	26.823
80.764	26.578
81.041	26.337
81.314	26.099
81.582	25.867
81.843	25.639
82.097	25.417
82.341	25.200
82.575	24.989
82.800	24.784
83.018	24.582
83.231	24.384
83.442	24.187
83.653	23.991
83.866	23.794
84.082	23.596
84.305	23.395
84.536	23.191
84.776	22.982
85.023	22.770
85.274	22.557
85.526	22.343
85.778	22.131
86.027	21.921
86.269	21.715
86.503	21.515
86.726	21.321
86.936	21.135
87.131	20.958
87.314	20.788
87.492	20.623
87.668	20.459
87.847	20.296
88.035	20.130
88.235	19.960
88.453	19.782
88.692	19.594
88.952	19.398
89.230	19.194
89.522	18.984
89.824	18.769
90.134	18.552
90.447	18.333
90.761	18.113
91.072	17.895
91.376	17.681
91.670	17.470
91.951	17.265
92.216	17.068
92.468	16.876
92.709	16.691
92.944	16.510
93.175	16.332
93.405	16.158
93.637	15.986
93.875	15.815
94.121	15.645
94.378	15.474
94.648	15.303
94.927	15.131
95.214	14.959
95.504	14.788
95.795	14.618
96.083	14.449
96.366	14.282
96.641	14.118
96.904	13.956
97.153	13.798
97.385	13.643
97.603	13.493
97.811	13.346
98.013	13.204
98.214	13.066
98.418	12.933
98.630	12.804
98.854	12.680
99.093	12.561
99.348	12.446
99.613	12.334
99.885	12.223
100.160	12.113
100.432	12.002
100.697	11.889
100.951	11.772
101.190	11.650
101.409	11.522
101.608	11.389
101.794	11.253
101.972	11.115
102.147	10.980
102.327	10.850
102.516	10.727
102.721	10.613
102.946	10.511
103.190	10.419
103.451	10.335
103.726	10.256
104.012	10.180
104.307	10.106
104.608	10.029
104.914	9.949
105.220	9.864
105.526	9.769
105.830	9.667
106.133	9.559
106.437	9.446
106.741	9.331
107.048	9.215
107.358	9.100
107.672	8.989
107.991	8.883
108.316	8.784
108.648	8.693
108.987	8.614
109.331	8.544
109.677	8.483
110.022	8.429
110.362	8.380
110.694	8.337
111.015	8.296
111.321	8.258
111.610	8.220
111.877	8.181
112.120	8.140
112.340	8.098
112.545	8.057
112.740	8.022
112.934	7.995
113.134	7.979
113.346	7.979
113.578	7.996
113.828	8.032
114.094	8.083
114.368	8.150
114.648	8.230
114.928	8.322
115.204	8.424
115.470	8.534
115.722	8.651
115.956	8.773
116.172	8.899
116.372	9.031
116.558	9.167
116.734	9.309
116.901	9.456
117.063	9.608
117.222	9.766
117.377	9.929
117.523	10.097
117.654	10.269
117.762	10.444
117.843	10.623
117.888	10.804
117.892	10.986
117.859	11.171
117.801	11.359
117.729	11.553
117.654	11.754
117.589	11.963
117.545	12.182
117.531	12.413
117.539	12.648
117.559	12.883
117.581	13.111
117.592	13.324
117.584	13.518
117.544	13.685
117.466	13.822
117.365	13.939
117.259	14.050
117.165	14.168
117.103	14.307
117.083	14.476
117.094	14.666
117.119	14.868
117.140	15.071
117.142	15.264
117.106	15.436
117.023	15.580
116.904	15.703
116.770	15.818
116.639	15.934
116.531	16.064
116.465	16.219
116.443	16.400
116.448	16.601
116.463	16.813
116.473	17.030
116.460	17.244
116.408	17.446
116.304	17.632
116.161	17.802
115.998	17.961
115.833	18.111
115.685	18.257
115.573	18.403
115.517	18.552
115.519	18.706
115.562	18.865
115.621	19.029
115.675	19.197
115.702	19.369
115.682	19.544
115.620	19.724
115.528	19.908
115.417	20.099
115.298	20.295
115.183	20.499
115.084	20.711
115.008	20.930
114.950	21.146
114.901	21.348
114.855	21.525
114.801	21.665
114.733	21.758
114.644	21.798
114.534	21.810
114.406	21.819
114.262	21.854
114.105	21.932
113.941	22.047
113.779	22.192
113.625	22.359
113.487	22.541
113.372	22.730
113.286	22.919
113.228	23.105
113.189	23.290
113.159	23.474
113.132	23.658
113.097	23.842
113.045	24.029
112.975	24.218
112.888	24.408
112.787	24.598
112.675	24.789
112.556	24.979
112.433	25.167
112.308	25.353
112.182	25.536
112.056	25.715
111.929	25.887
111.801	26.052
111.670	26.209
111.537	26.356
111.402	26.492
111.266	26.621
111.135	26.750
111.014	26.886
110.906	27.037
110.817	27.209
110.751	27.409
110.706	27.635
110.675	27.878
110.653	28.129
110.633	28.380
110.609	28.622
110.575	28.846
110.524	29.043
110.452	29.210
110.367	29.353
110.276	29.486
110.188	29.620
110.111	29.766
110.053	29.935
110.013	30.127
109.979	30.334
109.944	30.547
109.899	30.758
109.833	30.958
109.738	31.139
109.607	31.296
109.451	31.433
109.282	31.558
109.113	31.679
108.956	31.804
108.825	31.941
108.731	32.098
108.677	32.276
108.655	32.472
108.653	32.682
108.664	32.903
108.678	33.131
108.685	33.362
108.676	33.593
108.652	33.821
108.613	34.046
108.563	34.267
108.504	34.484
108.438	34.696
108.368	34.901
108.297	35.099
108.225	35.290
108.149	35.472
108.067	35.645
107.978	35.807
107.879	35.958
107.769	36.097
107.647	36.226
107.520	36.351
107.392	36.477
107.270	36.611
107.157	36.758
107.061	36.925
106.982	37.113
106.915	37.317
106.858	37.532
106.806	37.754
106.755	37.978
106.702	38.200
106.643	38.415
106.577	38.621
106.509	38.819
106.444	39.010
106.387	39.195
106.343	39.376
106.316	39.553
106.311	39.728
106.315	39.900
106.317	40.067
106.302	40.228
106.257	40.381
106.169	40.526
106.043	40.663
105.891	40.796
105.729	40.929
105.571	41.064
105.432	41.206
105.327	41.358
105.261	41.521
105.225	41.693
105.209	41.874
105.200	42.060
105.189	42.251
105.163	42.444
105.117	42.637
105.048	42.828
104.957	43.016
104.843	43.198
104.705	43.372
104.542	43.537
104.355	43.690
104.151	43.832
103.947	43.966
103.757	44.094
103.596	44.219
103.479	44.343
103.422	44.468
103.431	44.597
103.475	44.721
103.513	44.833
103.502	44.924
103.417	44.990
103.268	45.036
103.071	45.070
102.845	45.099
102.605	45.132
102.370	45.175
102.151	45.235
101.948	45.306
101.756	45.384
101.570	45.461
101.384	45.530
101.193	45.586
100.993	45.622
100.781	45.636
100.561	45.635
100.338	45.624
100.115	45.611
99.898	45.602
99.691	45.604
99.497	45.623
99.318	45.661
99.150	45.711
98.987	45.767
98.824	45.821
98.657	45.865
98.481	45.894
98.297	45.907
98.107	45.907
97.914	45.901
97.723	45.890
97.535	45.880
97.354	45.875
97.179	45.876
97.006	45.885
96.831	45.900
96.650	45.924
96.459	45.955
96.255	45.994
96.037	46.039
95.811	46.086
95.579	46.131
95.345	46.172
95.113	46.204
94.885	46.224
94.666	46.227
94.457	46.215
94.255	46.190
94.058	46.158
93.863	46.122
93.667	46.087
93.468	46.058
93.262	46.039
93.051	46.029
92.834	46.026
92.613	46.029
92.388	46.036
92.160	46.044
91.930	46.051
91.699	46.055
91.468	46.054
91.237	46.048
91.008	46.033
90.781	46.008
90.557	45.972
90.337	45.923
90.122	45.860
89.912	45.782
89.706	45.696
89.501	45.608
89.296	45.523
89.089	45.447
88.879	45.387
88.664	45.348
88.442	45.335
88.213	45.344
87.977	45.370
87.733	45.410
87.481	45.458
87.221	45.511
86.952	45.564
86.674	45.613
86.388	45.654
86.096	45.685
85.801	45.707
85.509	45.718
85.222	45.720
84.944	45.710
84.678	45.689
84.428	45.656
84.199	45.611
83.991	45.555
83.800	45.495
83.621	45.436
83.446	45.388
83.271	45.357
83.090	45.350
82.897	45.373
82.694	45.421
82.485	45.483
82.273	45.552
82.062	45.618
81.855	45.671
81.657	45.703
81.469	45.707
81.289	45.688
81.114	45.653
80.940	45.609
80.764	45.562
80.583	45.520
80.394	45.487
80.199	45.466
80.002	45.457
79.803	45.462
79.606	45.483
79.412	45.520
79.224	45.574
79.042	45.639
78.865	45.709
78.691	45.776
78.522	45.833
78.355	45.873
78.190	45.891
78.025	45.886
77.854	45.862
77.676	45.821
77.487	45.767
77.283	45.703
77.062	45.631
76.827	45.554
76.579	45.477
76.323	45.401
76.061	45.331
75.798	45.270
75.535	45.220
75.276	45.185
75.025	45.167
74.781	45.166
74.542	45.175
74.307	45.189
74.074	45.202
73.840	45.208
73.604	45.203
73.363	45.180
73.117	45.135
72.866	45.074
72.612	45.004
72.358	44.934
72.105	44.872
71.856	44.826
71.613	44.804
71.377	44.815
71.151	44.865
70.936	44.944
70.732	45.035
70.540	45.120
70.361	45.180
70.195	45.198
70.044	45.155
69.905	45.047
69.776	44.887
69.654	44.692
69.536	44.479
69.418	44.265
69.297	44.067
69.171	43.900
69.037	43.771
68.898	43.664
68.759	43.566
68.622	43.460
68.489	43.331
68.365	43.163
68.253	42.954
68.157	42.710
68.082	42.443
68.031	42.159
68.009	41.869
68.020	41.582
68.068	41.307
68.158	41.053
