X	Y
69.561	45.000
69.642	44.800
69.794	44.612
70.009	44.436
70.281	44.270
70.602	44.113
70.966	43.964
71.366	43.823
71.794	43.688
72.244	43.558
72.709	43.433
73.182	43.310
73.656	43.190
74.123	43.070
74.579	42.951
75.022	42.833
75.454	42.716
75.876	42.603
76.287	42.493
76.690	42.388
77.084	42.289
77.471	42.197
77.852	42.112
78.227	42.036
78.597	41.970
78.963	41.915
79.326	41.871
79.686	41.839
80.045	41.821
80.403	41.815
80.760	41.820
81.118	41.835
81.477	41.859
81.837	41.890
82.199	41.928
82.563	41.971
82.931	42.018
83.303	42.068
83.679	42.120
84.060	42.173
84.447	42.225
84.839	42.276
85.235	42.327
85.634	42.378
86.033	42.428
86.433	42.479
86.831	42.530
87.227	42.581
87.619	42.633
88.006	42.686
88.387	42.740
88.760	42.795
89.124	42.852
89.477	42.910
89.821	42.971
90.154	43.033
90.480	43.099
90.798	43.169
91.111	43.242
91.419	43.319
91.725	43.401
92.028	43.489
92.332	43.583
92.636	43.682
92.942	43.789
93.251	43.902
93.561	44.022
93.870	44.148
94.177	44.279
94.480	44.415
94.777	44.555
95.066	44.699
95.345	44.846
95.613	44.996
95.868	45.147
96.108	45.300
96.332	45.453
96.537	45.607
96.724	45.760
96.890	45.912
97.035	46.063
97.157	46.211
97.254	46.357
97.328	46.499
97.385	46.636
97.441	46.766
97.509	46.886
97.604	46.994
97.738	47.088
97.908	47.171
98.103	47.249
98.311	47.325
98.522	47.406
98.723	47.495
98.903	47.600
99.053	47.723
99.174	47.865
99.276	48.020
99.368	48.187
99.458	48.360
99.555	48.536
99.668	48.711
99.804	48.884
99.958	49.054
100.129	49.223
100.311	49.393
100.501	49.566
100.695	49.742
100.889	49.924
101.080	50.112
101.263	50.309
101.439	50.514
101.609	50.725
101.775	50.941
101.938	51.161
102.101	51.383
102.264	51.606
102.431	51.827
102.601	52.047
102.777	52.263
102.958	52.474
103.137	52.680
103.306	52.882
103.460	53.079
103.590	53.272
103.690	53.460
103.753	53.643
103.772	53.821
103.746	53.995
103.683	54.165
103.592	54.332
103.484	54.496
103.367	54.657
103.252	54.815
103.146	54.973
103.053	55.131
102.972	55.293
102.905	55.460
102.852	55.635
102.815	55.820
102.794	56.018
102.788	56.227
102.799	56.444
102.827	56.664
102.870	56.886
102.931	57.104
103.008	57.316
103.101	57.519
103.210	57.709
103.328	57.891
103.451	58.065
103.573	58.233
103.689	58.398
103.793	58.562
103.880	58.727
103.947	58.894
103.990	59.062
104.010	59.231
104.005	59.399
103.973	59.567
103.913	59.733
103.827	59.897
103.718	60.058
103.589	60.215
103.445	60.367
103.289	60.515
103.125	60.656
102.957	60.792
102.790	60.924
102.631	61.055
102.485	61.192
102.360	61.336
102.260	61.493
102.193	61.667
102.162	61.860
102.163	62.068
102.186	62.288
102.225	62.513
102.272	62.738
102.319	62.960
102.358	63.172
102.382	63.371
102.392	63.555
102.396	63.730
102.401	63.900
102.413	64.067
102.441	64.236
102.490	64.410
102.559	64.591
102.638	64.777
102.719	64.968
102.794	65.164
102.854	65.363
102.890	65.565
102.895	65.768
102.869	65.969
102.816	66.164
102.740	66.348
102.646	66.517
102.538	66.665
102.420	66.789
102.295	66.886
102.161	66.962
102.017	67.020
101.860	67.065
101.690	67.101
101.504	67.133
101.308	67.165
101.105	67.201
100.902	67.245
100.703	67.300
100.515	67.371
100.342	67.462
100.188	67.574
100.053	67.705
99.934	67.849
99.830	68.001
99.739	68.157
99.659	68.313
99.589	68.463
99.528	68.609
99.476	68.754
99.433	68.900
99.399	69.051
99.374	69.208
99.358	69.373
99.350	69.545
99.351	69.723
99.360	69.904
99.376	70.090
99.400	70.278
99.426	70.465
99.447	70.647
99.455	70.819
99.442	70.977
99.398	71.116
99.319	71.232
99.208	71.328
99.072	71.409
98.921	71.480
98.764	71.546
98.608	71.612
98.456	71.680
98.307	71.747
98.156	71.811
98.000	71.870
97.838	71.921
97.666	71.963
97.486	71.998
97.298	72.029
97.107	72.062
96.913	72.101
96.719	72.149
96.528	72.211
96.340	72.290
96.159	72.385
95.984	72.493
95.819	72.614
95.663	72.747
95.520	72.891
95.389	73.043
95.272	73.203
95.165	73.368
95.064	73.538
94.968	73.711
94.872	73.885
94.774	74.059
94.671	74.231
94.561	74.398
94.445	74.556
94.321	74.701
94.190	74.830
94.051	74.938
93.905	75.021
93.750	75.080
93.589	75.118
93.422	75.142
93.249	75.157
93.072	75.169
92.892	75.183
92.709	75.200
92.527	75.215
92.348	75.222
92.174	75.217
92.008	75.194
91.851	75.150
91.704	75.086
91.561	75.011
91.420	74.936
91.277	74.870
91.128	74.822
90.971	74.800
90.809	74.803
90.645	74.832
90.484	74.885
90.329	74.960
90.184	75.056
90.049	75.171
89.923	75.302
89.802	75.444
89.684	75.596
89.567	75.752
89.449	75.910
89.326	76.067
89.198	76.219
89.062	76.363
88.917	76.496
88.761	76.614
88.592	76.715
88.407	76.795
88.210	76.853
88.004	76.887
87.793	76.898
87.582	76.885
87.375	76.848
87.177	76.785
86.992	76.697
86.820	76.587
86.660	76.460
86.508	76.323
86.363	76.181
86.222	76.039
86.083	75.905
85.944	75.782
85.807	75.668
85.676	75.557
85.555	75.443
85.446	75.319
85.354	75.181
85.281	75.023
85.222	74.849
85.173	74.664
85.128	74.476
85.081	74.288
85.026	74.107
84.959	73.938
84.880	73.783
84.795	73.638
84.709	73.501
84.628	73.370
84.559	73.241
84.504	73.113
84.452	72.986
84.392	72.860
84.310	72.737
84.194	72.617
84.038	72.500
83.851	72.383
83.645	72.263
83.433	72.137
83.227	72.001
83.040	71.853
82.883	71.689
82.769	71.506
82.698	71.307
82.657	71.102
82.627	70.902
82.595	70.718
82.543	70.559
82.456	70.438
82.322	70.360
82.155	70.316
81.969	70.288
81.782	70.264
81.611	70.227
81.471	70.162
81.373	70.062
81.305	69.930
81.255	69.776
81.211	69.608
81.157	69.433
81.084	69.258
80.989	69.089
80.874	68.924
80.743	68.767
80.598	68.617
80.443	68.476
80.280	68.346
80.113	68.226
79.943	68.114
79.770	68.004
79.597	67.893
79.423	67.775
79.251	67.645
79.082	67.500
78.915	67.335
78.752	67.151
78.590	66.952
78.429	66.742
78.267	66.525
78.104	66.305
77.938	66.087
77.767	65.873
77.592	65.667
77.411	65.475
77.224	65.293
77.033	65.119
76.838	64.949
76.641	64.779
76.444	64.605
76.246	64.424
76.051	64.232
75.857	64.025
75.668	63.800
75.483	63.557
75.301	63.299
75.121	63.027
74.944	62.745
74.768	62.455
74.593	62.160
74.419	61.862
74.244	61.564
74.068	61.269
73.891	60.978
73.711	60.695
73.530	60.421
73.348	60.155
73.166	59.897
72.986	59.645
72.808	59.400
72.635	59.159
72.467	58.922
72.306	58.689
72.152	58.459
72.008	58.230
71.873	58.003
71.748	57.777
71.632	57.552
71.525	57.329
71.424	57.109
71.331	56.890
71.244	56.675
71.162	56.461
71.085	56.251
71.011	56.043
70.936	55.836
70.858	55.628
70.774	55.418
70.681	55.206
70.576	54.989
70.455	54.766
70.318	54.537
70.168	54.302
70.010	54.063
69.850	53.822
69.695	53.579
69.549	53.337
69.420	53.098
69.313	52.862
69.233	52.632
69.186	52.408
69.171	52.192
69.182	51.983
69.214	51.780
69.259	51.582
69.312	51.390
69.368	51.202
69.420	51.019
69.469	50.838
69.519	50.656
69.573	50.471
69.636	50.281
69.711	50.082
69.802	49.871
69.913	49.648
70.039	49.411
70.171	49.163
70.301	48.906
70.422	48.640
70.524	48.369
70.600	48.093
70.641	47.814
70.639	47.535
70.586	47.256
70.484	46.980
70.346	46.707
70.186	46.439
70.018	46.177
69.857	45.922
69.716	45.675
69.611	45.439
69.554	45.213
69.561	45.000
