X	Y
55.188	22.830
55.248	22.794
55.354	22.782
55.490	22.776
55.640	22.762
55.789	22.723
55.927	22.650
56.057	22.548
56.183	22.425
56.308	22.288
56.437	22.144
56.574	22.001
56.722	21.865
56.884	21.742
57.058	21.629
57.241	21.526
57.433	21.429
57.631	21.337
57.833	21.247
58.037	21.157
58.240	21.066
58.441	20.970
58.640	20.869
58.837	20.763
59.032	20.654
59.228	20.539
59.424	20.421
59.622	20.299
59.821	20.174
60.023	20.045
60.229	19.912
60.437	19.777
60.647	19.641
60.856	19.505
61.063	19.370
61.267	19.236
61.467	19.106
61.659	18.981
61.844	18.861
62.020	18.747
62.186	18.641
62.345	18.540
62.501	18.442
62.656	18.347
62.814	18.251
62.978	18.153
63.151	18.051
63.336	17.943
63.533	17.830
63.742	17.711
63.960	17.587
64.188	17.457
64.424	17.322
64.668	17.183
64.917	17.039
65.171	16.891
65.430	16.740
65.691	16.584
65.954	16.426
66.218	16.265
66.480	16.101
66.741	15.936
66.998	15.771
67.251	15.604
67.497	15.439
67.736	15.274
67.967	15.110
68.187	14.948
68.396	14.790
68.593	14.634
68.777	14.482
68.952	14.335
69.119	14.192
69.281	14.055
69.439	13.925
69.596	13.801
69.755	13.685
69.917	13.577
70.084	13.476
70.257	13.383
70.434	13.293
70.617	13.206
70.805	13.119
70.997	13.030
71.195	12.937
71.396	12.839
71.603	12.732
71.813	12.618
72.027	12.498
72.243	12.371
72.461	12.239
72.681	12.102
72.901	11.962
73.122	11.818
73.343	11.672
73.562	11.524
73.780	11.375
73.996	11.225
74.211	11.075
74.425	10.925
74.638	10.775
74.849	10.627
75.060	10.479
75.270	10.332
75.479	10.187
75.688	10.044
75.897	9.903
76.105	9.765
76.314	9.628
76.523	9.493
76.732	9.359
76.942	9.227
77.153	9.095
77.365	8.963
77.578	8.832
77.793	8.701
78.009	8.569
78.227	8.438
78.445	8.306
78.662	8.176
78.879	8.047
79.093	7.921
79.306	7.796
79.514	7.675
79.720	7.557
79.920	7.444
80.115	7.335
80.306	7.230
80.493	7.130
80.677	7.035
80.859	6.944
81.039	6.859
81.219	6.779
81.399	6.704
81.579	6.634
81.761	6.568
81.945	6.503
82.132	6.438
82.321	6.371
82.514	6.300
82.710	6.222
82.911	6.137
83.117	6.043
83.327	5.941
83.541	5.834
83.758	5.725
83.978	5.615
84.200	5.508
84.424	5.407
84.649	5.313
84.875	5.229
85.101	5.158
85.327	5.100
85.553	5.054
85.779	5.017
86.006	4.988
86.234	4.965
86.463	4.947
86.693	4.931
86.925	4.916
87.159	4.899
87.394	4.881
87.630	4.863
87.865	4.845
88.099	4.828
88.331	4.815
88.559	4.806
88.783	4.802
89.002	4.805
89.213	4.815
89.419	4.834
89.619	4.860
89.816	4.892
90.012	4.929
90.208	4.971
90.406	5.015
90.607	5.061
90.813	5.108
91.025	5.155
91.240	5.204
91.455	5.254
91.668	5.307
91.876	5.364
92.076	5.425
92.266	5.490
92.442	5.562
92.604	5.640
92.753	5.723
92.894	5.810
93.030	5.899
93.165	5.988
93.303	6.077
93.447	6.162
93.601	6.246
93.763	6.328
93.933	6.413
94.111	6.501
94.297	6.596
94.489	6.699
94.688	6.813
94.893	6.939
95.100	7.079
95.301	7.229
95.488	7.385
95.654	7.545
95.790	7.704
95.887	7.861
95.938	8.011
95.935	8.152
95.876	8.282
95.774	8.403
95.644	8.518
95.497	8.628
95.349	8.737
95.212	8.845
95.099	8.956
95.005	9.065
94.923	9.166
94.840	9.254
94.749	9.322
94.641	9.366
94.517	9.392
94.390	9.415
94.269	9.450
94.166	9.512
94.089	9.614
94.034	9.750
93.991	9.909
93.948	10.079
93.895	10.247
93.822	10.401
93.718	10.529
93.585	10.630
93.442	10.711
93.305	10.782
93.191	10.851
93.119	10.928
93.101	11.020
93.125	11.127
93.166	11.248
93.201	11.379
93.205	11.518
93.160	11.662
93.072	11.808
92.949	11.952
92.800	12.090
92.635	12.219
92.464	12.335
92.295	12.435
92.136	12.516
91.992	12.582
91.863	12.642
91.751	12.703
91.656	12.773
91.579	12.861
91.519	12.968
91.464	13.089
91.407	13.218
91.336	13.347
91.242	13.472
91.118	13.585
90.975	13.688
90.831	13.784
90.702	13.875
90.608	13.964
90.564	14.055
90.584	14.149
90.648	14.247
90.732	14.349
90.810	14.455
90.858	14.564
90.864	14.676
90.834	14.791
90.777	14.909
90.702	15.029
90.619	15.153
90.533	15.279
90.452	15.407
90.380	15.538
90.323	15.672
90.287	15.808
90.277	15.946
90.290	16.086
90.321	16.229
90.364	16.375
90.413	16.523
90.462	16.674
90.507	16.827
90.545	16.984
90.577	17.143
90.605	17.305
90.628	17.468
90.648	17.634
90.665	17.801
90.678	17.969
90.688	18.136
90.692	18.302
90.689	18.464
90.678	18.621
90.659	18.772
90.629	18.915
90.585	19.049
90.525	19.173
90.445	19.286
90.341	19.388
90.212	19.478
90.059	19.557
89.895	19.631
89.731	19.707
89.577	19.788
89.444	19.880
89.344	19.990
89.285	20.121
89.261	20.270
89.264	20.432
89.283	20.604
89.308	20.780
89.331	20.955
89.341	21.125
89.336	21.288
89.316	21.445
89.283	21.596
89.240	21.744
89.187	21.889
89.127	22.032
89.060	22.172
88.984	22.308
88.896	22.437
88.796	22.556
88.680	22.664
88.547	22.758
88.397	22.837
88.236	22.903
88.069	22.960
87.902	23.010
87.742	23.055
87.593	23.098
87.462	23.142
87.348	23.190
87.248	23.246
87.158	23.313
87.074	23.395
86.994	23.495
86.919	23.610
86.849	23.740
86.786	23.880
86.732	24.030
86.688	24.186
86.654	24.346
86.627	24.511
86.605	24.678
86.582	24.848
86.558	25.021
86.527	25.194
86.487	25.369
86.436	25.543
86.377	25.717
86.312	25.890
86.241	26.061
86.166	26.229
86.090	26.394
86.014	26.555
85.938	26.712
85.861	26.864
85.781	27.011
85.695	27.152
85.603	27.287
85.502	27.415
85.391	27.536
85.269	27.648
85.137	27.745
84.997	27.825
84.851	27.884
84.698	27.918
84.540	27.923
84.378	27.899
84.215	27.852
84.049	27.784
83.884	27.700
83.721	27.604
83.560	27.500
83.403	27.393
83.249	27.285
83.098	27.177
82.947	27.070
82.796	26.966
82.642	26.865
82.483	26.768
82.320	26.678
82.150	26.594
81.975	26.517
81.796	26.446
81.615	26.383
81.434	26.326
81.253	26.276
81.074	26.234
80.899	26.199
80.726	26.171
80.555	26.150
80.382	26.136
80.208	26.128
80.029	26.126
79.844	26.130
79.653	26.140
79.456	26.155
79.254	26.175
79.049	26.198
78.843	26.225
78.639	26.254
78.437	26.284
78.239	26.315
78.047	26.346
77.860	26.378
77.678	26.412
77.498	26.448
