X	Y
56.320	25.943
56.463	25.793
56.646	25.680
56.863	25.599
57.112	25.547
57.390	25.519
57.693	25.512
58.017	25.522
58.359	25.544
58.716	25.574
59.084	25.610
59.461	25.645
59.842	25.678
60.225	25.706
60.611	25.730
60.998	25.749
61.387	25.766
61.776	25.779
62.164	25.790
62.552	25.799
62.939	25.806
63.324	25.813
63.707	25.818
64.086	25.824
64.462	25.830
64.834	25.836
65.202	25.844
65.564	25.854
65.921	25.865
66.274	25.879
66.623	25.895
66.969	25.913
67.314	25.934
67.657	25.958
68.000	25.984
68.343	26.014
68.687	26.047
69.034	26.083
69.383	26.123
69.735	26.166
70.092	26.213
70.454	26.264
70.820	26.318
71.188	26.376
71.558	26.436
71.926	26.498
72.293	26.562
72.656	26.626
73.014	26.692
73.365	26.757
73.707	26.822
74.039	26.886
74.360	26.949
74.668	27.009
74.961	27.067
75.237	27.123
75.499	27.175
75.747	27.226
75.982	27.276
76.206	27.325
76.421	27.375
76.627	27.425
76.826	27.477
77.019	27.531
77.208	27.587
77.394	27.647
77.578	27.711
77.759	27.780
77.940	27.853
78.120	27.932
78.301	28.017
78.483	28.109
78.666	28.208
78.849	28.309
79.029	28.407
79.204	28.497
79.371	28.575
79.528	28.635
79.672	28.672
79.801	28.683
79.918	28.674
80.032	28.660
80.148	28.656
80.275	28.677
80.417	28.734
80.574	28.826
80.741	28.945
80.915	29.086
81.094	29.241
81.272	29.405
81.448	29.572
81.616	29.734
81.775	29.886
81.923	30.026
82.061	30.157
82.192	30.282
82.316	30.404
82.436	30.528
82.554	30.655
82.670	30.789
82.785	30.933
82.899	31.083
83.009	31.238
83.115	31.397
83.215	31.558
83.307	31.718
83.390	31.876
83.462	32.031
83.525	32.181
83.577	32.327
83.620	32.468
83.653	32.605
83.678	32.735
83.693	32.861
83.701	32.985
83.701	33.111
83.693	33.242
83.679	33.381
83.659	33.532
83.631	33.689
83.592	33.845
83.542	33.994
83.478	34.128
83.398	34.241
83.300	34.328
83.188	34.396
83.065	34.455
82.935	34.513
82.802	34.581
82.669	34.668
82.538	34.777
82.409	34.903
82.281	35.045
82.155	35.196
82.030	35.353
81.906	35.512
81.783	35.669
81.661	35.822
81.541	35.970
81.425	36.115
81.315	36.258
81.213	36.401
81.121	36.545
81.039	36.691
80.971	36.839
80.910	36.987
80.852	37.128
80.792	37.259
80.723	37.374
80.642	37.468
80.546	37.543
80.442	37.607
80.338	37.675
80.243	37.758
80.165	37.868
80.104	38.008
80.055	38.166
80.006	38.328
79.950	38.480
79.878	38.608
79.781	38.698
79.657	38.748
79.518	38.772
79.377	38.789
79.248	38.816
79.144	38.872
79.072	38.968
79.024	39.093
78.986	39.234
78.944	39.374
78.886	39.500
78.798	39.598
78.682	39.668
78.546	39.717
78.397	39.753
78.245	39.783
78.095	39.814
77.955	39.852
77.824	39.902
77.703	39.965
77.591	40.045
77.487	40.146
