X	Y
351.000	168.000
351.061	166.510
351.839	165.072
353.213	163.688
355.063	162.361
357.267	161.093
359.705	159.886
362.256	158.743
364.800	157.665
367.266	156.649
369.660	155.678
371.996	154.735
374.288	153.803
376.550	152.865
378.795	151.903
381.039	150.901
383.293	149.842
385.573	148.709
387.887	147.495
390.233	146.214
392.609	144.884
395.012	143.521
397.440	142.143
399.889	140.765
402.358	139.405
404.843	138.080
407.342	136.806
409.853	135.599
412.368	134.468
414.876	133.402
417.365	132.391
419.821	131.425
422.233	130.495
424.588	129.589
426.874	128.698
429.078	127.811
431.187	126.919
433.192	126.011
435.092	125.084
436.887	124.131
438.578	123.149
440.164	122.133
441.647	121.077
443.027	119.978
444.311	118.843
445.534	117.730
446.739	116.709
447.966	115.850
449.256	115.221
450.651	114.888
452.157	114.835
453.741	114.945
455.370	115.100
457.010	115.180
458.627	115.067
460.193	114.657
461.722	113.964
463.252	113.066
464.817	112.040
466.456	110.961
468.205	109.908
470.099	108.956
472.162	108.160
474.363	107.499
476.663	106.935
479.022	106.431
481.400	105.949
483.757	105.452
486.052	104.901
488.246	104.259
490.303	103.491
492.235	102.585
494.090	101.545
495.916	100.378
497.759	99.088
499.668	97.681
501.690	96.163
503.872	94.539
506.264	92.813
508.877	91.011
511.629	89.212
514.415	87.505
517.134	85.981
519.684	84.727
521.961	83.835
523.863	83.394
525.287	83.492
526.133	84.220
526.393	85.566
526.268	87.312
525.979	89.212
525.753	91.021
525.811	92.494
526.370	93.394
527.488	93.655
529.076	93.369
531.039	92.633
533.284	91.546
535.716	90.203
538.242	88.704
540.766	87.146
543.206	85.619
545.535	84.169
547.748	82.832
549.838	81.641
551.797	80.629
553.620	79.831
555.300	79.281
556.830	79.012
558.217	79.044
559.540	79.316
560.902	79.740
562.410	80.227
564.168	80.688
566.282	81.033
568.777	81.211
571.468	81.268
574.129	81.269
576.537	81.279
578.468	81.362
579.695	81.584
579.996	82.009
579.245	82.677
577.694	83.543
575.685	84.537
573.560	85.590
571.660	86.633
570.329	87.599
569.895	88.420
570.441	89.070
571.829	89.561
573.910	89.907
576.535	90.120
579.558	90.213
582.830	90.199
586.203	90.092
589.530	89.904
592.683	89.668
595.550	89.438
598.025	89.267
599.999	89.209
601.364	89.319
602.011	89.651
601.837	90.257
600.975	91.121
599.894	92.131
599.089	93.167
599.054	94.108
600.054	94.882
601.722	95.549
603.582	96.193
605.157	96.897
605.972	97.744
605.611	98.805
604.219	100.037
602.232	101.336
600.093	102.599
598.243	103.722
597.123	104.601
597.169	105.133
598.477	105.303
600.618	105.226
603.117	105.031
605.497	104.846
607.284	104.798
608.002	105.016
607.324	105.590
605.442	106.478
602.665	107.606
599.300	108.904
595.656	110.299
592.040	111.719
588.761	113.091
586.127	114.344
584.446	115.405
584.023	116.203
584.965	116.713
587.032	116.990
589.952	117.095
593.453	117.093
597.262	117.045
601.107	117.014
604.714	117.064
607.812	117.256
610.127	117.653
611.393	118.317
611.548	119.247
610.774	120.372
609.274	121.612
607.246	122.891
604.890	124.130
602.407	125.253
599.972	126.218
597.717	127.056
595.766	127.806
594.244	128.507
593.276	129.199
592.986	129.921
593.450	130.709
594.468	131.581
595.746	132.548
596.991	133.621
597.909	134.812
598.243	136.120
597.960	137.470
597.114	138.758
595.758	139.880
593.949	140.732
591.745	141.217
589.304	141.353
586.869	141.261
584.687	141.064
583.004	140.888
582.068	140.857
582.121	141.093
583.213	141.649
585.016	142.440
587.161	143.366
589.281	144.326
591.005	145.220
591.965	145.949
591.865	146.431
590.773	146.682
588.880	146.750
586.374	146.684
583.446	146.530
580.283	146.337
577.076	146.152
574.014	146.023
571.273	145.996
568.887	146.081
566.785	146.266
564.899	146.539
563.158	146.888
561.491	147.299
