X	Y
355.000	180.000
356.075	179.289
357.715	178.923
359.858	178.875
362.443	179.118
365.405	179.623
368.683	180.362
372.215	181.310
375.939	182.436
379.791	183.715
383.709	185.118
387.632	186.618
391.496	188.187
395.240	189.797
398.801	191.421
402.116	193.032
405.124	194.601
407.809	196.114
410.212	197.574
412.380	198.984
414.360	200.348
416.198	201.670
417.940	202.953
419.634	204.201
421.325	205.418
423.060	206.607
424.886	207.772
426.849	208.916
428.986	210.045
431.291	211.162
433.740	212.275
436.311	213.389
438.984	214.510
441.734	215.646
444.542	216.801
447.384	217.982
450.238	219.195
453.083	220.447
455.896	221.742
458.655	223.088
461.339	224.490
463.925	225.955
466.396	227.485
468.760	229.067
471.029	230.681
473.216	232.309
475.335	233.934
477.397	235.538
479.418	237.101
481.408	238.605
483.382	240.033
485.353	241.366
487.332	242.586
489.335	243.674
491.370	244.615
493.427	245.429
495.475	246.156
497.487	246.836
499.435	247.512
501.290	248.224
503.024	249.014
504.607	249.923
506.013	250.991
507.212	252.260
508.177	253.735
508.885	255.339
509.310	256.983
509.430	258.581
509.221	260.042
508.659	261.279
507.721	262.204
506.405	262.771
504.756	263.014
502.821	262.975
500.649	262.697
498.287	262.224
495.785	261.597
493.190	260.859
490.551	260.054
487.916	259.223
485.333	258.410
482.849	257.656
480.487	256.975
478.244	256.353
476.114	255.772
474.093	255.216
472.175	254.667
470.356	254.110
468.631	253.526
466.994	252.900
465.440	252.215
463.965	251.455
462.558	250.624
461.209	249.736
459.906	248.805
458.636	247.845
457.390	246.872
456.154	245.898
454.919	244.938
453.672	244.004
452.407	243.103
451.119	242.238
449.800	241.416
448.444	240.641
447.046	239.918
445.599	239.252
444.097	238.646
442.549	238.095
440.971	237.583
439.381	237.096
437.797	236.620
436.237	236.139
434.718	235.638
433.258	235.102
431.872	234.520
430.557	233.901
429.304	233.261
428.101	232.620
426.938	231.993
425.806	231.399
424.693	230.855
423.588	230.365
422.476	229.904
421.345	229.448
420.178	228.970
418.963	228.445
417.684	227.848
416.336	227.166
414.924	226.420
413.458	225.632
411.946	224.825
410.399	224.021
408.825	223.243
407.232	222.514
405.630	221.856
404.027	221.278
402.431	220.761
400.847	220.284
399.283	219.824
397.746	219.359
396.243	218.867
394.781	218.325
393.366	217.713
391.997	217.025
390.660	216.272
389.343	215.468
388.034	214.628
386.719	213.763
385.387	212.887
384.023	212.014
382.624	211.153
381.216	210.293
379.835	209.418
378.518	208.513
377.301	207.563
376.219	206.551
375.309	205.462
374.603	204.284
374.074	203.038
373.651	201.775
373.261	200.545
372.832	199.399
372.291	198.387
371.567	197.557
370.642	196.893
369.535	196.321
368.270	195.770
366.869	195.166
365.356	194.437
363.753	193.508
362.084	192.312
360.404	190.856
358.790	189.218
357.323	187.476
356.083	185.711
355.151	184.001
354.606	182.427
354.529	181.066
355.000	180.000
