X	Y
307.990	213.511
309.328	211.522
311.078	210.055
313.048	208.872
315.046	207.734
316.884	206.411
318.511	204.880
320.005	203.326
321.453	201.943
322.940	200.923
324.480	200.271
325.991	199.719
327.380	198.980
328.604	197.870
329.750	196.483
330.930	194.959
332.248	193.434
333.735	191.954
335.357	190.492
337.079	189.020
338.865	187.507
340.689	185.937
342.540	184.318
344.408	182.660
346.286	180.973
348.165	179.268
350.040	177.548
351.915	175.803
353.793	174.026
355.677	172.207
357.572	170.337
359.477	168.418
361.389	166.477
363.300	164.542
365.206	162.640
367.100	160.800
368.976	159.042
370.819	157.354
372.609	155.712
374.331	154.092
375.966	152.470
377.513	150.828
379.016	149.168
380.530	147.496
382.106	145.814
383.795	144.128
385.603	142.440
387.505	140.748
389.477	139.052
391.491	137.349
393.524	135.641
395.543	133.930
397.516	132.224
399.406	130.530
401.181	128.855
402.809	127.205
404.319	125.571
405.794	123.929
407.319	122.256
408.979	120.528
410.827	118.735
412.808	116.914
414.845	115.111
416.864	113.375
418.786	111.753
420.551	110.277
422.191	108.907
423.773	107.573
425.363	106.206
427.023	104.741
428.775	103.169
430.612	101.519
432.529	99.824
434.516	98.113
436.565	96.417
438.643	94.754
440.706	93.140
442.712	91.587
444.616	90.109
446.380	88.717
448.028	87.378
449.620	86.031
451.217	84.619
452.880	83.086
454.616	81.479
456.379	79.960
458.117	78.696
459.782	77.857
461.333	77.478
462.764	77.236
464.072	76.744
465.307	75.810
466.643	74.711
468.272	73.795
470.354	73.363
472.801	73.401
475.414	73.746
477.992	74.239
480.335	74.716
482.280	75.077
483.826	75.478
485.013	76.150
485.881	77.284
486.457	78.804
486.760	80.515
486.821	82.232
486.813	83.888
487.005	85.500
487.666	87.085
488.827	88.662
490.214	90.255
491.526	91.887
492.472	93.581
493.023	95.315
493.484	97.013
494.181	98.596
495.362	100.008
496.869	101.324
498.399	102.662
499.652	104.142
500.420	105.844
500.821	107.709
501.051	109.645
501.302	111.564
501.659	113.410
502.019	115.192
502.257	116.923
502.268	118.617
502.159	120.277
502.158	121.900
502.488	123.485
503.148	125.047
503.892	126.622
504.454	128.246
504.616	129.917
504.285	131.508
503.394	132.870
501.995	133.909
500.673	134.771
500.155	135.674
500.823	136.773
502.011	138.045
502.856	139.436
502.754	140.883
501.906	142.301
500.667	143.602
499.415	144.723
498.614	145.710
498.733	146.636
499.666	147.591
500.585	148.695
500.736	150.044
500.187	151.581
499.359	153.181
498.647	154.723
498.127	156.170
497.659	157.537
497.112	158.841
496.506	160.132
495.963	161.477
495.583	162.937
495.304	164.528
494.999	166.240
494.542	168.065
493.901	169.928
493.130	171.701
492.286	173.252
491.431	174.494
490.651	175.653
490.047	177.076
489.675	179.002
489.377	181.101
488.928	182.864
488.102	183.787
486.911	183.904
485.751	184.145
484.961	185.278
484.498	187.047
484.216	188.932
483.977	190.455
483.753	191.650
483.585	192.876
483.476	194.365
483.334	195.990
483.052	197.567
482.548	198.975
481.838	200.313
480.958	201.730
479.945	203.324
478.832	204.987
477.651	206.553
476.435	207.857
475.206	208.832
473.964	209.637
472.706	210.463
471.473	211.459
470.415	212.672
469.696	214.136
469.376	215.820
469.167	217.470
468.702	218.786
467.704	219.560
466.304	220.017
464.760	220.515
463.262	221.283
461.815	222.179
460.388	222.991
458.941	223.533
457.348	223.781
455.447	223.784
453.078	223.590
450.348	223.286
447.888	223.027
446.388	222.979
446.522	223.301
448.184	224.001
450.258	224.889
451.559	225.760
451.179	226.446
449.436	226.937
446.991	227.271
444.490	227.481
442.222	227.611
440.123	227.705
438.112	227.811
436.108	227.974
434.092	228.236
432.163	228.629
430.435	229.183
429.009	229.925
427.801	230.756
426.545	231.460
424.983	231.832
423.160	231.922
421.353	231.983
419.848	232.273
418.725	232.890
417.579	233.556
415.956	233.948
413.798	233.999
411.423	233.879
409.164	233.769
407.353	233.846
406.043	234.178
404.797	234.638
403.146	235.079
400.966	235.446
398.461	235.765
395.853	236.069
393.362	236.389
391.173	236.749
389.207	237.106
387.259	237.390
385.124	237.530
382.627	237.467
379.955	237.313
377.530	237.290
375.781	237.623
375.112	238.524
375.154	239.808
374.585	240.803
372.517	241.046
369.500	240.766
366.348	240.320
363.873	240.066
362.875	240.356
363.002	241.140
362.142	241.742
359.878	241.998
356.571	241.981
352.582	241.763
348.275	241.418
344.014	241.021
340.158	240.644
336.920	240.342
334.221	240.138
331.950	240.048
329.997	240.090
328.251	240.279
326.614	240.560
325.006	240.766
323.346	240.718
321.585	240.302
319.756	239.602
317.911	238.745
316.104	237.855
314.375	236.956
312.749	235.867
311.247	234.382
309.892	232.297
308.718	229.531
307.791	226.289
307.184	222.818
306.967	219.366
307.212	216.182
307.990	213.511
