X	Y
313.328	241.801
315.736	241.036
318.555	241.253
321.521	241.913
324.372	242.479
326.999	242.665
329.539	242.580
332.147	242.368
334.954	242.160
337.928	241.993
340.973	241.874
343.993	241.805
346.920	241.788
349.829	241.802
352.844	241.817
356.090	241.807
359.647	241.742
363.333	241.602
366.868	241.365
369.971	241.011
372.370	240.521
374.162	239.915
375.922	239.260
378.185	238.623
380.946	238.030
383.963	237.485
386.993	236.997
389.844	236.561
392.524	236.143
395.093	235.695
397.610	235.176
400.131	234.611
402.711	234.115
405.405	233.810
408.236	233.775
411.068	233.878
413.711	233.912
415.977	233.675
417.889	233.120
419.794	232.444
422.039	231.852
424.586	231.379
427.098	230.932
429.241	230.418
430.966	229.870
432.696	229.536
434.812	229.634
437.223	230.123
439.680	230.876
441.959	231.772
444.084	232.754
446.227	233.807
448.552	234.913
451.081	236.082
453.695	237.350
456.275	238.749
458.705	240.314
460.951	242.053
463.016	243.967
464.906	246.054
466.628	248.306
468.209	250.685
469.679	253.149
471.067	255.652
472.364	258.173
473.471	260.741
474.275	263.389
474.672	266.150
474.711	268.967
474.593	271.697
474.526	274.193
474.683	276.369
475.058	278.447
475.590	280.741
476.138	283.372
476.230	285.657
475.312	286.708
473.416	286.361
471.894	286.089
471.918	287.186
472.993	289.125
474.182	290.913
474.934	292.321
474.990	293.656
474.469	295.197
473.920	297.174
473.618	299.438
473.131	300.936
472.066	300.787
471.184	300.632
471.052	302.081
470.777	304.303
469.709	306.385
468.709	308.140
468.965	309.552
470.428	310.719
471.355	311.902
470.628	313.296
469.122	314.895
467.946	316.643
467.170	318.289
466.202	319.454
464.811	320.028
463.445	320.385
462.450	321.025
461.875	322.468
461.474	324.275
460.854	325.503
459.783	326.060
458.282	326.737
456.820	327.758
455.984	329.096
455.544	330.498
454.679	331.553
453.201	332.011
451.404	331.817
449.834	331.741
449.121	332.947
448.908	335.030
448.121	336.432
446.408	336.443
445.064	336.308
444.539	336.918
443.322	337.726
441.828	338.485
440.731	339.246
440.287	340.639
440.239	342.582
439.708	343.826
438.274	343.777
436.896	343.886
436.055	344.906
434.863	345.577
433.346	345.727
432.484	346.405
431.819	347.496
430.193	348.186
428.077	348.483
426.328	348.598
425.142	348.590
424.030	348.424
422.987	348.776
422.014	349.927
420.688	350.915
419.017	351.335
417.794	351.916
417.225	352.979
416.060	353.689
414.062	353.849
411.980	353.902
410.356	354.163
408.913	354.425
407.324	354.461
405.793	354.426
404.601	354.481
403.663	354.269
402.652	353.517
401.240	352.362
399.953	351.725
399.545	352.605
400.074	354.467
401.222	356.202
401.983	357.394
401.152	357.989
399.192	357.935
397.492	357.184
396.529	355.901
395.808	354.472
395.020	353.140
394.208	351.923
393.377	350.790
392.441	349.673
391.562	348.416
391.204	346.798
391.275	345.448
391.042	345.920
390.715	347.815
391.013	349.667
391.860	351.066
392.628	352.346
392.895	353.601
392.492	354.615
391.324	354.986
389.550	354.600
387.679	353.949
386.125	353.504
384.608	353.358
382.702	353.454
380.515	353.552
378.372	353.344
376.516	352.639
374.901	351.679
373.423	350.789
372.094	350.027
371.038	349.245
370.301	349.247
369.682	350.433
368.680	350.471
367.243	348.927
365.674	346.996
364.224	345.638
362.908	344.660
361.671	343.580
360.444	342.177
359.144	340.425
357.728	338.475
356.294	337.058
354.962	336.984
353.772	337.778
352.673	337.494
351.734	335.809
351.112	333.613
350.772	331.608
350.292	330.077
349.302	329.159
348.090	328.336
347.116	326.971
346.332	325.148
345.543	323.164
344.655	321.175
343.707	319.165
342.742	317.110
341.740	315.057
340.625	313.123
339.328	311.422
338.066	309.924
337.334	308.460
337.362	306.879
337.412	305.132
336.657	303.190
335.122	301.029
333.202	298.626
331.291	295.959
329.679	293.052
328.343	290.065
327.202	287.183
326.176	284.592
325.178	282.430
324.097	280.622
322.814	279.034
321.342	277.550
320.099	276.109
319.540	274.662
319.367	273.252
318.654	271.988
317.519	270.769
316.812	269.348
316.671	267.614
316.491	265.599
315.821	263.376
314.743	261.125
313.440	259.041
312.097	257.242
310.928	255.431
310.156	253.180
309.973	250.202
310.434	246.903
311.549	243.898
313.328	241.801
