X	Y
349.000	171.000
350.539	170.204
352.091	169.752
353.650	169.403
355.211	168.918
356.773	168.149
358.350	167.185
359.958	166.158
361.613	165.197
363.328	164.421
365.103	163.843
366.926	163.428
368.788	163.137
370.680	162.936
372.606	162.783
374.589	162.635
376.656	162.450
378.831	162.183
381.138	161.793
383.561	161.284
386.045	160.708
388.530	160.119
390.958	159.571
393.272	159.119
395.417	158.810
397.386	158.612
399.202	158.445
400.891	158.226
402.476	157.874
403.995	157.369
405.508	156.798
407.076	156.256
408.762	155.834
410.585	155.558
412.520	155.373
414.540	155.220
416.615	155.041
418.719	154.782
420.821	154.438
422.893	154.025
424.906	153.557
426.830	153.048
428.647	152.517
430.406	151.997
432.173	151.527
434.018	151.146
436.004	150.890
438.102	150.737
440.188	150.604
442.133	150.407
443.809	150.060
445.131	149.505
446.265	148.835
447.470	148.201
448.989	147.742
450.844	147.472
452.893	147.313
454.990	147.183
456.991	147.001
458.792	146.701
460.449	146.277
462.064	145.742
463.736	145.105
465.552	144.379
467.517	143.597
469.607	142.794
471.796	142.008
474.059	141.276
476.369	140.632
478.706	140.074
481.051	139.567
483.386	139.078
485.691	138.571
487.949	138.014
490.151	137.380
492.333	136.684
494.543	135.952
496.829	135.209
499.238	134.481
501.818	133.793
504.565	133.155
507.398	132.549
510.225	131.958
512.956	131.361
515.499	130.741
517.764	130.079
519.686	129.362
521.348	128.618
522.883	127.889
524.426	127.217
526.101	126.640
527.935	126.159
529.885	125.745
531.907	125.370
533.956	125.008
535.992	124.633
537.989	124.235
539.926	123.807
541.782	123.344
543.534	122.837
545.177	122.297
546.728	121.756
548.206	121.251
549.633	120.817
551.065	120.471
552.599	120.214
554.338	120.040
556.364	119.946
558.576	119.876
560.745	119.748
562.641	119.478
564.034	118.980
564.838	118.228
565.495	117.404
566.554	116.731
568.224	116.305
570.328	116.079
572.664	115.993
575.032	115.990
577.241	116.014
579.251	116.036
581.144	116.046
583.007	116.037
584.929	116.002
586.978	115.938
589.150	115.869
591.418	115.825
593.756	115.838
596.138	115.937
598.536	116.151
600.932	116.468
603.307	116.851
605.645	117.263
607.930	117.666
610.144	118.021
612.272	118.316
614.299	118.616
616.211	119.001
617.996	119.554
619.639	120.354
621.139	121.429
622.509	122.737
623.763	124.233
624.915	125.869
625.975	127.605
626.934	129.420
627.776	131.300
628.486	133.230
629.049	135.198
629.442	137.177
629.622	139.115
629.540	140.949
629.150	142.619
628.415	144.076
627.414	145.366
626.280	146.584
625.147	147.824
624.126	149.168
623.193	150.607
622.270	152.100
621.281	153.607
620.160	155.087
618.942	156.526
617.716	157.921
616.571	159.269
615.593	160.566
614.764	161.802
613.946	162.955
612.995	164.005
611.795	164.934
610.360	165.742
608.733	166.434
606.955	167.013
605.077	167.492
603.173	167.915
601.325	168.332
599.612	168.796
598.107	169.352
596.756	169.968
595.413	170.553
593.929	171.017
592.204	171.303
590.320	171.479
588.396	171.643
586.552	171.889
584.894	172.302
583.386	172.850
581.901	173.427
580.314	173.925
578.514	174.255
576.521	174.444
574.409	174.575
572.250	174.727
570.118	174.981
568.073	175.393
566.111	175.902
564.208	176.409
562.341	176.819
560.486	177.036
558.631	177.038
556.781	176.943
554.943	176.881
553.126	176.983
551.340	177.354
549.610	177.971
547.968	178.773
546.445	179.697
545.064	180.680
543.770	181.629
542.461	182.436
541.034	182.991
539.410	183.223
537.615	183.217
535.705	183.101
533.733	183.005
531.754	183.051
529.816	183.291
527.961	183.728
526.235	184.364
524.678	185.198
523.284	186.198
521.933	187.254
520.495	188.248
518.838	189.063
516.878	189.625
514.682	189.997
512.343	190.271
509.955	190.535
507.613	190.881
505.400	191.389
503.307	192.057
501.275	192.838
499.243	193.685
497.150	194.551
494.939	195.389
492.593	196.173
490.142	196.900
487.619	197.567
485.058	198.172
482.489	198.714
479.946	199.190
477.439	199.604
474.953	199.965
472.469	200.286
469.972	200.578
467.443	200.851
464.865	201.116
462.242	201.384
459.598	201.665
456.961	201.969
454.357	202.307
451.813	202.687
449.355	203.121
446.991	203.610
444.689	204.139
442.416	204.693
440.138	205.255
437.821	205.811
435.432	206.346
432.984	206.860
430.515	207.362
428.062	207.865
425.665	208.377
423.363	208.911
421.184	209.468
419.091	210.012
417.021	210.485
414.911	210.831
412.698	210.995
410.326	210.931
407.839	210.712
405.335	210.480
402.913	210.376
400.674	210.543
398.715	211.124
397.083	212.164
395.689	213.462
394.424	214.779
393.177	215.879
391.846	216.563
390.375	216.882
388.725	216.980
386.858	217.002
384.771	217.043
382.575	217.041
380.406	216.901
378.399	216.529
376.689	215.830
375.326	214.780
374.174	213.503
373.070	212.149
371.852	210.863
370.414	209.751
368.809	208.794
367.116	207.952
365.418	207.186
363.785	206.456
362.196	205.745
360.587	205.045
358.889	204.346
357.039	203.642
355.028	202.945
352.902	202.290
350.708	201.710
348.496	201.240
346.312	200.913
344.213	200.692
342.267	200.424
340.546	199.950
339.118	199.106
338.044	197.771
337.327	196.036
336.952	194.064
336.904	192.018
337.167	190.054
337.712	188.215
338.495	186.427
339.472	184.608
340.600	182.679
341.836	180.569
343.155	178.338
344.544	176.124
345.990	174.069
347.480	172.314
349.000	171.000
