X	Y
340.000	196.000
341.913	194.806
344.290	194.159
347.053	193.965
350.124	194.129
353.423	194.558
356.871	195.158
360.390	195.835
363.900	196.496
367.323	197.045
370.602	197.418
373.749	197.627
376.786	197.701
379.738	197.671
382.629	197.565
385.481	197.412
388.319	197.241
391.167	197.082
394.047	196.964
396.973	196.899
399.946	196.877
402.965	196.888
406.028	196.920
409.135	196.961
412.284	196.999
415.475	197.023
418.706	197.022
421.977	196.984
425.286	196.903
428.636	196.784
432.028	196.630
435.463	196.446
438.941	196.239
442.466	196.011
446.037	195.768
449.656	195.515
453.324	195.256
457.044	194.997
460.811	194.741
464.611	194.492
468.422	194.252
472.226	194.025
476.002	193.811
479.730	193.615
483.391	193.438
486.965	193.284
490.432	193.155
493.771	193.053
496.964	192.981
500.005	192.940
502.911	192.922
505.705	192.923
508.406	192.937
511.034	192.957
513.611	192.979
516.156	192.995
518.691	193.000
521.223	192.993
523.737	192.978
526.217	192.962
528.644	192.951
531.003	192.952
533.276	192.969
535.446	193.011
537.512	193.074
539.509	193.137
541.476	193.179
543.453	193.176
545.480	193.106
547.594	192.946
549.790	192.711
551.975	192.485
554.052	192.357
555.919	192.419
557.479	192.761
558.641	193.461
559.485	194.409
560.221	195.353
561.063	196.032
562.171	196.279
563.527	196.227
565.078	196.067
566.773	195.993
568.559	196.168
570.396	196.584
572.250	197.168
574.085	197.848
575.865	198.553
577.555	199.212
579.124	199.807
580.552	200.405
581.818	201.080
582.901	201.905
583.782	202.939
584.439	204.152
584.852	205.489
585.000	206.892
584.872	208.311
584.507	209.724
583.959	211.119
583.283	212.486
582.530	213.812
581.723	215.106
580.863	216.391
579.950	217.689
578.984	219.022
577.964	220.401
576.886	221.803
575.744	223.189
574.533	224.527
573.247	225.780
571.882	226.918
570.441	227.949
568.932	228.896
567.363	229.781
565.740	230.628
564.071	231.460
562.364	232.292
560.626	233.135
558.866	233.999
557.091	234.895
555.310	235.832
553.532	236.817
551.765	237.842
550.021	238.887
548.311	239.937
546.647	240.972
545.038	241.976
543.490	242.938
541.984	243.871
540.493	244.796
538.991	245.736
537.450	246.712
535.848	247.741
534.185	248.811
532.477	249.892
530.740	250.951
528.987	251.958
527.236	252.883
525.497	253.701
523.763	254.432
522.016	255.111
520.240	255.773
518.419	256.452
516.535	257.185
514.593	257.986
512.634	258.837
510.705	259.710
508.854	260.583
507.127	261.428
505.570	262.223
504.185	262.955
502.889	263.636
501.596	264.283
500.217	264.908
498.680	265.526
497.027	266.139
495.342	266.742
493.710	267.334
492.214	267.912
490.917	268.472
489.738	269.005
488.542	269.501
487.194	269.946
485.583	270.335
483.756	270.684
481.817	271.018
479.871	271.363
478.021	271.744
476.369	272.185
474.930	272.681
473.603	273.186
472.283	273.652
470.862	274.030
469.270	274.292
467.541	274.473
465.734	274.618
463.905	274.773
462.110	274.984
460.396	275.286
458.752	275.668
457.151	276.100
455.566	276.556
453.971	277.008
452.345	277.434
450.702	277.840
449.058	278.236
447.433	278.633
445.845	279.041
444.304	279.467
442.795	279.905
441.299	280.345
439.796	280.779
438.265	281.198
436.698	281.602
435.091	282.000
433.445	282.401
431.758	282.812
430.030	283.243
428.261	283.682
426.455	284.105
424.612	284.485
422.737	284.797
420.831	285.015
418.899	285.117
416.953	285.099
415.003	284.958
413.063	284.693
411.145	284.300
409.260	283.779
407.423	283.156
405.646	282.496
403.945	281.867
402.334	281.335
400.827	280.967
399.430	280.778
398.125	280.633
396.891	280.371
395.706	279.830
394.546	278.934
393.386	277.766
392.200	276.428
390.963	275.023
389.648	273.651
388.253	272.388
386.816	271.259
385.383	270.284
383.998	269.482
382.704	268.874
381.523	268.419
380.429	267.961
379.391	267.328
378.380	266.360
377.373	265.090
376.351	263.685
375.298	262.319
374.197	261.165
373.031	260.365
371.804	259.851
370.524	259.471
369.199	259.070
367.847	258.512
366.534	257.754
365.346	256.796
364.370	255.634
363.686	254.268
363.259	252.745
362.947	251.155
362.600	249.589
362.072	248.141
361.244	246.881
360.173	245.774
358.972	244.743
357.755	243.714
356.636	242.612
355.666	241.402
354.804	240.105
354.002	238.749
353.210	237.362
352.381	235.978
351.484	234.706
350.497	233.693
349.396	233.086
348.164	233.012
346.842	233.338
345.508	233.768
344.240	234.003
343.113	233.776
342.164	233.070
341.412	231.981
340.878	230.605
340.551	229.033
340.363	227.345
340.241	225.622
340.111	223.943
339.900	222.386
339.580	220.944
339.177	219.496
338.721	217.918
338.244	216.082
337.775	213.868
337.364	211.284
337.081	208.468
336.994	205.565
337.173	202.722
337.687	200.083
338.607	197.794
340.000	196.000
