X	Y
43.036	12.444
43.078	12.416
43.153	12.409
43.254	12.418
43.374	12.432
43.505	12.445
43.639	12.448
43.769	12.434
43.893	12.400
44.011	12.348
44.125	12.282
44.236	12.205
44.345	12.120
44.454	12.029
44.563	11.936
44.674	11.845
44.789	11.756
44.907	11.670
45.030	11.586
45.158	11.503
45.293	11.421
45.434	11.339
45.583	11.256
45.740	11.172
45.906	11.085
46.082	10.996
46.267	10.902
46.463	10.806
46.667	10.706
46.879	10.605
47.097	10.501
47.319	10.397
47.545	10.292
47.773	10.187
48.002	10.084
48.231	9.981
48.459	9.881
48.684	9.783
48.904	9.689
49.120	9.598
49.329	9.512
49.530	9.432
49.723	9.355
49.908	9.283
50.086	9.213
50.256	9.144
50.418	9.077
50.573	9.008
50.721	8.938
50.862	8.865
50.997	8.789
51.125	8.707
51.246	8.620
51.362	8.529
51.472	8.437
51.577	8.347
51.678	8.264
51.775	8.190
51.868	8.130
51.959	8.087
52.047	8.064
52.134	8.059
52.223	8.066
52.317	8.076
52.416	8.084
52.525	8.082
52.646	8.063
52.779	8.024
52.923	7.967
53.079	7.894
53.245	7.807
53.421	7.708
53.605	7.599
53.797	7.481
53.997	7.358
54.204	7.230
54.416	7.100
54.633	6.970
54.854	6.841
55.079	6.717
55.307	6.597
55.537	6.483
55.768	6.373
55.999	6.268
56.230	6.166
56.460	6.069
56.687	5.975
56.912	5.884
57.133	5.797
57.349	5.712
57.561	5.629
57.766	5.548
57.964	5.469
58.155	5.392
58.337	5.315
58.510	5.240
58.676	5.165
58.836	5.091
58.991	5.017
59.143	4.943
59.292	4.869
59.440	4.795
59.589	4.721
59.739	4.646
59.893	4.570
60.050	4.493
60.213	4.416
60.381	4.337
60.553	4.259
60.730	4.182
60.910	4.105
61.095	4.030
61.283	3.957
61.474	3.886
61.669	3.818
61.866	3.754
62.066	3.693
62.268	3.637
62.472	3.585
62.678	3.537
62.884	3.493
63.090	3.453
63.296	3.414
63.500	3.377
63.702	3.341
63.902	3.305
64.098	3.268
64.291	3.231
64.478	3.191
64.661	3.149
64.837	3.105
65.007	3.056
65.172	3.005
65.333	2.951
65.490	2.895
65.646	2.837
65.800	2.779
65.955	2.720
66.111	2.661
66.269	2.604
66.431	2.547
66.597	2.493
66.768	2.440
66.943	2.390
67.122	2.343
67.304	2.298
67.488	2.257
67.674	2.218
67.862	2.183
68.050	2.151
68.238	2.123
68.426	2.099
68.613	2.079
68.798	2.063
68.981	2.051
69.163	2.043
69.344	2.038
69.523	2.036
69.701	2.037
69.877	2.040
70.053	2.045
70.228	2.052
70.403	2.060
70.577	2.069
70.750	2.079
70.923	2.089
71.096	2.101
71.267	2.114
71.438	2.129
71.607	2.147
71.774	2.167
71.939	2.192
72.103	2.220
72.263	2.253
72.422	2.291
72.577	2.334
72.730	2.382
72.881	2.435
73.029	2.491
73.176	2.551
73.322	2.613
73.467	2.678
73.612	2.744
73.756	2.811
73.901	2.878
74.046	2.945
74.191	3.012
74.338	3.079
74.485	3.147
74.633	3.216
74.782	3.285
74.932	3.357
75.083	3.430
75.236	3.505
75.390	3.583
75.545	3.664
75.700	3.747
75.852	3.834
75.998	3.923
76.136	4.015
76.262	4.110
76.373	4.207
76.467	4.307
76.540	4.409
76.589	4.513
76.612	4.619
76.610	4.721
76.586	4.813
76.542	4.890
76.479	4.946
76.400	4.974
76.308	4.977
