X	Y
44.221	15.925
44.306	15.823
44.421	15.740
44.563	15.675
44.729	15.625
44.916	15.590
45.122	15.568
45.344	15.556
45.579	15.553
45.823	15.559
46.075	15.570
46.331	15.585
46.589	15.602
46.845	15.621
47.097	15.639
47.344	15.655
47.587	15.670
47.827	15.684
48.063	15.697
48.298	15.709
48.530	15.721
48.763	15.733
48.995	15.744
49.227	15.757
49.462	15.769
49.698	15.782
49.938	15.797
50.181	15.812
50.428	15.829
50.680	15.847
50.938	15.867
51.202	15.889
51.470	15.913
51.741	15.938
52.016	15.965
52.294	15.994
52.573	16.024
52.852	16.056
53.132	16.089
53.412	16.123
53.689	16.159
53.965	16.196
54.238	16.234
54.507	16.273
54.772	16.313
55.032	16.355
55.286	16.397
55.533	16.440
55.773	16.484
56.006	16.529
56.232	16.575
56.452	16.622
56.667	16.671
56.877	16.720
57.082	16.771
57.283	16.824
57.480	16.879
57.674	16.935
57.865	16.993
58.054	17.053
58.241	17.115
58.427	17.179
58.611	17.246
58.795	17.315
58.978	17.387
59.159	17.461
59.339	17.540
59.516	17.621
59.691	17.707
59.864	17.796
60.035	17.890
60.202	17.988
60.367	18.090
60.528	18.198
60.686	18.311
60.840	18.429
60.989	18.552
61.134	18.678
61.273	18.807
61.405	18.939
61.531	19.071
61.650	19.204
61.760	19.336
61.862	19.467
61.955	19.595
62.038	19.721
62.111	19.843
62.174	19.961
62.228	20.076
62.276	20.189
62.318	20.299
62.357	20.407
62.393	20.515
62.428	20.622
62.464	20.729
62.501	20.837
62.539	20.947
62.577	21.057
62.615	21.170
62.654	21.285
62.692	21.402
62.729	21.523
62.766	21.647
62.800	21.772
62.827	21.895
62.846	22.010
62.854	22.116
62.847	22.207
62.822	22.280
62.778	22.333
62.719	22.372
62.653	22.406
62.586	22.447
62.526	22.504
62.481	22.588
62.448	22.695
62.423	22.819
62.401	22.953
62.377	23.090
62.346	23.224
62.303	23.346
62.244	23.452
62.164	23.533
62.066	23.593
61.956	23.638
61.840	23.674
61.727	23.709
61.621	23.750
61.531	23.803
61.462	23.875
61.416	23.968
61.386	24.073
61.364	24.181
61.342	24.284
61.312	24.372
61.266	24.437
61.198	24.470
61.109	24.478
61.005	24.468
60.890	24.451
60.769	24.434
60.648	24.428
60.531	24.440
60.424	24.480
60.326	24.545
60.236	24.631
60.154	24.733
60.078	24.846
60.007	24.966
59.941	25.088
59.878	25.207
59.817	25.319
59.756	25.422
59.696	25.514
59.633	25.596
59.567	25.667
59.495	25.725
59.418	25.771
59.333	25.805
59.240	25.828
59.140	25.841
59.034	25.848
58.922	25.851
58.805	25.851
58.683	25.851
58.557	25.853
58.427	25.858
58.296	25.868
58.164	25.883
58.032	25.906
57.901	25.936
57.772	25.976
57.647	26.027
57.527	26.089
57.412	26.162
57.302	26.244
57.197	26.332
57.098	26.421
57.003	26.510
56.913	26.593
56.827	26.670
56.746	26.735
56.669	26.786
