X,Y
1066.000,668.000
1067.996,666.352
1070.690,665.197
1073.884,664.461
1077.380,664.068
1080.981,663.946
1084.489,664.020
1087.775,664.211
1090.887,664.429
1093.904,664.584
1096.903,664.582
1099.963,664.334
1103.160,663.747
1106.522,662.810
1110.010,661.620
1113.575,660.284
1117.171,658.909
1120.750,657.602
1124.267,656.470
1127.675,655.615
1130.956,655.020
1134.118,654.548
1137.170,654.057
1140.124,653.404
1142.988,652.447
1145.773,651.054
1148.512,649.224
1151.251,647.046
1154.035,644.612
1156.911,642.013
1159.924,639.340
1163.122,636.685
1166.544,634.131
1170.176,631.702
1173.974,629.383
1177.896,627.163
1181.896,625.029
1185.932,622.968
1189.961,620.967
1193.937,619.015
1197.819,617.098
1201.588,615.206
1205.249,613.330
1208.809,611.461
1212.277,609.591
1215.659,607.710
1218.962,605.810
1222.194,603.882
1225.369,601.923
1228.525,599.942
1231.704,597.956
1234.949,595.977
1238.303,594.022
1241.808,592.103
1245.507,590.236
1249.430,588.432
1253.540,586.685
1257.771,584.982
1262.061,583.310
1266.345,581.657
1270.558,580.009
1274.638,578.353
1278.519,576.678
1282.143,574.970
1285.523,573.231
1288.730,571.469
1291.834,569.695
1294.907,567.918
1298.020,566.148
1301.244,564.395
1304.640,562.673
1308.183,561.026
1311.804,559.514
1315.437,558.197
1319.013,557.135
1322.465,556.387
1325.726,556.013
1328.737,556.035
1331.495,556.273
1334.012,556.482
1336.300,556.420
1338.373,555.841
1340.277,554.631
1342.138,552.971
1344.093,551.084
1346.278,549.194
1348.829,547.523
1351.795,546.188
1355.083,545.130
1358.586,544.273
1362.194,543.541
1365.802,542.861
1369.301,542.156
1372.598,541.358
1375.708,540.458
1378.694,539.472
1381.620,538.418
1384.550,537.312
1387.548,536.170
1390.672,535.008
1393.953,533.817
1397.408,532.585
1401.056,531.296
1404.916,529.937
1409.005,528.494
1413.342,526.953
1417.944,525.299
1422.785,523.548
1427.789,521.746
1432.874,519.944
1437.958,518.191
1442.962,516.537
1447.803,515.032
1452.400,513.726
1456.673,512.668
1460.541,511.909
1463.976,511.454
1467.094,511.200
1470.032,511.023
1472.928,510.800
1475.917,510.408
1479.137,509.727
1482.653,508.705
1486.423,507.402
1490.396,505.884
1494.523,504.219
1498.753,502.474
1503.035,500.717
1507.319,499.015
1511.555,497.434
1515.724,496.003
1519.849,494.694
1523.954,493.477
1528.067,492.320
1532.213,491.194
1536.418,490.067
1540.708,488.909
1545.110,487.688
1549.631,486.391
1554.250,485.036
1558.939,483.644
1563.673,482.237
1568.423,480.837
1573.163,479.466
1577.868,478.144
1582.509,476.894
1587.060,475.738
1591.508,474.681
1595.860,473.699
1600.131,472.764
1604.333,471.847
1608.479,470.920
1612.581,469.955
1616.652,468.923
1620.705,467.796
1624.750,466.562
1628.792,465.251
1632.833,463.898
1636.875,462.538
1640.924,461.206
1644.980,459.937
1649.049,458.766
1653.132,457.728
1657.234,456.834
1661.364,456.054
1665.529,455.351
1669.739,454.691
1674.000,454.038
1678.323,453.357
1682.713,452.611
1687.181,451.767
1691.721,450.812
1696.305,449.780
1700.903,448.711
1705.484,447.641
1710.018,446.610
1714.473,445.656
1718.820,444.819
1723.027,444.135
1727.070,443.638
1730.973,443.302
1734.786,443.075
1738.559,442.904
1742.339,442.736
1746.177,442.518
1750.122,442.198
1754.221,441.725
1758.488,441.097
1762.902,440.358
1767.442,439.551
1772.089,438.720
1776.822,437.911
1781.620,437.167
1786.462,436.532
1791.329,436.052
1796.201,435.762
1801.072,435.654
1805.943,435.705
1810.811,435.887
1815.675,436.178
1820.536,436.550
1825.391,436.980
1830.240,437.443
1835.082,437.912
1839.916,438.367
1844.737,438.804
1849.542,439.232
1854.326,439.656
1859.085,440.085
1863.814,440.524
1868.508,440.980
1873.163,441.461
1877.775,441.974
1882.341,442.527
1886.865,443.138
1891.356,443.827
1895.821,444.615
1900.266,445.521
1904.701,446.567
1909.131,447.772
1913.564,449.157
1918.008,450.741
1922.453,452.519
1926.872,454.458
1931.238,456.525
1935.522,458.684
1939.696,460.902
1943.734,463.145
1947.606,465.378
1951.284,467.567
1954.746,469.686
1957.996,471.767
1961.054,473.870
1963.939,476.055
1966.670,478.381
1969.266,480.906
1971.747,483.692
1974.127,486.783
1976.391,490.150
1978.517,493.736
1980.482,497.487
1982.261,501.345
1983.834,505.255
1985.175,509.161
1986.261,513.008
1987.087,516.763
1987.671,520.433
1988.040,524.031
1988.217,527.570
1988.227,531.063
1988.095,534.523
1987.843,537.962
1987.480,541.387
1987.004,544.802
1986.409,548.209
1985.692,551.612
1984.849,555.012
1983.875,558.413
1982.769,561.818
1981.536,565.231
1980.183,568.658
1978.716,572.102
1977.142,575.570
1975.468,579.064
1973.699,582.590
1971.841,586.145
1969.896,589.709
1967.864,593.258
1965.747,596.768
1963.545,600.215
1961.261,603.578
1958.895,606.830
1956.448,609.954
1953.929,612.973
1951.349,615.942
1948.722,618.918
1946.059,621.958
1943.373,625.119
1940.676,628.456
1937.981,632.026
1935.297,635.864
1932.624,639.917
1929.957,644.111
1927.294,648.373
1924.630,652.629
1921.963,656.805
1919.289,660.827
1916.603,664.623
1913.904,668.118
1911.188,671.268
1908.456,674.138
1905.709,676.815
1902.950,679.387
1900.179,681.944
1897.399,684.572
1894.610,687.361
1891.814,690.387
1889.011,693.646
1886.198,697.091
1883.375,700.679
1880.540,704.364
1877.691,708.101
1874.828,711.845
1871.947,715.552
1869.048,719.175
1866.125,722.688
1863.164,726.089
1860.150,729.377
1857.070,732.553
1853.909,735.619
1850.652,738.573
1847.287,741.418
1843.798,744.153
1840.177,746.783
1836.438,749.332
1832.599,751.824
1828.678,754.285
1824.693,756.741
1820.661,759.218
1816.602,761.741
1812.532,764.336
1808.469,767.029
1804.417,769.820
1800.358,772.680
1796.274,775.577
1792.146,778.477
1787.957,781.349
1783.686,784.159
1779.316,786.876
1774.828,789.467
1770.204,791.898
1765.433,794.146
1760.537,796.216
1755.549,798.125
1750.503,799.888
1745.430,801.522
1740.363,803.042
1735.336,804.465
1730.380,805.807
1725.528,807.082
1720.814,808.308
1716.249,809.493
1711.808,810.630
1707.463,811.711
1703.182,812.727
1698.938,813.670
1694.699,814.533
1690.437,815.306
1686.122,815.983
1681.733,816.558
1677.288,817.054
1672.814,817.497
1668.339,817.913
1663.890,818.330
1659.494,818.774
1655.181,819.271
1650.977,819.849
1646.903,820.529
1642.930,821.298
1639.002,822.125
1635.064,822.976
1631.059,823.820
1626.932,824.625
1622.628,825.359
1618.090,825.989
1613.287,826.492
1608.284,826.879
1603.176,827.170
1598.055,827.385
1593.014,827.544
1588.147,827.667
1583.545,827.774
1579.303,827.885
1575.513,828.021
1572.208,828.201
1569.260,828.446
1566.513,828.776
1563.814,829.213
1561.008,829.776
1557.948,830.484
1554.602,831.334
1551.008,832.308
1547.206,833.388
1543.237,834.555
1539.142,835.791
1534.960,837.078
1530.732,838.397
1526.492,839.724
1522.262,841.022
1518.063,842.255
1513.917,843.384
1509.845,844.374
1505.868,845.185
1502.007,845.782
1498.283,846.129
1494.694,846.243
1491.211,846.200
1487.807,846.077
1484.451,845.953
1481.115,845.906
1477.770,846.014
1474.385,846.328
1470.918,846.812
1467.327,847.414
1463.569,848.078
1459.603,848.753
1455.385,849.383
1450.872,849.916
1446.033,850.305
1440.907,850.551
1435.565,850.675
1430.079,850.701
1424.519,850.649
1418.956,850.542
1413.461,850.402
1408.106,850.250
1402.961,850.110
1398.098,850.002
1393.565,849.943
1389.318,849.926
1385.287,849.938
1381.404,849.967
1377.598,849.997
1373.800,850.018
1369.940,850.014
1365.952,849.974
1361.819,849.889
1357.573,849.755
1353.251,849.568
1348.888,849.325
1344.518,849.022
1340.177,848.655
1335.900,848.219
1331.721,847.714
1327.650,847.149
1323.679,846.549
1319.795,845.939
1315.990,845.344
1312.251,844.788
1308.568,844.295
1304.931,843.891
1301.329,843.579
1297.751,843.326
1294.185,843.096
1290.619,842.853
1287.042,842.560
1283.443,842.182
1279.810,841.685
1276.125,841.065
1272.369,840.344
1268.517,839.541
1264.550,838.679
1260.446,837.779
1256.183,836.861
1251.740,835.948
1247.108,835.055
1242.323,834.180
1237.429,833.316
1232.472,832.459
1227.495,831.602
1222.543,830.740
1217.662,829.866
1212.895,828.974
1208.288,828.059
1203.875,827.116
1199.646,826.142
1195.578,825.136
1191.644,824.098
1187.822,823.026
1184.087,821.920
1180.415,820.778
1176.782,819.600
1173.191,818.425
1169.688,817.350
1166.324,816.477
1163.147,815.910
1160.208,815.751
1157.555,816.104
1155.182,816.989
1152.947,818.237
1150.690,819.650
1148.249,821.031
1145.465,822.182
1142.268,822.951
1138.804,823.296
1135.251,823.188
1131.787,822.601
1128.590,821.506
1125.836,819.876
1123.645,817.715
1121.943,815.130
1120.614,812.251
1119.546,809.205
1118.623,806.121
1117.733,803.128
1116.821,800.293
1115.932,797.582
1115.123,794.952
1114.449,792.359
1113.965,789.758
1113.684,787.116
1113.491,784.428
1113.245,781.696
1112.807,778.921
1112.036,776.104
1110.823,773.263
1109.191,770.476
1107.201,767.844
1104.917,765.464
1102.398,763.435
1099.707,761.856
1096.899,760.783
1094.005,760.146
1091.054,759.854
1088.075,759.813
1085.097,759.933
1082.146,760.126
1079.204,760.359
1076.226,760.644
1073.165,760.989
1069.976,761.406
1066.610,761.904
1063.045,762.479
1059.407,763.024
1055.886,763.392
1052.674,763.434
1049.961,763.002
1047.937,761.946
1046.738,760.180
1046.296,757.831
1046.501,755.076
1047.240,752.091
1048.404,749.051
1049.892,746.057
1051.627,743.090
1053.531,740.120
1055.527,737.116
1057.538,734.048
1059.488,730.885
1061.302,727.602
1062.945,724.204
1064.397,720.721
1065.641,717.179
1066.660,713.605
1067.436,710.027
1067.952,706.472
1068.195,702.963
1068.189,699.499
1067.969,696.067
1067.571,692.657
1067.031,689.257
1066.384,685.856
1065.669,682.444
1064.985,679.065
1064.503,675.824
1064.396,672.828
1064.837,670.184
1066.000,668.000
