X	Y
1054.000	782.000
1055.628	779.700
1057.744	777.927
1060.270	776.580
1063.128	775.559
1066.239	774.763
1069.527	774.091
1072.912	773.458
1076.315	772.871
1079.654	772.374
1082.848	772.009
1085.815	771.818
1088.474	771.845
1090.746	772.131
1092.666	772.642
1094.438	773.232
1096.282	773.745
1098.415	774.027
1100.969	773.979
1103.868	773.637
1107.007	773.052
1110.283	772.279
1113.589	771.372
1116.821	770.383
1119.880	769.367
1122.752	768.383
1125.481	767.492
1128.115	766.758
1130.701	766.242
1133.286	766.007
1135.914	766.107
1138.612	766.509
1141.391	767.138
1144.268	767.915
1147.254	768.762
1150.365	769.601
1153.614	770.357
1156.998	771.002
1160.499	771.558
1164.099	772.051
1167.780	772.505
1171.523	772.945
1175.309	773.395
1179.120	773.880
1182.938	774.423
1186.761	775.027
1190.591	775.685
1194.433	776.391
1198.288	777.138
1202.161	777.920
1206.054	778.731
1209.971	779.564
1213.915	780.413
1217.883	781.265
1221.871	782.106
1225.871	782.918
1229.876	783.686
1233.879	784.393
1237.875	785.022
1241.856	785.558
1245.815	785.983
1249.748	786.289
1253.658	786.503
1257.550	786.660
1261.431	786.797
1265.306	786.949
1269.181	787.153
1273.061	787.446
1276.953	787.862
1280.861	788.435
1284.786	789.158
1288.726	790.005
1292.681	790.947
1296.647	791.958
1300.624	793.011
1304.610	794.079
1308.603	795.134
1312.602	796.149
1316.604	797.104
1320.607	797.994
1324.609	798.817
1328.606	799.570
1332.596	800.252
1336.577	800.860
1340.545	801.393
1344.498	801.848
1348.435	802.223
1352.361	802.528
1356.289	802.779
1360.232	802.991
1364.202	803.181
1368.214	803.365
1372.278	803.559
1376.408	803.779
1380.617	804.041
1384.913	804.356
1389.290	804.717
1393.741	805.116
1398.259	805.542
1402.837	805.988
1407.466	806.445
1412.140	806.903
1416.852	807.354
1421.593	807.789
1426.358	808.199
1431.147	808.584
1435.971	808.948
1440.837	809.299
1445.757	809.643
1450.741	809.986
1455.798	810.335
1460.937	810.695
1466.170	811.075
1471.505	811.478
1476.952	811.913
1482.518	812.385
1488.180	812.896
1493.906	813.445
1499.661	814.034
1505.411	814.661
1511.123	815.327
1516.762	816.031
1522.296	816.775
1527.690	817.557
1532.911	818.378
1537.924	819.238
1542.696	820.137
1547.213	821.075
1551.510	822.056
1555.631	823.083
1559.620	824.158
1563.520	825.286
1567.374	826.469
1571.227	827.711
1575.122	829.014
1579.102	830.382
1583.193	831.814
1587.390	833.306
1591.682	834.850
1596.059	836.441
1600.513	838.070
1605.034	839.733
1609.612	841.423
1614.238	843.133
1618.902	844.857
1623.595	846.588
1628.305	848.326
1633.021	850.079
1637.730	851.855
1642.419	853.665
1647.076	855.516
1651.689	857.417
1656.245	859.378
1660.730	861.408
1665.134	863.514
1669.443	865.706
1673.649	867.991
1677.760	870.365
1681.795	872.820
1685.771	875.347
1689.705	877.937
1693.615	880.583
1697.518	883.276
1701.431	886.007
1705.372	888.770
1709.358	891.554
1713.402	894.353
1717.489	897.168
1721.593	900.001
1725.687	902.858
1729.744	905.741
1733.740	908.653
1737.647	911.600
1741.438	914.583
1745.089	917.608
1748.572	920.676
1751.862	923.793
1754.960	926.959
1757.885	930.175
1760.660	933.439
1763.305	936.753
1765.842	940.115
1768.291	943.525
1770.674	946.984
1773.012	950.491
1775.324	954.044
1777.592	957.630
1779.770	961.220
1781.808	964.789
1783.660	968.308
1785.276	971.751
1786.608	975.091
1787.609	978.300
1788.231	981.353
1788.472	984.265
1788.383	987.095
1788.013	989.908
1787.417	992.766
1786.644	995.733
1785.748	998.870
1784.754	1002.203
1783.647	1005.687
1782.405	1009.270
1781.005	1012.898
1779.426	1016.521
1777.647	1020.085
1775.645	1023.537
1773.398	1026.827
1770.907	1029.925
1768.209	1032.848
1765.347	1035.618
1762.364	1038.257
1759.304	1040.787
1756.208	1043.228
1753.120	1045.604
1750.083	1047.936
1747.127	1050.242
1744.229	1052.530
1741.351	1054.803
1738.455	1057.063
1735.504	1059.314
1732.458	1061.559
1729.280	1063.801
1725.933	1066.044
1722.390	1068.290
1718.672	1070.541
1714.811	1072.799
1710.839	1075.065
1706.786	1077.342
1702.685	1079.631
1698.567	1081.933
1694.463	1084.251
1690.406	1086.586
1686.426	1088.940
1682.535	1091.305
1678.721	1093.665
1674.970	1096.001
1671.266	1098.295
1667.597	1100.528
1663.947	1102.682
1660.302	1104.740
1656.648	1106.682
1652.970	1108.490
1649.263	1110.167
1645.532	1111.748
1641.786	1113.271
1638.032	1114.777
1634.280	1116.305
1630.537	1117.894
1626.812	1119.584
1623.111	1121.414
1619.444	1123.417
1615.812	1125.559
1612.212	1127.765
1608.644	1129.963
1605.105	1132.076
1601.593	1134.031
1598.107	1135.753
1594.645	1137.168
1591.205	1138.202
1587.780	1138.835
1584.356	1139.160
1580.917	1139.284
1577.446	1139.313
1573.927	1139.354
1570.343	1139.513
1566.680	1139.897
1562.921	1140.597
