X,Y
312.500,200.750
313.960,201.000
315.672,201.124
317.082,199.730
318.568,197.937
320.467,196.761
322.610,195.902
324.729,194.795
326.729,193.344
328.658,191.821
330.567,190.475
332.524,189.402
334.599,188.648
336.811,188.146
339.133,187.725
341.521,187.210
343.883,186.425
346.121,185.203
348.206,183.660
350.201,182.284
352.169,181.531
354.140,181.296
356.122,181.168
358.099,180.853
360.039,180.163
361.921,179.143
363.741,178.126
365.527,177.386
367.388,176.983
369.342,176.827
371.081,176.467
372.442,175.620
373.996,174.817
376.006,174.331
377.914,173.661
379.367,172.584
380.876,171.947
382.764,172.085
384.622,171.855
386.203,170.619
387.794,169.221
389.621,168.428
391.437,168.014
393.001,167.599
394.616,167.159
396.460,166.756
398.117,166.427
399.430,166.105
400.863,165.556
402.604,164.709
404.599,163.639
406.356,162.838
407.354,162.872
408.856,163.121
411.448,163.019
414.409,162.575
417.102,161.854
419.516,161.193
421.862,161.022
424.276,161.559
426.694,162.478
429.028,163.376
431.328,164.105
433.803,164.804
436.602,165.624
439.255,166.653
440.966,167.948
441.213,169.551
440.699,171.431
440.172,173.426
439.475,175.035
438.345,175.912
436.757,176.516
434.853,177.134
432.909,177.635
431.120,178.129
429.531,179.159
428.162,180.879
427.011,182.732
426.026,184.272
424.977,185.782
423.654,187.559
422.109,189.247
420.454,190.381
418.742,191.138
416.991,192.122
415.303,193.473
413.845,194.937
412.589,196.365
411.175,197.802
409.459,199.227
407.842,200.433
406.617,201.273
405.195,202.012
403.175,202.810
400.863,203.475
398.586,203.887
396.508,204.401
394.720,205.463
393.001,206.807
390.885,207.618
388.477,207.700
386.963,208.043
386.629,209.121
384.866,209.521
382.071,209.478
380.083,210.042
379.425,211.390
378.543,212.374
377.060,213.100
375.310,214.008
373.395,214.226
371.426,213.204
369.704,212.274
368.450,212.810
367.187,213.976
365.527,214.745
363.842,215.451
362.317,216.299
360.591,216.920
358.536,217.158
356.456,217.269
354.627,217.536
353.173,218.227
351.927,219.205
350.259,219.607
348.358,219.605
347.098,220.271
345.958,221.269
343.776,221.542
341.011,221.440
338.496,221.634
336.563,222.343
334.761,223.075
332.748,223.444
330.665,223.504
328.685,223.375
326.715,223.087
324.622,222.637
322.602,221.951
320.993,220.929
319.791,219.543
318.659,217.855
317.358,216.164
315.760,215.001
314.039,214.409
312.881,213.573
312.510,212.163
312.519,210.474
312.542,208.310
312.293,205.388
312.065,202.428
312.500,200.750
