X,Y
312.500,211.500
314.033,210.671
316.121,210.461
318.354,210.526
320.494,210.646
322.623,210.821
324.852,211.076
327.229,211.439
329.679,211.943
332.114,212.622
334.456,213.498
336.693,214.526
338.842,215.631
340.919,216.742
342.938,217.813
344.915,218.834
346.864,219.798
348.789,220.699
350.676,221.539
352.510,222.319
354.329,223.049
356.236,223.744
358.333,224.420
360.645,225.102
363.146,225.816
365.808,226.591
368.581,227.430
371.364,228.266
374.044,229.019
376.509,229.610
378.703,230.029
380.688,230.414
382.541,230.922
384.366,231.608
386.311,232.356
388.523,233.037
390.997,233.627
393.557,234.221
396.016,234.920
398.223,235.802
400.219,236.800
402.114,237.804
404.005,238.701
405.905,239.385
407.789,239.754
409.662,239.776
411.634,239.695
413.843,239.817
416.237,240.336
418.408,241.227
419.907,242.442
420.454,243.891
420.202,245.375
419.351,246.665
418.025,247.492
416.354,247.707
414.546,247.693
412.824,247.939
411.258,248.378
409.786,248.451
408.344,247.889
406.866,246.902
405.303,245.766
403.655,244.813
401.933,244.373
400.200,244.411
398.578,244.498
397.120,244.324
395.667,243.979
394.081,243.610
392.418,243.306
390.752,243.137
388.964,243.061
386.840,242.981
384.314,242.820
381.686,242.547
379.309,242.138
377.477,241.584
375.977,241.016
374.317,240.639
372.327,240.454
370.268,240.190
368.417,239.580
366.782,238.718
365.168,237.972
363.480,237.555
361.993,237.128
360.962,236.313
359.918,235.353
358.211,234.690
356.022,234.306
353.835,234.013
352.030,233.654
350.521,233.193
349.096,232.637
347.627,232.052
346.046,231.546
344.316,231.147
342.441,230.786
340.428,230.395
338.299,229.927
336.075,229.345
333.785,228.626
331.486,227.833
329.242,227.066
327.118,226.419
325.110,225.893
323.153,225.414
321.185,224.903
319.194,224.323
317.197,223.661
315.235,222.899
313.525,221.973
312.366,220.795
311.885,219.296
311.766,217.456
311.686,215.299
311.802,213.156
312.500,211.500
