X	Y
68.551	141.413
68.741	141.237
69.014	141.095
69.356	140.985
69.751	140.900
70.185	140.835
70.642	140.785
71.109	140.746
71.569	140.712
72.009	140.678
72.420	140.641
72.808	140.601
73.176	140.556
73.532	140.506
73.880	140.451
74.226	140.391
74.577	140.324
74.936	140.252
75.308	140.173
75.691	140.089
76.079	140.001
76.469	139.912
76.855	139.822
77.233	139.734
77.599	139.648
77.948	139.567
78.276	139.493
78.584	139.426
78.879	139.367
79.167	139.318
79.456	139.280
79.752	139.254
80.063	139.240
80.394	139.241
80.742	139.257
81.103	139.291
81.468	139.344
81.831	139.419
82.187	139.517
82.528	139.641
82.849	139.791
83.142	139.971
83.407	140.177
83.644	140.406
83.853	140.654
84.035	140.919
84.190	141.196
84.319	141.483
84.421	141.775
84.493	142.069
84.533	142.360
84.534	142.645
84.493	142.920
84.407	143.179
84.270	143.421
84.088	143.643
83.871	143.850
83.633	144.045
83.386	144.231
83.142	144.412
82.912	144.590
82.707	144.770
82.522	144.950
82.349	145.131
82.182	145.311
82.011	145.490
81.830	145.667
81.632	145.842
81.416	146.011
81.180	146.175
80.925	146.330
80.649	146.474
80.350	146.607
80.029	146.726
79.699	146.837
79.378	146.948
79.083	147.067
78.832	147.201
78.643	147.358
78.533	147.547
78.501	147.765
78.505	147.988
78.496	148.190
78.430	148.347
78.265	148.436
78.016	148.472
77.721	148.485
77.419	148.502
77.147	148.555
76.945	148.671
76.835	148.869
76.794	149.133
76.792	149.437
76.795	149.757
76.772	150.070
76.691	150.351
76.524	150.579
76.274	150.753
75.956	150.880
75.586	150.970
75.180	151.030
74.754	151.069
74.324	151.095
73.904	151.116
73.512	151.139
73.149	151.163
72.813	151.180
72.501	151.181
72.209	151.159
71.933	151.106
71.670	151.014
71.418	150.877
71.174	150.697
70.937	150.488
70.707	150.260
70.482	150.024
70.262	149.791
70.047	149.574
69.835	149.380
69.634	149.206
69.452	149.037
69.298	148.860
69.183	148.664
69.113	148.435
69.087	148.175
69.083	147.908
69.076	147.661
69.043	147.461
68.961	147.333
68.825	147.280
68.673	147.256
68.547	147.207
68.474	147.095
68.442	146.926
68.427	146.718
68.406	146.489
68.364	146.255
68.327	146.041
68.328	145.869
68.402	145.763
68.573	145.736
68.808	145.761
69.062	145.797
69.290	145.802
69.447	145.739
69.507	145.584
69.488	145.355
69.413	145.077
69.305	144.772
69.187	144.463
69.081	144.172
68.996	143.907
68.925	143.660
68.860	143.423
68.795	143.186
68.721	142.941
68.634	142.681
68.543	142.409
68.469	142.136
68.432	141.872
68.453	141.627
68.551	141.413
