X	Y
69.778	140.667
69.879	140.513
70.048	140.398
70.267	140.310
70.522	140.241
70.794	140.181
71.068	140.121
71.330	140.053
71.577	139.975
71.813	139.891
72.042	139.803
72.269	139.712
72.495	139.621
72.726	139.534
72.962	139.450
73.203	139.368
73.444	139.287
73.683	139.205
73.919	139.120
74.148	139.031
74.368	138.936
74.579	138.837
74.785	138.737
74.987	138.639
75.187	138.547
75.389	138.465
75.595	138.394
75.802	138.334
76.009	138.279
76.212	138.224
76.408	138.164
76.593	138.096
76.769	138.016
76.938	137.928
77.107	137.836
77.280	137.745
77.463	137.658
77.660	137.580
77.870	137.507
78.089	137.437
78.316	137.368
78.548	137.297
78.784	137.220
79.020	137.137
79.257	137.047
79.493	136.951
79.727	136.849
79.960	136.741
80.188	136.630
80.413	136.514
80.634	136.395
80.850	136.278
81.063	136.164
81.273	136.058
81.481	135.963
81.687	135.881
81.892	135.815
82.100	135.761
82.314	135.712
82.536	135.664
82.772	135.611
83.024	135.549
83.293	135.474
83.576	135.387
83.865	135.290
84.155	135.185
84.440	135.075
84.713	134.961
84.969	134.846
85.202	134.732
85.412	134.620
85.605	134.514
85.790	134.415
85.973	134.324
86.162	134.244
86.364	134.177
86.581	134.121
86.811	134.072
87.054	134.026
87.307	133.981
87.570	133.932
87.840	133.875
88.118	133.810
88.401	133.737
88.687	133.660
88.977	133.582
89.268	133.505
89.559	133.432
89.848	133.365
90.135	133.307
90.419	133.259
90.699	133.220
90.976	133.188
91.250	133.162
91.521	133.141
91.788	133.124
92.053	133.108
92.315	133.095
92.571	133.088
92.821	133.091
93.063	133.110
93.294	133.147
93.514	133.207
93.719	133.294
93.907	133.405
94.071	133.535
94.205	133.678
94.305	133.830
94.366	133.984
94.389	134.140
94.383	134.298
94.355	134.461
94.315	134.628
94.267	134.801
94.217	134.980
94.169	135.164
94.127	135.353
94.096	135.547
94.076	135.744
94.059	135.943
94.043	136.139
94.020	136.330
93.985	136.514
93.937	136.691
93.875	136.864
93.803	137.039
93.721	137.219
93.631	137.409
93.533	137.611
93.426	137.820
93.309	138.035
93.181	138.250
93.040	138.464
92.885	138.671
92.716	138.871
92.535	139.065
92.346	139.253
92.150	139.439
91.952	139.623
91.753	139.809
91.558	139.997
91.369	140.191
91.184	140.389
91.003	140.594
90.824	140.804
90.646	141.020
90.467	141.244
90.286	141.474
90.102	141.710
89.914	141.951
89.723	142.188
89.530	142.418
89.335	142.633
89.138	142.828
88.940	142.997
88.741	143.134
88.544	143.238
88.350	143.324
88.163	143.407
87.986	143.501
87.823	143.623
87.676	143.785
87.543	143.979
87.416	144.185
87.289	144.381
87.156	144.547
87.010	144.661
86.848	144.711
86.678	144.720
86.514	144.724
86.369	144.758
86.254	144.854
86.163	145.003
86.079	145.174
85.988	145.336
85.871	145.457
85.720	145.519
85.538	145.531
85.334	145.512
85.115	145.478
84.887	145.444
84.658	145.425
84.429	145.419
84.202	145.423
83.977	145.431
83.754	145.439
83.536	145.445
83.322	145.444
83.112	145.439
82.907	145.435
82.705	145.434
82.506	145.440
82.310	145.457
82.116	145.483
81.923	145.510
81.729	145.536
81.534	145.552
81.336	145.555
81.136	145.547
80.936	145.536
80.740	145.531
80.550	145.540
80.369	145.572
80.196	145.626
80.029	145.688
79.864	145.742
79.698	145.775
79.529	145.775
79.360	145.757
79.198	145.743
79.050	145.759
78.922	145.827
78.808	145.943
78.696	146.083
78.575	146.224
78.431	146.342
78.256	146.420
78.055	146.462
77.835	146.476
77.602	146.471
77.363	146.456
77.126	146.437
76.894	146.418
76.670	146.394
76.455	146.361
76.250	146.314
76.056	146.247
75.875	146.157
75.708	146.045
75.553	145.916
75.411	145.776
75.281	145.629
75.164	145.480
75.054	145.332
74.946	145.189
74.831	145.051
74.704	144.922
74.556	144.802
74.392	144.691
74.217	144.586
74.039	144.485
73.864	144.385
73.699	144.284
73.544	144.182
73.392	144.084
73.235	143.994
73.066	143.914
72.877	143.849
72.670	143.797
72.449	143.751
72.218	143.704
71.984	143.651
71.751	143.585
71.525	143.499
71.311	143.396
71.113	143.278
70.936	143.151
70.785	143.019
70.666	142.887
70.578	142.759
70.511	142.625
70.448	142.476
70.372	142.303
70.269	142.097
70.143	141.860
70.010	141.605
69.889	141.345
69.798	141.094
69.755	140.863
69.778	140.667
