X	Y
34.531	32.500
34.678	32.363
34.861	32.262
35.058	32.185
35.255	32.120
35.447	32.054
35.635	31.973
35.820	31.871
36.009	31.755
36.211	31.635
36.433	31.524
36.668	31.426
36.906	31.347
37.133	31.291
37.341	31.252
37.532	31.203
37.704	31.114
37.866	30.978
38.030	30.830
38.211	30.711
38.418	30.639
38.635	30.587
38.849	30.522
39.047	30.420
39.240	30.291
39.441	30.157
39.663	30.036
39.908	29.932
40.166	29.834
40.427	29.729
40.680	29.608
40.924	29.473
41.167	29.336
41.412	29.210
41.664	29.106
41.923	29.023
42.181	28.950
42.433	28.876
42.672	28.790
42.898	28.697
43.116	28.605
43.331	28.524
43.547	28.458
43.772	28.401
44.013	28.344
44.277	28.282
44.556	28.219
44.835	28.165
45.103	28.129
45.346	28.120
45.564	28.142
45.764	28.199
45.950	28.293
46.111	28.424
46.227	28.591
46.281	28.793
46.277	29.018
46.232	29.251
46.164	29.477
46.082	29.692
45.986	29.903
45.877	30.119
45.756	30.341
45.630	30.553
45.507	30.733
45.393	30.862
45.283	30.965
45.162	31.093
45.028	31.265
44.893	31.457
44.774	31.641
44.674	31.798
44.575	31.932
44.454	32.047
44.312	32.159
44.170	32.287
44.043	32.441
43.920	32.597
43.781	32.721
43.619	32.795
43.451	32.844
43.295	32.900
43.151	32.980
43.000	33.088
42.833	33.221
42.654	33.370
42.474	33.519
42.302	33.658
42.140	33.784
41.991	33.897
41.853	33.999
41.712	34.099
41.552	34.207
41.367	34.324
41.167	34.440
40.964	34.543
40.765	34.622
40.571	34.672
40.380	34.687
40.191	34.669
40.002	34.643
39.813	34.634
39.623	34.643
39.433	34.642
39.246	34.603
39.068	34.527
38.911	34.431
38.781	34.328
38.657	34.219
38.512	34.104
38.340	33.989
38.154	33.889
37.969	33.818
37.790	33.777
37.617	33.751
37.449	33.729
37.281	33.708
37.106	33.689
36.922	33.671
36.727	33.652
36.520	33.630
36.308	33.609
36.103	33.595
35.915	33.594
35.738	33.598
35.558	33.592
35.365	33.570
35.173	33.547
34.999	33.543
34.849	33.554
34.713	33.532
34.585	33.451
34.479	33.334
34.409	33.203
34.376	33.053
34.383	32.871
34.433	32.677
34.531	32.500
