X	Y
34.583	33.697
34.697	33.629
34.837	33.596
34.995	33.586
35.161	33.589
35.326	33.595
35.483	33.599
35.634	33.599
35.777	33.597
35.915	33.594
36.046	33.590
36.175	33.587
36.303	33.587
36.434	33.592
36.572	33.604
36.714	33.623
36.858	33.648
37.001	33.678
37.138	33.712
37.270	33.748
37.396	33.786
37.520	33.826
37.641	33.866
37.762	33.906
37.882	33.946
38.002	33.986
38.121	34.027
38.240	34.069
38.359	34.119
38.475	34.178
38.590	34.252
38.700	34.342
38.795	34.443
38.870	34.554
38.916	34.670
38.929	34.789
38.913	34.906
38.871	35.019
38.806	35.124
38.722	35.218
38.621	35.296
38.507	35.357
38.382	35.397
38.251	35.422
38.119	35.441
37.992	35.463
37.874	35.495
37.771	35.539
37.688	35.595
37.627	35.660
37.576	35.726
37.507	35.777
37.397	35.801
37.258	35.794
37.116	35.756
36.992	35.688
36.908	35.594
36.850	35.497
36.793	35.428
36.717	35.414
36.623	35.440
36.528	35.467
36.448	35.456
36.378	35.403
36.304	35.316
36.220	35.210
36.142	35.123
36.094	35.102
36.093	35.174
36.106	35.288
36.088	35.369
36.013	35.368
35.901	35.302
35.781	35.205
35.681	35.106
35.609	35.021
35.555	34.945
35.505	34.874
35.450	34.808
35.386	34.753
35.309	34.712
35.221	34.681
35.127	34.645
35.032	34.598
34.948	34.566
34.886	34.595
34.851	34.700
34.826	34.823
34.791	34.895
34.732	34.868
34.658	34.764
34.580	34.626
34.514	34.498
34.467	34.398
34.438	34.309
34.426	34.207
34.430	34.079
34.453	33.939
34.503	33.805
34.583	33.697
