X	Y
345.000	199.000
345.005	197.478
345.232	196.112
345.678	194.756
346.343	193.268
347.200	191.597
348.199	189.793
349.285	187.911
350.406	186.006
351.511	184.130
352.573	182.305
353.591	180.514
354.569	178.740
355.508	176.966
356.411	175.174
357.300	173.363
358.218	171.547
359.211	169.741
360.323	167.961
361.597	166.221
363.043	164.510
364.633	162.792
366.334	161.025
368.117	159.173
369.950	157.193
371.803	155.050
373.652	152.755
375.483	150.384
377.283	148.014
379.039	145.723
380.736	143.589
382.361	141.689
383.901	140.095
385.347	138.759
386.691	137.547
387.927	136.317
389.049	134.931
390.066	133.292
391.047	131.451
392.071	129.489
393.218	127.490
394.568	125.536
396.189	123.703
398.024	122.002
399.948	120.409
401.835	118.897
403.557	117.440
404.988	116.013
406.052	114.586
406.876	113.113
407.640	111.541
408.525	109.820
409.702	107.902
411.206	105.796
412.949	103.563
414.843	101.262
416.797	98.957
418.721	96.706
420.525	94.572
422.130	92.609
423.546	90.806
424.836	89.118
426.065	87.496
427.296	85.894
428.591	84.265
429.972	82.583
431.412	80.844
432.883	79.047
434.357	77.190
435.804	75.269
437.204	73.286
438.574	71.246
439.948	69.162
441.359	67.043
442.840	64.899
444.425	62.743
446.142	60.585
447.966	58.454
449.834	56.386
451.682	54.420
453.447	52.594
455.067	50.946
456.479	49.513
457.693	48.275
458.819	47.134
459.979	45.985
461.291	44.723
462.824	43.288
464.529	41.723
466.346	40.084
468.213	38.426
470.067	36.805
471.849	35.275
473.549	33.852
475.209	32.512
476.874	31.229
478.587	29.979
480.395	28.734
482.319	27.483
484.339	26.235
486.428	25.006
488.560	23.811
490.706	22.664
492.841	21.580
494.955	20.566
497.062	19.620
499.177	18.740
501.314	17.924
503.488	17.167
505.711	16.469
507.962	15.830
510.207	15.251
512.410	14.735
514.535	14.284
516.547	13.900
518.447	13.583
520.298	13.333
522.171	13.150
524.134	13.031
526.254	12.975
528.515	12.969
530.836	12.991
533.134	13.017
535.328	13.024
537.333	12.990
539.119	12.915
540.770	12.852
542.389	12.863
544.079	13.010
545.904	13.343
547.781	13.867
549.601	14.577
551.250	15.469
552.621	16.539
553.666	17.794
554.405	19.257
554.861	20.947
555.055	22.884
555.028	25.028
554.841	27.269
554.555	29.494
554.230	31.588
553.929	33.440
553.680	35.025
553.446	36.490
553.186	38.005
552.857	39.732
552.454	41.724
552.019	43.886
551.595	46.116
551.227	48.310
550.960	50.364
550.820	52.231
550.789	53.988
550.845	55.731
550.966	57.558
551.125	59.547
551.269	61.633
551.335	63.680
551.255	65.555
550.964	67.121
550.439	68.334
549.784	69.426
549.128	70.683
548.585	72.357
548.165	74.427
547.825	76.746
547.525	79.165
547.221	81.538
546.873	83.717
546.464	85.647
546.012	87.405
545.538	89.080
545.065	90.761
544.610	92.521
544.170	94.343
543.733	96.169
543.287	97.946
542.820	99.619
542.333	101.197
541.844	102.775
541.370	104.454
540.929	106.333
540.534	108.463
540.172	110.775
539.833	113.179
539.503	115.588
539.170	117.912
538.820	120.067
538.446	122.042
538.041	123.904
537.600	125.721
537.118	127.562
536.595	129.483
536.066	131.460
535.586	133.425
535.211	135.310
534.997	137.047
534.965	138.605
535.027	140.089
535.065	141.636
534.962	143.381
534.645	145.378
534.139	147.508
533.481	149.625
532.708	151.585
531.859	153.242
531.008	154.545
530.328	155.669
530.006	156.825
530.171	158.184
530.608	159.673
530.970	161.131
530.916	162.395
530.343	163.428
529.516	164.375
528.727	165.401
528.106	166.573
527.554	167.827
526.952	169.090
526.245	170.312
525.560	171.511
525.068	172.720
524.905	173.965
524.965	175.246
525.022	176.545
524.864	177.846
524.435	179.170
523.787	180.555
522.975	182.043
522.058	183.660
521.107	185.372
520.198	187.132
519.408	188.894
518.811	190.611
518.396	192.270
518.031	193.906
517.571	195.556
516.876	197.258
515.853	199.026
514.543	200.808
513.005	202.546
511.302	204.178
509.493	205.644
507.641	206.893
505.809	207.963
504.061	208.936
502.462	209.898
501.077	210.932
499.939	212.092
498.937	213.278
497.910	214.346
496.703	215.152
495.228	215.627
493.544	215.857
491.728	215.948
489.858	216.006
488.005	216.117
486.226	216.307
484.574	216.586
483.101	216.967
481.835	217.458
480.676	218.050
479.484	218.727
478.129	219.473
476.589	220.246
474.923	220.988
473.190	221.639
471.450	222.140
469.726	222.473
467.977	222.688
466.160	222.839
464.230	222.982
462.151	223.161
459.938	223.371
457.624	223.585
455.240	223.781
452.820	223.931
450.396	224.013
447.987	224.019
445.591	223.980
443.201	223.930
440.813	223.905
438.418	223.939
436.013	224.065
433.597	224.280
431.180	224.536
428.772	224.779
426.383	224.959
424.022	225.022
421.699	224.920
419.420	224.656
417.184	224.278
414.994	223.835
412.851	223.377
410.755	222.953
408.703	222.602
406.682	222.331
404.678	222.139
402.673	222.029
400.655	222.001
398.614	222.043
396.566	222.109
394.527	222.149
392.513	222.112
390.542	221.948
388.611	221.637
386.680	221.226
384.703	220.766
382.636	220.309
380.434	219.908
378.086	219.584
375.645	219.304
373.173	219.026
370.732	218.707
368.382	218.307
366.186	217.785
364.176	217.141
362.352	216.438
360.711	215.737
359.247	215.103
357.963	214.574
356.893	214.001
356.091	213.158
355.577	211.877
355.178	210.342
354.648	208.876
353.744	207.801
352.367	207.240
350.721	206.917
349.048	206.507
347.587	205.686
346.479	204.325
345.703	202.612
345.222	200.764
345.000	199.000
