X	Y
357.000	214.000
359.223	213.352
361.766	213.170
364.562	213.332
367.541	213.718
370.635	214.204
373.775	214.670
376.892	214.993
379.930	215.078
382.884	214.948
385.765	214.660
388.584	214.267
391.352	213.827
394.079	213.395
396.777	213.026
399.455	212.768
402.124	212.620
404.795	212.569
407.477	212.601
410.180	212.701
412.914	212.856
415.690	213.051
418.503	213.277
421.321	213.532
424.110	213.815
426.834	214.126
429.458	214.465
431.948	214.830
434.272	215.220
436.452	215.626
438.560	216.028
440.669	216.406
442.850	216.743
445.177	217.018
447.695	217.225
450.364	217.399
453.127	217.583
455.925	217.820
458.702	218.152
461.400	218.622
463.961	219.272
466.350	220.086
468.556	220.967
470.572	221.814
472.392	222.526
474.007	223.001
475.434	223.178
476.788	223.148
478.206	223.042
479.823	222.986
481.691	223.038
483.784	223.185
486.069	223.407
488.515	223.689
491.089	224.011
493.760	224.365
496.500	224.762
499.282	225.224
502.079	225.770
504.862	226.419
507.606	227.190
510.281	228.105
512.866	229.168
515.354	230.351
517.742	231.615
520.024	232.925
522.197	234.242
524.257	235.531
526.199	236.757
528.014	237.930
529.689	239.090
531.212	240.280
532.570	241.539
533.744	242.904
534.638	244.332
535.106	245.731
534.998	247.006
534.244	248.100
533.080	249.103
531.814	250.142
530.755	251.341
530.063	252.757
529.616	254.312
529.265	255.916
528.859	257.478
528.337	258.965
527.774	260.437
527.261	261.962
526.887	263.608
526.696	265.387
526.665	267.234
526.768	269.079
526.977	270.850
527.274	272.491
527.679	274.022
528.231	275.490
528.965	276.939
529.910	278.401
531.064	279.833
532.417	281.175
533.955	282.365
535.667	283.343
537.418	284.128
538.915	284.844
539.849	285.624
539.935	286.594
539.211	287.769
537.980	289.081
536.551	290.455
535.222	291.824
534.107	293.181
533.179	294.571
532.409	296.037
531.768	297.625
531.231	299.338
530.777	301.132
530.388	302.958
530.043	304.766
529.736	306.515
529.536	308.209
529.539	309.870
529.842	311.519
530.529	313.177
531.562	314.836
532.832	316.475
534.228	318.074
535.641	319.610
536.972	321.067
538.247	322.464
539.555	323.839
540.983	325.234
542.623	326.686
544.535	328.227
546.566	329.826
548.466	331.422
549.986	332.954
550.872	334.364
550.887	335.592
550.057	336.607
548.668	337.408
547.020	337.994
545.367	338.378
543.776	338.625
542.264	338.814
540.848	339.027
539.541	339.350
538.337	339.891
537.226	340.761
536.213	342.045
535.397	343.621
534.924	345.272
534.939	346.778
535.551	347.962
536.614	348.933
537.882	349.914
539.106	351.130
540.101	352.715
540.866	354.543
541.436	356.433
541.845	358.209
542.129	359.698
542.366	360.924
542.677	362.098
543.182	363.442
543.935	365.071
544.872	366.927
545.919	368.934
547.003	371.017
548.050	373.102
549.009	375.127
549.912	377.088
550.808	378.989
551.745	380.835
552.772	382.633
553.931	384.389
555.221	386.122
556.622	387.857
558.111	389.618
559.668	391.432
561.270	393.322
562.892	395.296
564.500	397.321
566.059	399.358
567.534	401.366
568.888	403.306
570.087	405.138
571.126	406.836
572.096	408.412
573.109	409.887
574.277	411.282
575.706	412.618
577.411	413.896
579.304	415.099
581.292	416.210
583.282	417.209
585.180	418.080
586.934	418.817
588.607	419.463
590.287	420.067
592.059	420.678
594.007	421.345
596.142	422.072
598.407	422.824
600.738	423.562
603.072	424.249
605.349	424.847
607.512	425.322
609.561	425.700
611.533	426.040
613.464	426.399
615.389	426.837
617.341	427.406
619.316	428.104
621.290	428.894
623.236	429.737
625.128	430.597
626.939	431.439
628.581	432.292
629.913	433.245
630.790	434.393
631.086	435.817
630.939	437.458
630.729	439.121
630.843	440.612
631.628	441.757
633.011	442.623
634.672	443.424
636.283	444.372
637.528	445.674
638.270	447.373
638.571	449.337
638.503	451.423
638.134	453.491
637.532	455.406
636.732	457.093
635.749	458.506
634.601	459.602
633.306	460.339
631.904	460.751
630.460	460.936
629.038	460.999
627.691	461.026
626.417	461.030
625.203	461.007
624.026	460.957
622.812	460.923
621.467	460.962
619.908	461.124
618.180	461.328
616.412	461.417
614.731	461.231
613.260	460.618
612.007	459.587
610.876	458.292
609.765	456.895
608.576	455.554
607.264	454.348
605.875	453.233
604.459	452.153
603.067	451.055
601.742	449.896
600.496	448.692
599.328	447.472
598.239	446.270
597.225	445.109
596.252	443.945
595.270	442.705
594.228	441.315
593.091	439.737
591.925	438.233
590.843	437.195
589.960	437.019
589.330	437.898
588.808	439.344
588.203	440.721
587.339	441.453
586.165	441.516
584.694	441.186
582.951	440.731
581.069	440.230
579.271	439.609
577.782	438.793
576.826	437.703
576.485	436.319
576.565	434.729
576.837	433.034
577.077	431.333
577.126	429.693
576.917	428.132
576.388	426.667
575.481	425.313
574.223	424.053
572.721	422.837
571.082	421.617
569.417	420.341
567.823	418.968
566.302	417.526
564.800	416.080
563.267	414.694
561.649	413.434
559.902	412.359
558.044	411.461
556.147	410.681
554.282	409.960
552.522	409.237
550.928	408.461
549.470	407.652
548.056	406.880
546.596	406.214
545.005	405.722
543.271	405.443
541.442	405.400
539.565	405.613
537.689	406.101
535.843	406.836
534.010	407.663
532.169	408.409
530.295	408.900
528.367	408.965
526.386	408.550
524.388	407.785
522.416	406.817
520.510	405.792
518.712	404.858
517.034	404.119
515.422	403.575
513.810	403.210
512.133	403.009
510.336	402.951
508.419	402.982
506.397	403.043
504.288	403.072
502.106	403.007
499.885	402.792
497.729	402.395
495.761	401.792
494.107	400.957
492.892	399.867
492.139	398.594
491.580	397.496
490.897	396.981
489.872	397.224
488.570	397.759
487.102	398.008
485.571	397.501
484.019	396.297
482.473	394.612
480.958	392.666
479.500	390.676
478.123	388.850
476.822	387.239
475.577	385.791
474.362	384.451
473.156	383.165
471.938	381.879
470.701	380.546
469.445	379.121
468.169	377.561
466.873	375.821
465.560	373.887
464.253	371.837
462.977	369.767
461.756	367.770
460.615	365.943
459.577	364.378
458.620	363.069
457.668	361.890
456.638	360.709
455.450	359.394
454.071	357.894
452.514	356.247
450.798	354.495
448.943	352.683
446.965	350.853
444.887	349.048
442.791	347.296
440.816	345.611
439.104	344.008
437.796	342.501
437.033	341.104
436.881	339.817
437.031	338.577
437.055	337.298
436.568	335.903
435.530	334.380
434.064	332.749
432.297	331.030
430.354	329.241
428.358	327.403
426.387	325.529
424.441	323.627
422.515	321.700
420.603	319.753
418.698	317.793
416.796	315.825
414.892	313.853
412.998	311.887
411.142	309.939
409.354	308.023
407.662	306.151
406.093	304.336
404.677	302.590
403.413	300.916
402.242	299.297
401.100	297.714
399.923	296.148
398.645	294.579
397.234	292.988
395.714	291.353
394.118	289.656
392.477	287.874
390.821	285.987
389.182	283.976
387.567	281.855
385.959	279.671
384.339	277.470
382.691	275.300
380.997	273.211
379.239	271.248
377.408	269.448
375.547	267.775
373.718	266.165
371.985	264.555
370.410	262.883
369.054	261.084
367.956	259.112
367.039	256.993
366.193	254.774
365.309	252.501
364.278	250.223
362.990	247.985
361.374	245.828
359.505	243.769
357.495	241.816
355.455	239.979
353.496	238.267
351.731	236.691
350.267	235.257
349.160	233.934
348.416	232.657
348.038	231.358
348.026	229.971
348.331	228.462
348.879	226.808
349.596	224.991
350.409	222.993
351.312	220.873
352.362	218.772
353.619	216.831
355.145	215.193
357.000	214.000
