X	Y
1090.000	612.000
1091.074	609.023
1093.442	606.488
1096.792	604.384
1100.814	602.698
1105.197	601.417
1109.628	600.527
1113.797	600.016
1117.454	599.844
1120.643	599.835
1123.490	599.777
1126.124	599.459
1128.671	598.667
1131.257	597.196
1133.943	595.018
1136.722	592.293
1139.583	589.186
1142.517	585.867
1145.513	582.502
1148.562	579.259
1151.652	576.305
1154.777	573.776
1157.946	571.624
1161.172	569.737
1164.471	568.003
1167.855	566.311
1171.341	564.550
1174.941	562.608
1178.666	560.386
1182.499	557.909
1186.401	555.272
1190.337	552.573
1194.268	549.906
1198.159	547.370
1201.973	545.060
1205.672	543.073
1209.221	541.504
1212.610	540.354
1215.874	539.484
1219.049	538.744
1222.171	537.987
1225.277	537.061
1228.405	535.817
1231.576	534.170
1234.778	532.206
1237.989	530.042
1241.190	527.793
1244.362	525.577
1247.483	523.509
1250.534	521.705
1253.516	520.223
1256.485	518.976
1259.504	517.858
1262.633	516.762
1265.937	515.584
1269.477	514.215
1273.301	512.570
1277.375	510.685
1281.631	508.641
1286.001	506.520
1290.418	504.405
1294.815	502.378
1299.123	500.520
1303.276	498.914
1307.206	497.641
1310.904	496.707
1314.454	496.001
1317.949	495.399
1321.480	494.777
1325.141	494.011
1329.023	492.977
1333.218	491.553
1337.756	489.694
1342.552	487.500
1347.511	485.082
1352.537	482.554
1357.535	480.028
1362.409	477.616
1367.064	475.432
1371.404	473.588
1375.334	472.196
1378.781	471.343
1381.829	470.920
1384.631	470.738
1387.338	470.607
1390.102	470.338
1393.075	469.743
1396.337	468.739
1399.862	467.399
1403.618	465.808
1407.572	464.050
1411.692	462.212
1415.943	460.378
1420.294	458.634
1424.712	457.059
1429.174	455.668
1433.665	454.423
1438.169	453.286
1442.670	452.220
1447.154	451.187
1451.603	450.149
1456.003	449.067
1460.339	447.905
1464.596	446.638
1468.764	445.294
1472.836	443.907
1476.803	442.513
1480.656	441.146
1484.387	439.843
1487.987	438.637
1491.449	437.564
1494.802	436.622
1498.119	435.770
1501.477	434.963
1504.951	434.155
1508.618	433.302
1512.554	432.358
1516.830	431.281
1521.446	430.071
1526.357	428.752
1531.516	427.351
1536.878	425.893
1542.396	424.404
1548.023	422.910
1553.714	421.438
1559.421	420.013
1565.099	418.660
1570.702	417.406
1576.206	416.246
1581.611	415.150
1586.917	414.084
1592.126	413.015
1597.236	411.910
1602.248	410.736
1607.164	409.461
1611.983	408.051
1616.706	406.472
1621.332	404.700
1625.854	402.776
1630.260	400.778
1634.538	398.786
1638.676	396.880
1642.663	395.138
1646.485	393.640
1650.133	392.466
1653.593	391.690
1656.834	391.271
1659.806	391.038
1662.458	390.815
1664.738	390.427
1666.597	389.699
1668.124	388.616
1669.609	387.399
1671.360	386.285
1673.661	385.495
1676.553	385.042
1679.927	384.819
1683.674	384.713
1687.682	384.614
1691.844	384.411
1696.048	383.994
1700.207	383.280
1704.326	382.300
1708.429	381.114
1712.542	379.779
1716.688	378.354
1720.894	376.896
1725.185	375.465
1729.584	374.119
1734.112	372.906
1738.752	371.821
1743.475	370.843
1748.255	369.950
1753.063	369.120
1757.871	368.332
1762.653	367.563
1767.380	366.791
1772.025	365.996
1776.568	365.161
1781.021	364.306
1785.407	363.453
1789.745	362.628
1794.056	361.854
1798.362	361.155
1802.683	360.558
1807.040	360.085
1811.450	359.758
1815.905	359.585
1820.382	359.564
1824.861	359.693
1829.319	359.970
1833.734	360.395
1838.085	360.965
1842.351	361.680
1846.511	362.536
1850.578	363.511
1854.588	364.570
1858.578	365.675
1862.584	366.789
1866.645	367.876
1870.796	368.899
1875.074	369.821
1879.510	370.612
1884.085	371.288
1888.759	371.890
1893.490	372.456
1898.238	373.027
1902.960	373.641
1907.615	374.337
1912.163	375.157
1916.563	376.138
1920.784	377.307
1924.831	378.649
1928.713	380.144
1932.438	381.772
1936.015	383.513
1939.454	385.347
1942.763	387.254
1945.952	389.213
1949.037	391.215
1952.041	393.257
1954.984	395.336
1957.891	397.448
1960.782	399.590
1963.680	401.760
1966.601	403.958
1969.533	406.210
1972.453	408.549
1975.339	411.010
1978.167	413.625
1980.914	416.429
1983.558	419.456
1986.073	422.732
1988.416	426.242
1990.536	429.954
1992.381	433.834
1993.901	437.850
1995.045	441.968
1995.762	446.156
1996.001	450.381
1995.735	454.605
1995.012	458.778
1993.894	462.848
1992.443	466.761
1990.722	470.466
1988.791	473.908
1986.714	477.037
1984.550	479.808
1982.333	482.289
1980.085	484.622
1977.824	486.947
1975.569	489.405
1973.340	492.137
1971.154	495.283
1969.011	498.878
1966.878	502.819
1964.723	506.994
1962.513	511.290
1960.215	515.597
1957.795	519.800
1955.222	523.789
1952.462	527.451
1949.494	530.695
1946.371	533.574
1943.178	536.197
1939.998	538.672
1936.916	541.109
1934.016	543.617
1931.381	546.305
1929.094	549.278
1927.155	552.497
1925.466	555.743
1923.921	558.787
1922.414	561.398
1920.840	563.348
1919.096	564.424
1917.157	564.787
1915.074	564.974
1912.898	565.538
1910.681	567.002
1908.440	569.490
1906.169	572.809
1903.857	576.757
1901.495	581.134
1899.076	585.738
1896.589	590.367
1894.027	594.821
1891.380	598.899
1888.648	602.478
1885.849	605.596
1883.001	608.311
1880.125	610.678
1877.240	612.756
1874.365	614.602
1871.521	616.273
1868.720	617.832
1865.963	619.352
1863.249	620.910
1860.574	622.582
1857.938	624.445
1855.337	626.575
1852.766	628.995
1850.205	631.627
1847.637	634.384
1845.042	637.176
1842.402	639.917
1839.697	642.516
1836.908	644.887
1834.034	647.018
1831.092	648.993
1828.100	650.903
1825.078	652.841
1822.045	654.898
1819.020	657.167
1816.019	659.730
1813.027	662.558
1810.004	665.551
1806.914	668.608
1803.717	671.625
1800.376	674.502
1796.853	677.137
1793.108	679.427
1789.112	681.283
1784.910	682.730
1780.590	683.858
1776.242	684.757
1771.955	685.520
1767.816	686.237
1763.916	686.999
1760.343	687.897
1757.167	689.006
1754.345	690.315
1751.801	691.783
1749.458	693.369
1747.238	695.034
1745.063	696.736
1742.865	698.457
1740.584	700.198
1738.162	701.966
1735.540	703.764
1732.660	705.599
1729.471	707.473
1725.986	709.367
1722.245	711.255
1718.290	713.109
1714.161	714.903
1709.901	716.609
1705.551	718.200
1701.152	719.648
1696.744	720.931
1692.360	722.046
1688.027	723.009
1683.774	723.831
1679.627	724.527
1675.614	725.110
1671.764	725.593
1668.103	725.990
1664.646	726.316
1661.346	726.600
1658.139	726.872
1654.963	727.165
1651.753	727.509
1648.448	727.936
1644.994	728.472
1641.402	729.120
1637.708	729.874
1633.947	730.726
1630.153	731.671
1626.363	732.701
1622.611	733.810
1618.924	734.986
1615.276	736.177
1611.620	737.316
1607.907	738.335
1604.090	739.168
1600.121	739.747
1595.951	740.006
1591.538	739.882
1586.899	739.406
1582.106	738.693
1577.235	737.859
1572.361	737.021
1567.557	736.294
1562.899	735.796
1558.462	735.643
1554.320	735.951
1550.525	736.803
1547.011	738.102
1543.678	739.696
1540.421	741.433
1537.138	743.160
1533.727	744.725
1530.085	745.977
1526.141	746.797
1521.954	747.225
1517.618	747.338
1513.229	747.215
1508.880	746.935
1504.667	746.575
1500.684	746.216
1497.026	745.934
1493.725	745.775
1490.705	745.722
1487.880	745.753
1485.161	745.845
1482.460	745.976
1479.698	746.127
1476.832	746.316
1473.839	746.570
1470.696	746.921
1467.379	747.396
1463.864	748.027
1460.141	748.824
1456.249	749.739
1452.235	750.706
1448.148	751.662
1444.036	752.544
1439.949	753.287
1435.935	753.828
1432.040	754.105
1428.289	754.139
1424.680	754.023
1421.212	753.857
1417.882	753.741
1414.690	753.772
1411.633	754.051
1408.698	754.624
1405.840	755.400
1403.009	756.264
1400.153	757.099
1397.223	757.788
1394.169	758.223
1390.965	758.396
1387.598	758.383
1384.061	758.260
1380.342	758.103
1376.431	757.988
1372.319	757.993
1368.003	758.174
1363.523	758.502
1358.928	758.913
1354.269	759.349
1349.599	759.749
1344.966	760.053
1340.423	760.199
1336.020	760.127
1331.807	759.781
1327.802	759.186
1323.997	758.441
1320.381	757.649
1316.945	756.913
1313.677	756.336
1310.568	756.022
1307.604	756.052
1304.733	756.367
1301.891	756.846
1299.014	757.368
1296.036	757.811
1292.893	758.055
1289.568	758.045
1286.114	757.830
1282.589	757.465
1279.052	757.005
1275.562	756.506
1272.177	756.024
1268.936	755.604
1265.788	755.242
1262.657	754.922
1259.464	754.628
1256.131	754.342
1252.581	754.048
1248.751	753.732
1244.667	753.401
1240.395	753.071
1235.996	752.759
1231.536	752.480
1227.078	752.251
1222.686	752.087
1218.423	752.003
1214.342	752.006
1210.429	752.040
1206.651	752.031
1202.973	751.903
1199.360	751.582
1195.778	750.993
1192.192	750.061
1188.576	748.728
1184.938	747.021
1181.297	744.990
1177.670	742.685
1174.078	740.156
1170.538	737.454
1167.070	734.629
1163.692	731.731
1160.407	728.802
1157.167	725.864
1153.916	722.931
1150.597	720.019
1147.154	717.145
1143.530	714.323
1139.670	711.570
1135.515	708.900
1131.022	706.328
1126.297	703.833
1121.542	701.371
1116.964	698.898
1112.769	696.372
1109.163	693.748
1106.352	690.983
1104.542	688.034
1103.935	684.857
1104.521	681.432
1105.978	677.771
1107.958	673.892
1110.113	669.810
1112.097	665.540
1113.560	661.099
1114.156	656.502
1113.548	651.766
1111.705	646.929
1108.928	642.052
1105.534	637.197
1101.841	632.426
1098.167	627.801
1094.828	623.383
1092.142	619.236
1090.427	615.421
1090.000	612.000
