X	Y
1094.000	694.000
1098.799	693.466
1103.507	693.369
1108.146	693.641
1112.740	694.212
1117.309	695.015
1121.877	695.981
1126.466	697.041
1131.098	698.127
1135.796	699.171
1140.582	700.104
1145.470	700.879
1150.451	701.507
1155.512	702.009
1160.641	702.407
1165.823	702.722
1171.046	702.976
1176.296	703.190
1181.562	703.385
1186.828	703.583
1192.083	703.805
1197.314	704.073
1202.500	704.397
1207.613	704.770
1212.619	705.181
1217.487	705.619
1222.185	706.074
1226.682	706.535
1230.945	706.991
1234.943	707.432
1238.645	707.847
1242.023	708.227
1245.138	708.570
1248.116	708.882
1251.082	709.170
1254.163	709.440
1257.486	709.697
1261.177	709.948
1265.343	710.198
1269.957	710.447
1274.928	710.690
1280.164	710.925
1285.574	711.147
1291.066	711.352
1296.549	711.538
1301.932	711.699
1307.123	711.834
1312.030	711.938
1316.563	712.007
1320.670	712.041
1324.405	712.048
1327.842	712.036
1331.054	712.017
1334.114	711.998
1337.095	711.990
1340.070	712.001
1343.106	712.036
1346.239	712.086
1349.499	712.136
1352.916	712.172
1356.520	712.179
1360.343	712.144
1364.413	712.052
1368.758	711.890
1373.359	711.665
1378.164	711.396
1383.120	711.103
1388.175	710.806
1393.276	710.525
1398.371	710.279
1403.407	710.089
1408.332	709.974
1413.092	709.954
1417.636	710.049
1421.952	710.265
1426.081	710.587
1430.069	711.002
1433.962	711.493
1437.807	712.045
1441.649	712.645
1445.535	713.275
1449.511	713.921
1453.616	714.571
1457.845	715.218
1462.182	715.864
1466.606	716.507
1471.100	717.146
1475.645	717.781
1480.222	718.410
1484.813	719.034
1489.400	719.652
1493.963	720.262
1498.490	720.867
1502.977	721.473
1507.417	722.083
1511.808	722.705
1516.142	723.342
1520.417	724.001
1524.626	724.686
1528.766	725.404
1532.830	726.159
1536.823	726.955
1540.762	727.791
1544.670	728.667
1548.568	729.581
1552.476	730.533
1556.418	731.521
1560.413	732.545
1564.483	733.603
1568.648	734.695
1572.903	735.812
