X	Y
39.228	17.691
39.423	17.566
39.668	17.521
39.951	17.540
40.261	17.608
40.588	17.709
40.919	17.828
41.246	17.952
41.567	18.077
41.879	18.199
42.182	18.317
42.474	18.426
42.755	18.526
43.023	18.612
43.279	18.684
43.529	18.742
43.779	18.787
44.035	18.820
44.303	18.842
44.587	18.853
44.886	18.857
45.198	18.855
45.517	18.851
45.840	18.846
46.165	18.843
46.485	18.846
46.801	18.855
47.115	18.873
47.428	18.901
47.745	18.941
48.069	18.993
48.401	19.059
48.746	19.141
49.101	19.236
49.462	19.342
49.822	19.453
50.175	19.566
50.517	19.675
50.840	19.777
51.139	19.867
51.411	19.943
51.660	20.009
51.895	20.073
52.123	20.142
52.353	20.223
52.590	20.324
52.834	20.446
53.075	20.590
53.306	20.753
53.518	20.936
53.702	21.138
53.852	21.357
53.971	21.593
54.064	21.842
54.136	22.103
54.193	22.374
54.241	22.652
54.280	22.934
54.306	23.220
54.316	23.505
54.303	23.788
54.264	24.066
54.194	24.337
54.090	24.595
53.957	24.828
53.798	25.025
53.615	25.176
53.412	25.269
53.193	25.303
52.966	25.297
52.739	25.274
52.520	25.255
52.316	25.263
52.126	25.302
51.945	25.369
51.764	25.456
51.577	25.558
51.381	25.669
51.176	25.781
50.962	25.889
50.740	25.985
50.511	26.064
50.278	26.124
50.042	26.173
49.809	26.216
49.580	26.259
49.361	26.309
49.150	26.366
48.947	26.427
48.751	26.487
48.560	26.544
48.371	26.593
48.184	26.632
47.994	26.657
47.799	26.664
47.598	26.656
47.399	26.643
47.209	26.642
47.036	26.668
46.883	26.728
46.741	26.809
46.596	26.892
46.435	26.959
46.255	27.004
46.061	27.032
45.857	27.046
45.649	27.051
45.440	27.056
45.232	27.073
45.028	27.115
44.830	27.197
44.640	27.323
44.459	27.485
44.286	27.673
44.121	27.875
43.966	28.081
43.817	28.278
43.670	28.444
43.517	28.556
43.351	28.590
43.165	28.528
42.962	28.384
42.747	28.181
42.525	27.944
42.300	27.697
42.077	27.463
41.862	27.263
41.654	27.097
41.454	26.954
41.263	26.827
41.080	26.704
40.905	26.579
40.734	26.452
40.564	26.330
40.388	26.220
40.201	26.129
40.001	26.060
39.788	26.006
39.564	25.960
39.332	25.916
39.093	25.866
38.853	25.803
38.626	25.717
38.421	25.601
38.251	25.447
38.126	25.245
38.047	25.001
38.007	24.723
38.000	24.423
38.020	24.112
38.060	23.799
38.114	23.495
38.174	23.200
38.234	22.912
38.285	22.627
38.321	22.341
38.334	22.051
38.317	21.753
38.276	21.452
38.227	21.158
38.186	20.879
38.170	20.626
38.195	20.408
38.273	20.232
38.391	20.079
38.526	19.923
38.655	19.736
38.757	19.493
38.827	19.191
38.880	18.856
38.930	18.512
38.995	18.186
39.089	17.904
39.228	17.691
