X	Y
26.030	22.296
26.114	22.204
26.312	22.164
26.586	22.149
26.901	22.137
27.218	22.104
27.503	22.025
27.745	21.904
27.954	21.759
28.141	21.613
28.315	21.487
28.489	21.401
28.667	21.363
28.852	21.351
29.041	21.339
29.234	21.302
29.430	21.224
29.625	21.120
29.815	21.009
29.997	20.910
30.166	20.843
30.326	20.810
30.490	20.793
30.671	20.772
30.882	20.729
31.124	20.659
31.393	20.568
31.681	20.461
31.985	20.344
32.297	20.222
32.613	20.102
32.926	19.987
33.236	19.879
33.542	19.778
33.843	19.684
34.139	19.596
34.429	19.514
34.712	19.438
34.989	19.369
35.261	19.306
35.529	19.249
35.796	19.197
36.064	19.152
36.334	19.113
36.607	19.080
36.880	19.053
37.145	19.031
37.398	19.016
37.632	19.005
37.841	19.000
38.026	18.999
38.194	19.000
38.356	19.001
38.521	19.000
38.692	19.003
38.866	19.025
39.038	19.080
39.205	19.181
39.360	19.329
39.491	19.514
39.589	19.725
39.645	19.954
39.650	20.192
39.612	20.436
39.547	20.689
39.467	20.952
39.387	21.226
39.322	21.513
39.280	21.811
39.253	22.098
39.224	22.347
39.179	22.531
39.102	22.624
38.989	22.622
38.893	22.615
38.868	22.707
38.893	22.883
38.908	23.072
38.854	23.202
38.717	23.248
38.553	23.258
38.430	23.291
38.382	23.385
38.361	23.519
38.302	23.664
38.181	23.804
38.028	23.936
37.877	24.064
37.762	24.189
37.695	24.309
37.633	24.419
37.530	24.514
37.358	24.590
37.137	24.647
36.889	24.686
36.637	24.707
36.403	24.712
36.199	24.704
36.016	24.695
35.843	24.695
35.668	24.717
35.483	24.764
35.285	24.824
35.074	24.882
34.846	24.922
34.602	24.930
34.343	24.904
34.079	24.856
33.816	24.799
33.563	24.748
33.330	24.715
33.121	24.713
32.930	24.737
32.742	24.773
32.544	24.807
32.320	24.826
32.067	24.824
31.794	24.806
31.515	24.780
31.240	24.749
30.981	24.722
30.750	24.704
30.545	24.697
30.355	24.698
30.165	24.704
29.964	24.713
29.742	24.722
29.509	24.728
29.276	24.730
29.054	24.724
28.854	24.708
28.679	24.680
28.512	24.637
28.334	24.576
28.125	24.496
27.873	24.393
27.599	24.275
27.334	24.148
27.109	24.020
26.953	23.897
26.897	23.785
26.914	23.677
26.920	23.544
26.833	23.363
26.659	23.140
26.443	22.899
26.235	22.662
26.081	22.453
26.030	22.296
