X	Y
26.799	24.163
26.923	24.071
27.108	24.018
27.345	23.994
27.623	23.993
27.932	24.006
28.262	24.027
28.604	24.046
28.947	24.057
29.287	24.058
29.624	24.050
29.958	24.039
30.291	24.026
30.624	24.015
30.956	24.009
31.288	24.011
31.622	24.025
31.957	24.053
32.295	24.097
32.632	24.157
32.968	24.230
33.301	24.312
33.627	24.403
33.946	24.498
34.255	24.596
34.551	24.694
34.834	24.790
35.101	24.882
35.351	24.971
35.583	25.063
35.798	25.164
35.995	25.278
36.174	25.411
36.335	25.569
36.477	25.754
36.594	25.958
36.678	26.169
36.724	26.373
36.724	26.558
36.670	26.712
36.565	26.829
36.429	26.921
36.287	27.006
36.164	27.097
36.082	27.210
36.033	27.342
35.995	27.484
35.944	27.624
35.857	27.753
35.732	27.866
35.584	27.963
35.427	28.044
35.276	28.109
35.144	28.160
35.037	28.212
34.956	28.286
34.903	28.400
34.871	28.556
34.847	28.738
34.813	28.931
34.755	29.118
34.659	29.283
34.521	29.420
34.352	29.536
34.165	29.639
33.972	29.736
33.784	29.835
33.614	29.942
33.460	30.056
33.318	30.171
33.178	30.281
33.034	30.377
32.878	30.455
32.708	30.512
32.523	30.554
32.325	30.585
32.116	30.611
31.895	30.637
31.665	30.668
31.432	30.706
31.201	30.752
30.981	30.805
30.777	30.868
30.598	30.940
30.448	31.022
30.322	31.109
30.205	31.193
30.080	31.265
29.931	31.315
29.752	31.342
29.547	31.349
29.324	31.342
29.090	31.328
28.852	31.312
28.617	31.300
28.390	31.293
28.175	31.282
27.975	31.258
27.792	31.211
27.630	31.130
27.491	31.005
27.375	30.838
27.279	30.634
27.199	30.402
27.133	30.149
27.078	29.882
27.029	29.610
26.985	29.338
26.943	29.071
26.902	28.808
26.861	28.551
26.818	28.298
26.771	28.052
26.721	27.812
26.664	27.580
26.604	27.355
26.547	27.135
26.499	26.922
26.467	26.713
26.458	26.508
26.478	26.307
26.527	26.107
26.595	25.909
26.669	25.709
26.736	25.506
26.783	25.300
26.799	25.087
26.783	24.871
26.754	24.660
26.733	24.466
26.741	24.296
26.799	24.163
