X	Y
25.697	21.622
25.720	21.548
25.790	21.483
25.896	21.426
26.028	21.372
26.176	21.319
26.332	21.263
26.489	21.204
26.651	21.140
26.815	21.073
26.984	21.004
27.158	20.931
27.336	20.855
27.521	20.777
27.712	20.697
27.909	20.615
28.112	20.531
28.319	20.445
28.528	20.358
28.739	20.269
28.950	20.179
29.159	20.087
29.366	19.994
29.568	19.901
29.765	19.806
29.955	19.710
30.138	19.616
30.313	19.525
30.481	19.442
30.641	19.368
30.794	19.308
30.939	19.263
31.077	19.237
31.206	19.232
31.327	19.242
31.436	19.255
31.530	19.258
31.608	19.238
31.668	19.186
31.716	19.105
31.762	19.007
31.816	18.902
31.888	18.800
31.985	18.711
32.106	18.634
32.247	18.566
32.405	18.506
32.576	18.452
32.757	18.400
32.943	18.348
33.131	18.295
33.318	18.239
33.502	18.182
33.680	18.126
33.852	18.072
34.014	18.023
34.165	17.980
34.303	17.946
34.426	17.922
34.536	17.908
34.638	17.899
34.740	17.893
34.848	17.884
34.969	17.868
35.108	17.844
35.259	17.812
35.421	17.775
35.588	17.734
35.758	17.692
35.926	17.650
36.089	17.611
36.244	17.577
36.388	17.550
36.523	17.535
36.648	17.534
36.764	17.552
36.871	17.592
36.968	17.658
37.054	17.746
37.129	17.853
37.190	17.974
37.237	18.105
37.267	18.242
37.280	18.381
37.280	18.520
37.270	18.661
37.254	18.802
37.236	18.944
37.221	19.087
37.212	19.231
37.212	19.376
37.216	19.522
37.223	19.670
37.228	19.820
37.229	19.971
37.222	20.125
37.205	20.282
37.177	20.440
37.137	20.596
37.086	20.747
37.026	20.890
36.956	21.020
36.877	21.136
36.791	21.233
36.699	21.315
36.608	21.388
36.523	21.461
36.449	21.542
36.392	21.639
36.353	21.756
36.327	21.888
36.305	22.028
36.280	22.169
36.243	22.304
36.188	22.427
36.109	22.532
36.008	22.620
35.894	22.695
35.774	22.758
35.654	22.814
35.542	22.866
35.443	22.917
35.355	22.966
35.269	23.012
35.180	23.055
35.080	23.095
34.966	23.130
34.839	23.161
34.702	23.187
34.558	23.211
34.411	23.231
34.263	23.248
34.117	23.263
33.974	23.276
33.833	23.286
33.693	23.295
33.554	23.301
33.414	23.305
33.274	23.307
33.132	23.307
32.988	23.306
32.842	23.305
32.692	23.303
32.540	23.303
32.383	23.304
32.223	23.308
32.058	23.314
31.890	23.322
31.720	23.330
31.549	23.339
31.379	23.348
31.210	23.355
31.044	23.360
30.882	23.362
30.724	23.361
30.569	23.359
30.417	23.357
30.266	23.355
30.116	23.355
29.966	23.358
29.815	23.364
29.663	23.376
29.510	23.390
29.359	23.407
29.209	23.425
29.062	23.443
28.918	23.461
28.778	23.478
28.643	23.493
28.512	23.508
28.384	23.524
28.261	23.543
28.141	23.566
28.025	23.594
27.911	23.625
27.799	23.654
27.688	23.677
27.576	23.689
27.463	23.684
27.347	23.662
27.227	23.627
27.102	23.585
26.969	23.541
26.828	23.501
26.676	23.470
26.515	23.452
26.353	23.440
26.201	23.428
26.070	23.407
25.971	23.370
25.915	23.307
25.908	23.214
25.940	23.095
25.995	22.956
26.056	22.803
26.108	22.643
26.135	22.482
26.121	22.327
26.064	22.182
25.979	22.046
25.883	21.922
25.793	21.810
25.725	21.710
25.697	21.622
