X	Y
26.023	23.089
26.125	23.011
26.273	22.959
26.459	22.928
26.676	22.912
26.913	22.906
27.163	22.905
27.418	22.903
27.669	22.894
27.907	22.874
28.127	22.838
28.327	22.789
28.512	22.732
28.684	22.671
28.846	22.611
29.001	22.558
29.153	22.516
29.303	22.489
29.455	22.481
29.608	22.489
29.762	22.507
29.917	22.533
30.073	22.561
30.229	22.588
30.386	22.609
30.543	22.623
30.701	22.630
30.861	22.631
31.024	22.627
31.190	22.619
31.360	22.608
31.534	22.594
31.714	22.579
31.897	22.562
32.084	22.546
32.274	22.530
32.465	22.516
32.658	22.504
32.851	22.496
33.044	22.490
33.235	22.490
33.423	22.497
33.607	22.512
33.783	22.538
33.951	22.575
34.109	22.627
34.254	22.694
34.386	22.778
34.504	22.878
34.611	22.990
34.708	23.112
34.796	23.239
34.876	23.370
34.950	23.501
35.018	23.629
35.076	23.754
35.121	23.875
35.147	23.991
35.152	24.101
35.132	24.204
35.090	24.302
35.031	24.399
34.962	24.497
34.886	24.600
34.810	24.709
34.736	24.825
34.666	24.946
34.601	25.069
34.545	25.194
34.497	25.319
34.460	25.443
34.427	25.563
34.393	25.679
34.351	25.790
34.295	25.894
34.220	25.990
34.129	26.080
34.030	26.167
33.932	26.253
33.843	26.342
33.769	26.436
33.714	26.537
33.671	26.646
33.631	26.764
33.587	26.892
33.532	27.030
33.458	27.179
33.367	27.333
33.263	27.485
33.148	27.626
33.028	27.750
32.906	27.849
32.786	27.915
32.671	27.942
32.562	27.940
32.456	27.926
32.354	27.917
32.251	27.929
32.149	27.973
32.046	28.042
31.941	28.128
31.834	28.223
31.724	28.318
31.610	28.406
31.494	28.484
31.374	28.552
31.253	28.614
31.130	28.670
31.007	28.723
30.883	28.774
30.760	28.822
30.636	28.866
30.511	28.905
30.384	28.936
30.256	28.957
30.125	28.969
29.992	28.972
29.856	28.970
29.717	28.965
29.575	28.959
29.429	28.957
29.279	28.958
29.128	28.962
28.977	28.966
28.828	28.968
28.684	28.966
28.547	28.959
28.418	28.944
28.298	28.920
28.187	28.888
28.085	28.848
27.990	28.800
27.904	28.745
27.826	28.681
27.754	28.607
27.689	28.522
27.628	28.426
27.572	28.318
27.517	28.202
27.461	28.081
27.403	27.959
27.339	27.837
27.269	27.721
27.192	27.608
27.114	27.497
27.035	27.387
26.960	27.276
26.891	27.163
26.831	27.045
26.776	26.923
26.725	26.797
26.675	26.667
26.622	26.534
26.564	26.397
26.498	26.257
26.430	26.116
26.361	25.975
26.297	25.837
26.241	25.704
26.197	25.576
26.170	25.457
26.158	25.344
26.158	25.234
26.168	25.125
26.183	25.012
26.200	24.892
26.217	24.764
26.228	24.629
26.231	24.485
26.222	24.332
26.197	24.171
26.153	24.001
26.097	23.825
26.040	23.651
25.993	23.485
25.967	23.331
25.973	23.198
26.023	23.089
