X	Y
25.660	21.132
25.719	21.132
25.844	21.180
26.008	21.246
26.186	21.302
26.353	21.320
26.488	21.280
26.600	21.191
26.701	21.071
26.805	20.936
26.923	20.804
27.070	20.692
27.246	20.605
27.448	20.535
27.668	20.479
27.900	20.430
28.140	20.382
28.381	20.331
28.617	20.270
28.843	20.194
29.058	20.103
29.266	20.001
29.469	19.890
29.670	19.773
29.871	19.654
30.075	19.535
30.285	19.418
30.503	19.308
30.730	19.205
30.964	19.107
31.204	19.014
31.448	18.925
31.694	18.838
31.941	18.753
32.187	18.668
32.431	18.583
32.671	18.496
32.907	18.408
33.139	18.318
33.367	18.228
33.591	18.137
33.812	18.046
34.029	17.955
34.242	17.866
34.453	17.777
34.661	17.689
34.869	17.603
35.077	17.518
35.288	17.433
35.504	17.349
35.725	17.265
35.955	17.180
36.195	17.095
36.445	17.010
36.702	16.927
36.963	16.849
37.222	16.777
37.477	16.715
37.724	16.664
37.959	16.627
38.177	16.607
38.376	16.605
38.556	16.622
38.720	16.652
38.876	16.691
39.028	16.734
39.182	16.777
39.343	16.814
39.509	16.849
39.672	16.889
39.826	16.942
39.961	17.015
40.070	17.117
40.150	17.251
40.202	17.411
40.233	17.587
40.248	17.773
40.252	17.957
40.250	18.133
40.248	18.293
40.245	18.440
40.244	18.577
40.246	18.706
40.252	18.831
40.262	18.955
40.270	19.079
40.270	19.207
40.256	19.340
40.225	19.480
40.178	19.626
40.124	19.773
40.069	19.919
40.019	20.060
39.982	20.193
39.959	20.316
39.946	20.435
39.939	20.550
39.935	20.665
39.927	20.781
39.905	20.895
39.859	21.002
39.781	21.099
39.670	21.187
39.546	21.271
39.428	21.359
39.337	21.455
39.291	21.568
39.284	21.694
39.290	21.822
39.279	21.941
39.220	22.039
39.109	22.114
38.978	22.171
38.863	22.220
38.801	22.269
38.803	22.326
38.804	22.390
38.745	22.462
38.626	22.536
38.467	22.610
38.284	22.679
38.094	22.738
37.914	22.784
37.752	22.816
37.604	22.834
37.465	22.840
37.330	22.837
37.193	22.826
37.052	22.809
36.910	22.791
36.767	22.776
36.627	22.767
36.491	22.769
36.359	22.781
36.228	22.799
36.095	22.816
35.957	22.828
35.811	22.829
35.656	22.819
35.496	22.804
35.333	22.787
35.170	22.773
35.009	22.767
34.852	22.770
34.699	22.780
34.547	22.795
34.396	22.812
34.244	22.827
34.090	22.838
33.936	22.844
33.781	22.845
33.627	22.842
33.475	22.835
33.327	22.825
33.183	22.814
33.042	22.806
32.902	22.806
32.764	22.819
32.627	22.848
32.488	22.891
32.347	22.939
32.202	22.982
32.050	23.011
31.891	23.018
31.725	23.000
31.556	22.968
31.387	22.933
31.222	22.903
31.065	22.891
30.919	22.905
30.785	22.945
30.658	23.002
30.534	23.066
30.409	23.130
30.279	23.184
30.145	23.229
30.008	23.273
29.868	23.320
29.728	23.376
29.589	23.446
29.450	23.527
29.312	23.610
29.173	23.686
29.033	23.745
28.891	23.780
28.748	23.785
28.605	23.767
28.464	23.731
28.327	23.683
28.196	23.630
28.072	23.575
27.951	23.520
27.831	23.465
27.711	23.412
27.587	23.361
27.457	23.313
27.319	23.265
27.173	23.218
27.014	23.172
26.843	23.124
26.666	23.073
26.498	23.019
26.357	22.957
26.260	22.887
26.222	22.805
26.244	22.710
26.296	22.597
26.345	22.462
26.357	22.301
26.304	22.111
26.195	21.903
26.054	21.693
25.905	21.494
25.773	21.325
25.683	21.198
25.660	21.132
