X	Y
217.000	103.000
218.045	101.258
219.862	100.001
221.952	99.222
223.829	98.909
225.356	98.926
226.768	99.001
228.294	98.888
229.972	98.559
231.764	98.071
233.636	97.472
235.561	96.740
237.516	95.832
239.479	94.701
241.447	93.354
243.462	91.894
245.570	90.437
247.814	89.098
250.228	87.970
252.775	87.035
255.396	86.237
258.033	85.520
260.629	84.831
263.135	84.109
265.525	83.290
267.776	82.308
269.862	81.094
271.766	79.643
273.504	78.236
275.100	77.243
276.581	77.023
278.020	77.488
279.553	77.963
281.304	77.804
283.240	77.011
285.243	75.929
287.195	74.908
289.027	74.181
290.804	73.642
292.618	73.119
294.553	72.464
296.604	71.681
298.734	70.846
300.901	70.035
303.067	69.301
305.196	68.588
307.256	67.812
309.212	66.887
311.060	65.782
312.877	64.620
314.758	63.551
316.794	62.723
318.948	62.151
321.009	61.674
322.753	61.115
324.027	60.338
325.127	59.485
326.534	58.805
328.434	58.358
330.560	57.911
332.606	57.206
334.311	56.042
335.753	54.641
337.168	53.427
338.785	52.810
340.685	52.810
342.777	53.018
344.964	53.004
347.156	52.456
349.299	51.554
351.349	50.609
353.260	49.932
355.040	49.709
356.840	49.793
358.829	49.986
361.139	50.126
363.687	50.244
366.324	50.428
368.903	50.771
371.278	51.359
373.380	52.225
375.205	53.354
376.750	54.727
378.016	56.322
379.002	58.078
379.712	59.916
380.148	61.760
380.318	63.588
380.237	65.446
379.921	67.385
379.384	69.427
378.641	71.530
377.704	73.646
376.589	75.721
375.319	77.675
373.935	79.373
372.478	80.683
371.004	81.506
369.714	82.166
368.901	83.254
368.614	84.962
368.326	86.542
367.453	87.155
366.041	86.971
364.738	87.127
363.917	88.278
363.333	90.007
362.672	91.780
361.770	93.297
360.632	94.519
359.273	95.430
357.714	96.098
355.985	96.675
354.119	97.313
352.211	98.091
350.423	99.011
348.922	100.067
347.778	101.226
346.750	102.355
345.533	103.305
343.993	104.024
342.255	104.610
340.463	105.173
338.689	105.775
336.890	106.392
335.010	106.997
333.008	107.566
330.902	108.101
328.726	108.612
326.512	109.108
324.298	109.603
322.137	110.116
320.079	110.668
318.174	111.280
316.395	111.929
314.620	112.547
312.726	113.063
310.646	113.460
308.470	113.874
306.312	114.462
304.284	115.380
302.413	116.600
300.597	117.837
298.726	118.784
296.703	119.166
294.585	119.086
292.543	118.922
290.749	119.054
289.269	119.680
287.905	120.520
286.417	121.228
284.688	121.642
282.771	121.865
280.729	122.021
278.620	122.205
276.469	122.448
274.303	122.765
272.144	123.174
270.006	123.671
267.888	124.220
265.788	124.788
263.705	125.341
261.621	125.872
259.508	126.394
257.338	126.919
255.097	127.445
252.855	127.880
250.719	128.095
248.793	127.963
247.118	127.436
245.544	126.694
243.888	125.957
242.024	125.404
240.000	125.072
237.905	124.970
235.826	125.099
233.844	125.297
232.041	125.275
230.495	124.739
229.192	123.619
227.982	122.171
226.704	120.681
225.306	119.329
223.974	118.085
222.918	116.887
222.224	115.651
221.591	114.206
220.652	112.371
219.323	110.112
217.988	107.641
217.071	105.192
217.000	103.000
