X	Y
219.000	117.000
220.839	116.278
223.145	116.255
225.778	116.742
228.599	117.552
231.470	118.497
234.255	119.393
236.904	120.146
239.467	120.764
241.996	121.259
244.546	121.643
247.170	121.930
249.916	122.132
252.782	122.273
255.736	122.382
258.746	122.489
261.778	122.621
264.799	122.809
267.777	123.081
270.691	123.442
273.544	123.849
276.340	124.256
279.084	124.616
281.780	124.883
284.435	125.009
287.046	124.983
289.595	124.879
292.063	124.781
294.430	124.777
296.676	124.953
298.788	125.370
300.801	125.936
302.767	126.496
304.740	126.898
306.772	126.990
308.866	126.761
310.961	126.389
312.991	126.069
314.891	125.993
316.614	126.301
318.215	126.883
319.777	127.549
321.382	128.113
323.083	128.470
324.866	128.691
326.710	128.863
328.593	129.076
330.496	129.391
332.401	129.820
334.291	130.374
336.149	131.061
337.956	131.882
339.690	132.813
341.329	133.825
342.849	134.887
344.240	135.973
345.553	137.061
346.860	138.132
348.236	139.169
349.699	140.174
351.133	141.202
352.405	142.313
353.384	143.568
354.057	144.975
354.553	146.480
355.008	148.025
355.503	149.561
355.908	151.072
356.042	152.548
355.739	153.975
354.981	155.298
353.844	156.435
352.406	157.305
350.771	157.915
349.077	158.384
347.467	158.839
346.066	159.397
344.823	160.052
343.578	160.725
342.182	161.337
340.652	161.893
339.145	162.458
337.823	163.103
336.750	163.847
335.737	164.584
334.556	165.188
333.091	165.598
331.400	165.847
329.550	165.978
327.606	166.033
325.604	166.039
323.557	166.022
321.480	166.002
319.390	166.004
317.301	166.031
315.235	166.061
313.211	166.063
311.250	166.012
309.362	165.884
307.507	165.681
305.623	165.418
303.650	165.106
301.536	164.759
299.320	164.379
297.100	163.963
294.974	163.508
293.040	163.012
291.356	162.475
289.810	161.921
288.244	161.376
286.502	160.867
284.501	160.408
282.298	159.991
279.964	159.605
277.571	159.237
275.190	158.877
272.863	158.513
270.595	158.134
268.385	157.728
266.233	157.283
264.140	156.788
262.101	156.231
260.110	155.605
258.159	154.900
256.239	154.106
254.343	153.224
252.445	152.297
250.521	151.384
248.541	150.545
246.478	149.840
244.334	149.278
242.164	148.764
240.029	148.196
237.990	147.469
236.107	146.485
234.389	145.270
232.789	143.987
231.260	142.799
229.754	141.874
228.246	141.271
226.765	140.793
225.349	140.200
224.035	139.278
222.853	138.027
221.829	136.557
220.990	134.979
220.340	133.399
219.794	131.888
219.247	130.509
218.603	129.316
217.895	128.186
217.259	126.861
216.831	125.090
216.718	122.896
216.994	120.596
217.730	118.521
219.000	117.000
