X	Y
350.629	118.857
351.951	117.155
353.750	115.851
355.898	114.888
358.268	114.209
360.728	113.722
363.133	113.236
365.337	112.548
367.196	111.453
368.648	109.870
369.914	108.122
371.272	106.614
372.990	105.741
375.092	105.529
377.343	105.621
379.494	105.638
381.334	105.253
382.925	104.503
384.454	103.585
386.092	102.682
387.872	101.817
389.749	100.919
391.677	99.915
393.616	98.786
395.547	97.632
397.454	96.568
399.321	95.710
401.160	95.087
403.028	94.610
404.983	94.181
407.063	93.715
409.225	93.174
411.403	92.536
413.529	91.779
415.562	90.907
417.523	89.996
419.445	89.134
421.359	88.409
423.288	87.840
425.244	87.362
427.235	86.903
429.270	86.407
431.346	85.889
433.457	85.391
435.596	84.954
437.739	84.590
439.822	84.242
441.774	83.847
443.532	83.343
445.150	82.742
446.771	82.108
448.532	81.506
450.436	80.955
452.370	80.434
454.212	79.922
455.904	79.414
457.537	78.951
459.227	78.582
461.029	78.317
462.837	78.059
464.524	77.695
466.019	77.172
467.473	76.631
469.082	76.259
470.916	76.144
472.834	76.208
474.675	76.358
476.303	76.449
477.668	76.190
478.744	75.287
479.674	73.946
480.740	72.794
482.183	72.357
483.966	72.461
485.948	72.669
488.000	72.589
490.097	72.179
492.265	71.569
494.527	70.887
496.899	70.243
499.345	69.665
501.818	69.154
504.270	68.713
506.653	68.342
508.932	68.012
511.077	67.673
513.063	67.274
514.868	66.775
516.524	66.180
518.082	65.516
519.593	64.808
521.107	64.054
522.672	63.243
524.324	62.377
525.997	61.556
527.586	60.924
529.006	60.598
530.391	60.468
531.997	60.295
533.960	59.940
536.139	59.501
538.354	59.110
540.433	58.890
542.363	58.824
544.294	58.749
546.384	58.497
548.730	57.974
551.219	57.346
553.693	56.836
555.992	56.666
557.996	56.998
559.819	57.587
561.672	58.026
563.759	57.919
566.082	57.250
568.423	56.416
570.553	55.837
572.257	55.905
573.612	56.520
574.968	57.114
576.612	57.220
578.454	56.975
580.281	56.709
581.928	56.702
583.529	56.902
585.344	57.123
587.543	57.232
589.775	57.420
591.501	57.994
592.213	59.241
592.159	60.955
592.331	62.446
593.601	63.109
595.858	63.036
598.575	62.608
601.228	62.207
603.360	62.175
604.947	62.610
606.139	63.508
607.090	64.823
607.971	66.319
608.960	67.709
610.156	68.801
611.390	69.746
612.435	70.769
613.243	72.002
614.036	73.438
615.044	75.060
616.218	76.842
617.300	78.758
618.029	80.781
618.200	82.881
617.892	85.011
617.270	87.122
616.497	89.161
615.693	91.098
614.893	92.936
614.119	94.685
613.376	96.337
612.507	97.750
611.276	98.710
609.595	99.114
608.062	99.358
607.464	99.974
608.053	101.110
609.376	102.404
610.980	103.552
612.609	104.608
614.056	105.718
615.114	107.010
615.565	108.461
615.186	109.960
613.919	111.409
612.109	112.734
610.165	113.866
608.475	114.747
607.121	115.495
605.921	116.383
604.704	117.643
603.425	119.213
602.092	120.909
600.713	122.545
599.297	124.031
597.858	125.425
596.407	126.803
594.962	128.229
593.567	129.701
592.278	131.184
591.151	132.644
590.133	134.073
589.020	135.499
587.595	136.952
585.739	138.428
583.556	139.834
581.182	141.068
578.756	142.025
576.402	142.622
574.161	142.916
572.035	143.031
570.026	143.087
568.129	143.197
566.302	143.437
564.498	143.875
562.674	144.569
560.818	145.495
558.935	146.594
557.031	147.804
555.106	149.052
553.143	150.227
551.123	151.210
549.029	151.884
546.854	152.205
544.616	152.283
542.336	152.249
540.035	152.233
537.739	152.286
535.477	152.338
533.279	152.309
531.176	152.119
529.167	151.763
527.223	151.320
525.312	150.869
523.421	150.469
521.621	150.066
520.005	149.577
518.636	148.953
517.380	148.358
516.027	148.037
514.453	148.033
512.658	148.119
510.648	148.055
508.476	147.779
506.244	147.446
504.059	147.222
502.017	147.259
500.085	147.529
498.141	147.878
496.062	148.152
493.785	148.266
491.387	148.306
488.968	148.382
486.626	148.604
484.421	149.029
482.299	149.566
480.187	150.093
478.010	150.492
475.738	150.706
473.414	150.794
471.091	150.828
468.821	150.877
466.633	150.980
464.521	151.117
462.472	151.262
460.474	151.394
458.504	151.514
456.525	151.643
454.504	151.802
452.421	151.990
450.297	152.155
448.156	152.237
446.025	152.182
443.965	152.052
442.069	152.031
440.431	152.303
439.038	152.931
437.615	153.669
435.851	154.231
433.654	154.492
431.230	154.552
428.804	154.524
426.602	154.524
424.674	154.578
422.838	154.602
420.901	154.503
418.729	154.225
416.400	153.840
414.035	153.442
411.754	153.128
409.629	152.969
407.575	152.951
405.472	153.045
403.202	153.217
400.723	153.413
398.092	153.540
395.373	153.504
392.633	153.213
389.930	152.599
387.288	151.754
384.720	150.833
382.238	149.992
379.852	149.385
377.570	149.060
375.389	148.828
373.305	148.473
371.315	147.780
369.405	146.742
367.552	145.609
365.732	144.648
363.929	144.083
362.194	143.751
360.614	143.282
359.265	142.346
358.093	140.997
356.978	139.494
355.808	138.084
354.589	136.790
353.406	135.480
352.346	134.025
351.447	132.353
350.709	130.442
350.130	128.271
349.732	125.863
349.609	123.371
349.871	120.976
350.629	118.857
