X	Y
354.743	139.886
356.085	139.663
357.731	139.861
359.617	140.341
361.681	140.963
363.857	141.590
366.090	142.096
368.366	142.466
370.697	142.736
373.091	142.942
375.561	143.120
378.116	143.307
380.767	143.540
383.519	143.845
386.361	144.218
389.278	144.643
392.253	145.107
395.270	145.593
398.314	146.088
401.368	146.576
404.417	147.043
407.445	147.475
410.453	147.870
413.453	148.231
416.454	148.563
419.468	148.873
422.506	149.163
425.578	149.439
428.696	149.707
431.871	149.970
435.104	150.232
438.369	150.495
441.637	150.758
444.877	151.020
448.059	151.283
451.152	151.547
454.125	151.810
456.949	152.074
459.593	152.339
462.064	152.609
464.409	152.895
466.681	153.207
468.931	153.557
471.210	153.956
473.570	154.414
476.055	154.941
478.659	155.534
481.352	156.185
484.105	156.885
486.889	157.626
489.674	158.400
492.431	159.199
495.131	160.014
497.751	160.835
500.295	161.648
502.775	162.435
505.201	163.179
507.584	163.864
509.935	164.474
512.265	164.991
514.583	165.405
516.890	165.742
519.183	166.041
521.461	166.336
523.720	166.667
525.960	167.071
528.177	167.582
530.362	168.202
532.501	168.898
534.575	169.633
536.570	170.372
538.470	171.080
540.258	171.722
541.940	172.308
543.545	172.895
545.100	173.541
546.635	174.306
548.174	175.244
549.694	176.365
551.135	177.645
552.438	179.059
553.542	180.583
554.389	182.191
554.935	183.850
555.161	185.514
555.047	187.137
554.573	188.673
553.732	190.080
552.586	191.333
551.222	192.413
549.723	193.302
548.176	193.982
546.646	194.470
545.172	194.856
543.785	195.236
542.517	195.707
541.377	196.333
540.304	197.078
539.222	197.888
538.057	198.712
536.788	199.526
535.470	200.353
534.159	201.218
532.916	202.148
531.772	203.165
530.679	204.294
529.573	205.557
528.389	206.976
527.065	208.574
525.580	210.330
523.971	212.160
522.282	213.974
520.557	215.681
518.841	217.193
517.177	218.419
515.601	219.299
514.108	219.921
512.681	220.424
511.302	220.947
509.953	221.624
508.621	222.483
507.301	223.450
505.985	224.444
504.666	225.385
503.333	226.208
501.957	226.906
500.502	227.488
498.935	227.959
497.226	228.326
495.385	228.589
493.461	228.743
491.498	228.782
489.543	228.701
487.643	228.493
485.813	228.173
484.018	227.788
482.217	227.384
480.373	227.012
478.444	226.720
476.405	226.534
474.276	226.408
472.082	226.287
469.849	226.112
467.604	225.826
465.374	225.372
463.180	224.709
461.022	223.864
458.896	222.880
456.799	221.800
454.725	220.668
452.670	219.527
450.631	218.420
448.612	217.369
446.626	216.380
444.686	215.455
442.805	214.596
440.998	213.809
439.274	213.094
437.623	212.426
436.009	211.760
434.399	211.046
432.757	210.236
431.052	209.287
429.270	208.209
427.422	207.064
425.515	205.913
423.560	204.819
421.565	203.845
419.539	203.050
417.507	202.436
415.504	201.950
413.569	201.533
411.738	201.130
410.049	200.683
408.520	200.150
407.096	199.543
405.701	198.889
404.262	198.213
402.710	197.541
401.056	196.881
399.374	196.225
397.738	195.568
396.223	194.904
394.890	194.230
393.675	193.576
392.453	192.991
391.100	192.520
389.509	192.204
387.710	192.028
385.785	191.957
383.817	191.956
381.888	191.988
380.076	192.017
378.390	191.992
376.797	191.855
375.262	191.544
373.749	191.001
372.261	190.196
370.898	189.181
369.780	188.025
369.022	186.793
368.718	185.548
368.745	184.292
368.880	183.004
368.898	181.660
368.648	180.261
368.143	178.862
367.413	177.521
366.493	176.299
365.415	175.236
364.219	174.316
362.945	173.518
361.634	172.817
360.328	172.182
359.073	171.544
357.921	170.823
356.919	169.941
356.089	168.844
355.373	167.548
354.699	166.084
353.994	164.480
353.198	162.769
352.346	161.012
351.519	159.281
350.796	157.648
350.259	156.187
349.978	154.952
349.935	153.856
350.073	152.741
350.336	151.457
350.684	149.970
351.093	148.342
351.539	146.638
351.998	144.922
352.465	143.268
353.015	141.793
353.742	140.623
354.743	139.886
