X	Y
32.843	14.853
32.916	14.728
33.068	14.609
33.253	14.493
33.423	14.376
33.534	14.257
33.557	14.135
33.536	14.012
33.526	13.894
33.574	13.786
33.683	13.683
33.830	13.580
33.996	13.471
34.159	13.349
34.306	13.213
34.445	13.061
34.582	12.897
34.724	12.722
34.879	12.537
35.054	12.345
35.250	12.147
35.462	11.947
35.680	11.749
35.897	11.555
36.104	11.370
36.295	11.198
36.459	11.041
36.593	10.902
36.705	10.780
36.808	10.672
36.914	10.576
37.036	10.487
37.178	10.402
37.334	10.313
37.502	10.215
37.675	10.101
37.851	9.964
38.028	9.807
38.207	9.634
38.389	9.452
38.576	9.267
38.770	9.085
38.970	8.912
39.179	8.754
39.396	8.609
39.621	8.472
39.855	8.338
40.096	8.203
40.344	8.063
40.598	7.911
40.860	7.745
41.127	7.561
41.397	7.366
41.668	7.165
41.939	6.963
42.206	6.767
42.467	6.582
42.720	6.414
42.963	6.267
43.194	6.148
43.413	6.054
43.624	5.976
43.829	5.908
44.031	5.841
44.233	5.768
44.438	5.681
44.646	5.581
44.860	5.472
45.080	5.360
45.306	5.249
45.539	5.144
45.781	5.050
46.030	4.972
46.287	4.909
46.549	4.859
46.814	4.821
47.080	4.792
47.345	4.771
47.608	4.757
47.866	4.747
48.120	4.743
48.371	4.745
48.618	4.757
48.863	4.779
49.105	4.813
49.347	4.860
49.585	4.922
49.812	4.997
50.019	5.083
50.197	5.180
50.337	5.286
50.431	5.398
50.486	5.518
50.525	5.648
50.570	5.789
50.643	5.944
50.740	6.110
50.840	6.284
50.925	6.463
50.975	6.644
50.972	6.823
50.920	7.000
50.844	7.180
50.764	7.366
50.704	7.561
50.686	7.769
50.716	7.990
50.774	8.214
50.837	8.433
50.884	8.637
50.892	8.819
50.842	8.970
50.750	9.096
50.654	9.211
50.594	9.330
50.602	9.465
50.672	9.618
50.777	9.783
50.886	9.954
50.973	10.126
51.013	10.294
51.014	10.459
50.997	10.627
50.981	10.800
50.985	10.983
51.016	11.176
51.058	11.374
51.094	11.571
51.105	11.758
51.072	11.931
50.988	12.086
50.879	12.230
50.773	12.371
50.701	12.519
50.690	12.681
50.742	12.858
50.827	13.042
50.913	13.225
50.971	13.398
50.972	13.553
50.914	13.692
50.825	13.824
50.735	13.961
50.674	14.112
50.653	14.281
50.651	14.460
50.645	14.636
50.611	14.801
50.527	14.944
50.403	15.069
50.269	15.188
50.156	15.313
50.095	15.458
50.103	15.629
50.161	15.819
50.245	16.017
50.329	16.213
50.387	16.396
50.398	16.558
50.362	16.697
50.289	16.816
50.188	16.919
50.067	17.008
49.933	17.092
49.792	17.177
49.649	17.273
49.510	17.386
49.382	17.519
49.271	17.672
49.184	17.842
49.127	18.031
49.106	18.235
49.107	18.441
49.107	18.630
49.083	18.783
49.010	18.878
48.875	18.907
48.690	18.887
48.472	18.843
48.240	18.797
48.010	18.773
47.800	18.794
47.610	18.857
47.432	18.944
47.259	19.039
47.082	19.125
46.894	19.183
46.692	19.208
46.480	19.208
46.264	19.194
46.050	19.177
45.842	19.167
45.647	19.173
45.463	19.193
45.285	19.220
45.111	19.246
44.935	19.263
44.754	19.264
44.568	19.251
44.378	19.228
44.184	19.201
43.989	19.175
43.793	19.153
43.598	19.140
43.411	19.136
43.234	19.143
43.073	19.161
42.930	19.191
42.799	19.226
42.671	19.254
42.534	19.265
42.383	19.251
42.218	19.222
42.042	19.191
41.860	19.170
41.675	19.170
41.488	19.192
41.304	19.224
41.124	19.253
40.951	19.267
40.787	19.253
40.633	19.218
40.488	19.182
40.350	19.164
40.220	19.183
40.093	19.236
39.965	19.300
39.832	19.355
39.689	19.380
39.539	19.372
39.389	19.337
39.245	19.279
39.111	19.205
38.986	19.122
38.865	19.043
38.743	18.978
38.615	18.936
38.478	18.913
38.329	18.896
38.164	18.877
37.982	18.844
37.787	18.802
37.589	18.757
37.395	18.715
37.215	18.684
37.055	18.669
36.911	18.668
36.771	18.673
36.622	18.677
36.453	18.671
36.263	18.653
36.059	18.624
35.851	18.582
35.644	18.529
35.446	18.465
35.262	18.390
35.086	18.306
34.913	18.214
34.736	18.116
34.551	18.013
34.353	17.906
34.153	17.795
33.972	17.682
33.828	17.565
33.740	17.445
33.725	17.322
33.775	17.194
33.864	17.057
33.966	16.906
34.055	16.740
34.113	16.558
34.132	16.365
34.103	16.168
34.021	15.972
33.875	15.783
33.673	15.604
33.442	15.435
33.212	15.276
33.015	15.126
32.882	14.985
32.843	14.853
