X	Y
31.863	57.549
31.917	57.334
31.989	57.129
32.078	56.936
32.185	56.759
32.310	56.602
32.454	56.468
32.616	56.359
32.793	56.269
32.980	56.192
33.173	56.120
33.367	56.048
33.557	55.968
33.742	55.876
33.925	55.775
34.108	55.672
34.295	55.571
34.491	55.477
34.698	55.395
34.919	55.329
35.152	55.281
35.394	55.249
35.640	55.235
35.887	55.238
36.132	55.257
36.370	55.294
36.600	55.346
36.822	55.414
37.038	55.494
37.251	55.586
37.461	55.686
37.673	55.793
37.886	55.905
38.104	56.020
38.323	56.135
38.541	56.245
38.758	56.349
38.971	56.443
39.179	56.524
39.378	56.588
39.570	56.637
39.754	56.679
39.931	56.722
40.104	56.777
40.273	56.851
40.438	56.952
40.600	57.076
40.756	57.215
40.905	57.362
41.046	57.509
41.178	57.648
41.299	57.775
41.414	57.892
41.528	58.006
41.648	58.122
41.777	58.247
41.919	58.384
42.071	58.534
42.228	58.696
42.386	58.867
42.541	59.046
42.687	59.233
42.820	59.425
42.940	59.622
43.050	59.821
43.152	60.021
43.249	60.219
43.344	60.414
43.440	60.604
43.537	60.788
43.637	60.967
43.737	61.145
43.837	61.322
43.935	61.502
44.029	61.686
44.119	61.877
44.202	62.072
44.276	62.270
44.337	62.468
44.384	62.667
44.414	62.862
44.426	63.054
44.431	63.241
44.437	63.424
44.455	63.604
44.495	63.779
44.565	63.951
44.660	64.120
44.765	64.290
44.867	64.462
44.951	64.639
45.003	64.822
45.014	65.012
44.988	65.204
44.931	65.391
44.848	65.569
44.746	65.731
44.632	65.871
44.517	65.994
44.416	66.114
44.343	66.241
44.313	66.389
44.333	66.564
44.386	66.759
44.450	66.963
44.502	67.166
44.521	67.356
44.486	67.523
44.391	67.664
44.251	67.783
44.080	67.883
43.893	67.970
43.705	68.047
43.526	68.119
43.357	68.189
43.193	68.260
43.033	68.334
42.874	68.415
42.713	68.505
42.551	68.604
42.390	68.710
42.231	68.821
42.074	68.934
41.923	69.049
41.777	69.160
41.634	69.260
41.493	69.342
41.352	69.396
41.209	69.416
41.063	69.404
40.912	69.374
40.756	69.339
40.594	69.314
40.425	69.311
40.252	69.331
40.077	69.370
39.903	69.426
39.733	69.497
39.569	69.579
39.409	69.667
39.248	69.752
39.083	69.826
38.909	69.884
38.722	69.916
38.523	69.923
38.317	69.910
38.109	69.884
37.904	69.850
37.708	69.815
37.526	69.783
37.354	69.755
37.188	69.724
37.021	69.687
36.848	69.636
36.662	69.569
36.464	69.489
36.263	69.410
36.065	69.345
35.879	69.307
35.711	69.309
35.567	69.360
35.442	69.435
35.325	69.498
35.206	69.512
35.077	69.450
34.941	69.337
34.805	69.218
34.679	69.133
34.567	69.126
34.472	69.195
34.385	69.279
34.298	69.314
34.203	69.257
34.102	69.121
33.994	68.925
33.881	68.688
33.763	68.429
33.642	68.168
33.518	67.920
33.395	67.689
33.277	67.471
33.168	67.262
33.073	67.061
32.996	66.863
32.941	66.665
32.910	66.465
32.895	66.266
32.889	66.069
32.881	65.878
32.863	65.694
32.825	65.522
32.765	65.359
32.684	65.202
32.586	65.045
32.476	64.883
32.356	64.710
32.231	64.524
32.105	64.325
31.985	64.115
31.875	63.896
31.781	63.671
31.709	63.442
31.663	63.212
31.647	62.982
31.651	62.755
31.666	62.532
31.681	62.315
31.687	62.105
31.673	61.905
31.632	61.716
31.566	61.536
31.487	61.361
31.403	61.189
31.324	61.016
31.261	60.840
31.221	60.658
31.202	60.472
31.204	60.286
31.227	60.101
31.269	59.920
31.329	59.745
31.402	59.574
31.481	59.402
31.559	59.227
31.629	59.045
31.684	58.852
31.724	58.648
31.752	58.434
31.774	58.215
31.796	57.992
31.824	57.769
31.863	57.549
