X,Y
796.000,1287.000
796.535,1286.132
797.347,1285.292
798.421,1284.477
799.737,1283.687
801.277,1282.921
803.026,1282.176
804.963,1281.452
807.073,1280.747
809.336,1280.060
811.736,1279.389
814.254,1278.734
816.873,1278.094
819.575,1277.465
822.342,1276.849
825.157,1276.242
828.002,1275.644
830.858,1275.053
833.709,1274.469
836.537,1273.890
839.329,1273.314
842.087,1272.743
844.813,1272.177
847.510,1271.617
850.181,1271.062
852.829,1270.515
855.456,1269.974
858.064,1269.441
860.658,1268.917
863.240,1268.401
865.812,1267.895
868.377,1267.398
870.938,1266.912
873.497,1266.437
876.059,1265.974
878.624,1265.522
881.197,1265.083
883.779,1264.658
886.374,1264.246
888.984,1263.849
891.612,1263.466
894.261,1263.099
896.933,1262.748
899.628,1262.412
902.344,1262.092
905.078,1261.786
907.828,1261.495
910.593,1261.217
913.369,1260.952
916.155,1260.699
918.949,1260.459
921.748,1260.230
924.550,1260.013
927.353,1259.805
930.155,1259.608
932.954,1259.420
935.748,1259.241
938.533,1259.070
941.309,1258.907
944.073,1258.751
946.822,1258.602
949.555,1258.460
952.270,1258.323
954.964,1258.191
957.634,1258.064
960.280,1257.941
962.901,1257.822
965.497,1257.706
968.072,1257.594
970.625,1257.485
973.159,1257.379
975.676,1257.276
978.177,1257.175
980.663,1257.078
983.136,1256.982
985.598,1256.889
988.050,1256.797
990.494,1256.708
992.931,1256.620
995.363,1256.534
997.791,1256.448
1000.218,1256.364
1002.644,1256.281
1005.071,1256.199
1007.501,1256.117
1009.935,1256.036
1012.375,1255.954
1014.820,1255.874
1017.267,1255.798
1019.712,1255.727
1022.153,1255.663
1024.587,1255.609
1027.010,1255.567
1029.421,1255.539
1031.815,1255.527
1034.190,1255.532
1036.542,1255.558
1038.869,1255.605
1041.168,1255.677
1043.435,1255.775
1045.668,1255.902
1047.863,1256.059
1050.018,1256.249
1052.130,1256.473
1054.195,1256.734
1056.210,1257.033
1058.172,1257.375
1060.076,1257.761
1061.916,1258.197
1063.685,1258.688
1065.379,1259.236
1066.992,1259.847
1068.518,1260.525
1069.951,1261.275
1071.285,1262.100
1072.515,1263.004
1073.635,1263.993
1074.640,1265.070
1075.524,1266.240
1076.280,1267.507
1076.909,1268.869
1077.413,1270.315
1077.798,1271.834
1078.069,1273.416
1078.230,1275.049
1078.285,1276.723
1078.240,1278.427
1078.100,1280.149
1077.868,1281.879
1077.550,1283.605
1077.151,1285.317
1076.674,1287.004
1076.125,1288.655
1075.509,1290.260
1074.827,1291.818
1074.080,1293.332
1073.271,1294.807
1072.400,1296.245
1071.469,1297.650
1070.479,1299.025
1069.431,1300.373
1068.326,1301.699
1067.167,1303.005
1065.954,1304.295
1064.688,1305.572
1063.372,1306.839
1062.005,1308.101
1060.590,1309.360
1059.128,1310.618
1057.621,1311.872
1056.071,1313.118
1054.480,1314.353
1052.850,1315.575
1051.183,1316.780
1049.481,1317.965
1047.747,1319.126
1045.981,1320.261
1044.187,1321.366
1042.366,1322.438
1040.521,1323.474
1038.653,1324.471
1036.764,1325.426
1034.856,1326.335
1032.932,1327.195
1030.993,1328.003
1029.042,1328.757
1027.083,1329.463
1025.118,1330.125
1023.153,1330.751
1021.190,1331.346
1019.234,1331.916
1017.289,1332.468
1015.359,1333.008
1013.446,1333.542
1011.556,1334.075
1009.692,1334.615
1007.858,1335.167
1006.058,1335.737
1004.296,1336.332
1002.575,1336.957
1000.899,1337.619
999.273,1338.323
997.694,1339.072
996.157,1339.860
994.654,1340.683
993.177,1341.538
991.721,1342.419
990.277,1343.322
988.840,1344.242
987.400,1345.176
985.953,1346.119
984.490,1347.066
983.004,1348.013
981.489,1348.955
979.937,1349.889
978.342,1350.809
976.696,1351.711
975.000,1352.594
973.258,1353.453
971.472,1354.288
969.645,1355.096
967.780,1355.875
965.881,1356.623
963.950,1357.337
961.991,1358.016
960.006,1358.657
957.999,1359.259
955.972,1359.818
953.929,1360.334
951.873,1360.803
949.807,1361.224
947.733,1361.594
945.656,1361.911
943.577,1362.174
941.498,1362.383
939.419,1362.542
937.338,1362.654
935.256,1362.721
933.173,1362.748
931.087,1362.736
928.999,1362.690
926.909,1362.611
924.815,1362.505
922.718,1362.372
920.617,1362.218
918.513,1362.043
916.403,1361.853
914.289,1361.649
912.170,1361.436
910.046,1361.215
907.915,1360.991
905.780,1360.765
903.642,1360.535
901.506,1360.300
899.376,1360.056
897.256,1359.802
895.149,1359.534
893.060,1359.250
890.992,1358.948
888.950,1358.625
886.938,1358.279
884.958,1357.908
883.016,1357.508
881.116,1357.078
879.260,1356.614
877.453,1356.115
875.700,1355.578
874.003,1355.001
872.365,1354.381
870.781,1353.721
869.244,1353.021
867.747,1352.283
866.282,1351.511
864.843,1350.704
863.422,1349.866
862.013,1348.998
860.608,1348.103
859.200,1347.181
857.783,1346.235
856.348,1345.266
854.890,1344.277
853.401,1343.270
851.875,1342.246
850.312,1341.208
848.719,1340.157
847.101,1339.096
845.462,1338.028
843.809,1336.954
842.146,1335.877
840.480,1334.800
838.814,1333.724
837.155,1332.651
835.508,1331.585
833.878,1330.527
832.270,1329.480
830.690,1328.446
829.144,1327.427
827.635,1326.425
826.171,1325.443
824.750,1324.481
823.371,1323.540
822.031,1322.618
820.726,1321.716
819.454,1320.833
818.213,1319.969
816.998,1319.123
815.808,1318.295
814.640,1317.485
813.490,1316.692
812.355,1315.916
811.234,1315.157
810.123,1314.414
809.030,1313.680
807.965,1312.949
806.938,1312.213
805.958,1311.464
805.037,1310.695
804.185,1309.898
803.412,1309.066
802.727,1308.190
802.142,1307.264
801.664,1306.280
801.282,1305.242
800.974,1304.159
800.718,1303.040
800.492,1301.895
800.273,1300.731
800.040,1299.558
799.770,1298.385
799.441,1297.222
799.031,1296.076
798.527,1294.956
797.960,1293.864
797.375,1292.799
796.817,1291.762
796.331,1290.753
795.961,1289.773
795.753,1288.820
795.751,1287.896
796.000,1287.000
