X	Y
781.000	420.000
782.128	418.479
783.524	416.923
785.180	415.332
787.086	413.709
789.231	412.056
791.607	410.376
794.204	408.669
797.011	406.938
800.020	405.184
803.221	403.411
806.604	401.620
810.159	399.813
813.878	397.991
817.749	396.158
821.765	394.314
825.914	392.462
830.187	390.604
834.576	388.742
839.069	386.878
843.658	385.014
848.332	383.152
853.083	381.293
857.900	379.441
862.774	377.596
867.696	375.761
872.655	373.938
877.642	372.129
882.648	370.336
887.673	368.559
892.716	366.799
897.776	365.056
902.855	363.331
907.953	361.625
913.070	359.938
918.205	358.270
923.360	356.622
928.534	354.994
933.727	353.388
938.940	351.802
944.173	350.239
949.426	348.698
954.700	347.180
959.993	345.685
965.308	344.214
970.643	342.767
975.999	341.345
981.377	339.949
986.775	338.578
992.196	337.234
997.638	335.917
1003.102	334.626
1008.588	333.364
1014.096	332.130
1019.627	330.925
1025.180	329.749
1030.757	328.603
1036.356	327.487
1041.979	326.402
1047.625	325.348
1053.294	324.326
1058.988	323.336
1064.705	322.378
1070.447	321.454
1076.213	320.564
1082.003	319.708
1087.817	318.886
1093.652	318.097
1099.507	317.340
1105.377	316.614
1111.262	315.917
1117.158	315.249
1123.064	314.608
1128.976	313.993
1134.892	313.403
1140.810	312.837
1146.728	312.294
1152.642	311.772
1158.551	311.271
1164.452	310.789
1170.342	310.325
1176.219	309.879
1182.081	309.448
1187.926	309.032
1193.749	308.629
1199.551	308.240
1205.327	307.861
1211.075	307.492
1216.794	307.133
1222.480	306.782
1228.131	306.437
1233.744	306.098
1239.318	305.763
1244.850	305.432
1250.337	305.103
1255.776	304.775
1261.166	304.447
1266.504	304.117
1271.788	303.786
1277.014	303.450
1282.181	303.111
1287.286	302.765
1292.327	302.412
1297.301	302.052
1302.207	301.682
1307.043	301.307
1311.811	300.930
1316.512	300.554
1321.146	300.184
1325.714	299.824
1330.217	299.478
1334.656	299.149
1339.031	298.841
1343.343	298.559
1347.593	298.306
1351.781	298.086
1355.909	297.903
1359.977	297.762
1363.985	297.665
1367.935	297.617
1371.828	297.622
1375.663	297.683
1379.442	297.806
1383.166	297.992
1386.835	298.248
1390.450	298.575
1394.012	298.979
1397.521	299.463
1400.979	300.031
1404.386	300.688
1407.742	301.436
1411.049	302.280
1414.306	303.221
1417.512	304.259
1420.663	305.391
1423.759	306.616
1426.797	307.931
1429.775	309.335
1432.691	310.825
1435.542	312.401
1438.328	314.060
1441.045	315.800
1443.693	317.619
1446.267	319.516
1448.768	321.489
1451.191	323.536
1453.537	325.654
1455.801	327.843
1457.983	330.100
1460.080	332.424
1462.090	334.812
1464.012	337.263
1465.842	339.775
1467.580	342.346
1469.221	344.974
1470.763	347.658
1472.203	350.396
1473.538	353.188
1474.765	356.030
1475.880	358.921
