X	Y
28.494	30.238
28.522	30.156
28.556	30.072
28.596	29.986
28.642	29.898
28.693	29.808
28.750	29.717
28.813	29.624
28.880	29.529
28.952	29.433
29.029	29.336
29.111	29.238
29.197	29.138
29.287	29.038
29.381	28.937
29.479	28.835
29.580	28.733
29.685	28.630
29.793	28.527
29.904	28.424
30.018	28.320
30.134	28.217
30.253	28.114
30.374	28.010
30.498	27.908
30.623	27.805
30.750	27.703
30.878	27.602
31.008	27.502
31.139	27.402
31.271	27.303
31.404	27.205
31.539	27.107
31.674	27.010
31.810	26.914
31.947	26.818
32.084	26.723
32.222	26.629
32.361	26.534
32.500	26.441
32.639	26.348
32.779	26.255
32.918	26.163
33.058	26.071
33.198	25.979
33.338	25.888
33.478	25.797
33.618	25.707
33.758	25.616
33.897	25.526
34.035	25.436
34.174	25.346
34.311	25.257
34.448	25.167
34.584	25.077
34.720	24.988
34.854	24.898
34.988	24.809
35.120	24.719
35.252	24.630
35.382	24.540
35.511	24.450
35.638	24.360
35.764	24.270
35.889	24.180
36.013	24.090
36.136	23.999
36.258	23.909
36.380	23.819
36.501	23.729
36.621	23.639
36.741	23.549
36.861	23.459
36.980	23.370
37.099	23.281
37.219	23.192
37.338	23.103
37.458	23.015
37.578	22.927
37.699	22.839
37.820	22.752
37.942	22.665
38.065	22.579
38.188	22.494
38.313	22.409
38.439	22.325
38.566	22.241
38.694	22.158
38.824	22.076
38.955	21.994
39.088	21.913
39.223	21.833
39.360	21.754
39.499	21.676
39.639	21.599
39.782	21.522
39.926	21.447
40.072	21.372
40.219	21.299
40.367	21.226
40.517	21.154
40.668	21.084
40.819	21.014
40.971	20.945
41.124	20.877
41.277	20.810
41.430	20.745
41.583	20.680
41.736	20.616
41.890	20.553
42.042	20.491
42.195	20.431
42.347	20.371
42.498	20.313
42.648	20.255
42.797	20.199
42.945	20.143
43.091	20.089
43.236	20.036
43.380	19.984
43.522	19.933
43.662	19.883
43.799	19.835
43.935	19.787
44.068	19.741
44.199	19.696
44.328	19.652
44.453	19.609
44.577	19.568
44.698	19.528
44.817	19.489
44.934	19.451
45.050	19.415
45.163	19.381
45.276	19.348
45.387	19.317
45.497	19.287
45.606	19.259
45.714	19.232
45.821	19.208
45.928	19.185
46.034	19.164
46.141	19.145
46.247	19.128
46.353	19.112
46.459	19.099
46.566	19.088
46.673	19.079
46.782	19.073
46.890	19.068
47.000	19.066
47.111	19.066
47.221	19.069
47.332	19.074
47.443	19.082
47.553	19.093
47.662	19.107
47.770	19.124
47.876	19.145
47.981	19.169
48.084	19.196
48.184	19.227
48.281	19.262
48.376	19.301
48.467	19.344
48.555	19.391
48.638	19.442
48.718	19.498
48.793	19.559
48.863	19.624
48.927	19.694
48.987	19.768
49.041	19.848
49.090	19.932
49.135	20.019
49.174	20.111
49.209	20.206
49.240	20.305
49.266	20.407
49.289	20.511
49.307	20.618
49.322	20.727
49.333	20.838
49.341	20.951
49.345	21.066
49.347	21.181
49.346	21.298
49.342	21.415
49.335	21.532
49.326	21.650
49.315	21.767
49.301	21.884
49.286	22.001
49.269	22.116
49.251	22.231
49.230	22.345
49.208	22.459
49.184	22.572
49.159	22.684
49.132	22.796
49.103	22.908
49.073	23.020
49.041	23.131
49.008	23.243
48.973	23.354
48.936	23.466
48.898	23.578
48.858	23.689
48.817	23.802
48.775	23.914
48.731	24.028
48.685	24.141
48.639	24.256
48.590	24.371
48.541	24.486
48.490	24.603
48.438	24.721
48.384	24.839
48.329	24.959
48.273	25.080
48.216	25.201
48.158	25.323
48.098	25.446
48.038	25.570
47.976	25.695
47.914	25.820
47.851	25.946
47.787	26.072
47.722	26.199
47.656	26.326
47.590	26.454
47.523	26.582
47.456	26.710
47.388	26.839
47.319	26.968
47.251	27.096
47.181	27.225
47.112	27.354
47.042	27.483
46.972	27.612
46.902	27.741
46.832	27.870
46.761	27.998
46.691	28.126
46.621	28.254
46.550	28.382
46.480	28.509
46.410	28.635
46.341	28.761
46.271	28.887
46.202	29.012
46.133	29.137
46.065	29.260
45.997	29.384
45.929	29.506
45.862	29.628
45.795	29.749
45.729	29.869
45.664	29.989
45.599	30.108
45.535	30.225
45.472	30.342
45.409	30.458
45.347	30.573
45.287	30.687
45.227	30.800
45.167	30.912
45.109	31.023
45.052	31.133
44.996	31.242
44.941	31.349
44.887	31.455
44.834	31.560
44.782	31.664
44.732	31.766
44.683	31.867
44.635	31.966
44.587	32.064
44.541	32.161
44.496	32.255
44.451	32.348
44.407	32.438
44.364	32.527
44.321	32.614
44.278	32.698
44.236	32.781
44.195	32.861
44.153	32.938
44.112	33.013
44.071	33.085
44.030	33.155
43.988	33.222
43.947	33.286
43.905	33.347
43.863	33.405
43.821	33.460
43.778	33.513
43.734	33.563
43.689	33.611
43.642	33.657
43.594	33.701
43.545	33.742
43.493	33.782
43.440	33.821
43.384	33.858
43.326	33.894
43.265	33.928
43.202	33.962
43.136	33.994
43.067	34.026
42.995	34.056
42.920	34.085
42.842	34.113
42.761	34.139
42.678	34.164
42.591	34.187
42.502	34.208
42.410	34.228
42.315	34.246
42.217	34.261
42.116	34.275
42.012	34.287
41.905	34.296
41.796	34.303
41.683	34.308
41.568	34.310
41.449	34.310
41.328	34.307
41.204	34.302
41.077	34.294
40.948	34.284
40.817	34.272
40.685	34.258
40.550	34.241
40.414	34.223
40.276	34.203
40.137	34.180
39.997	34.157
39.856	34.131
39.715	34.104
39.572	34.076
39.430	34.046
39.287	34.015
39.145	33.983
39.002	33.949
38.860	33.915
38.719	33.879
38.578	33.843
38.439	33.806
38.300	33.768
38.162	33.729
38.026	33.690
37.892	33.651
37.759	33.611
37.629	33.570
37.500	33.530
37.374	33.489
37.249	33.449
37.126	33.408
37.005	33.366
36.884	33.325
36.765	33.284
36.647	33.242
36.530	33.200
36.413	33.158
36.296	33.116
36.180	33.074
36.064	33.032
35.948	32.990
35.831	32.947
35.714	32.905
35.597	32.862
35.478	32.820
35.359	32.777
35.238	32.735
35.117	32.692
34.993	32.649
34.868	32.607
34.741	32.564
34.612	32.522
34.481	32.479
34.347	32.437
34.212	32.394
34.074	32.352
33.934	32.310
33.792	32.268
33.649	32.227
33.505	32.186
33.360	32.145
33.214	32.104
33.068	32.065
32.922	32.025
32.775	31.987
32.629	31.949
32.484	31.912
32.339	31.875
32.195	31.840
32.052	31.805
31.910	31.772
31.771	31.739
31.633	31.707
31.497	31.677
31.364	31.648
31.233	31.619
31.105	31.593
30.980	31.567
30.859	31.543
30.741	31.521
30.627	31.500
30.516	31.480
30.410	31.462
30.309	31.446
30.211	31.431
30.117	31.417
30.027	31.404
29.941	31.393
29.857	31.382
29.777	31.372
29.700	31.362
29.625	31.353
29.553	31.344
29.484	31.335
29.417	31.326
29.351	31.316
29.288	31.307
29.226	31.296
29.165	31.285
29.106	31.273
29.049	31.261
28.993	31.246
28.938	31.230
28.886	31.212
28.836	31.191
28.788	31.168
28.742	31.142
28.699	31.112
28.658	31.079
28.620	31.042
28.585	31.001
28.554	30.956
28.526	30.908
28.501	30.855
28.481	30.799
28.465	30.739
28.453	30.676
28.446	30.610
28.445	30.541
28.448	30.469
28.458	30.394
28.473	30.317
28.494	30.238
