X,Y
6.865,3.591
6.872,3.586
6.880,3.581
6.888,3.577
6.897,3.573
6.907,3.569
6.917,3.566
6.928,3.563
6.940,3.561
6.952,3.559
6.964,3.557
6.977,3.556
6.991,3.554
7.005,3.553
7.020,3.553
7.034,3.552
7.050,3.552
7.066,3.552
7.082,3.553
7.098,3.553
7.115,3.554
7.132,3.555
7.150,3.556
7.168,3.557
7.186,3.559
7.204,3.560
7.223,3.562
7.242,3.564
7.261,3.566
7.280,3.568
7.299,3.570
7.319,3.572
7.338,3.574
7.358,3.577
7.378,3.579
7.398,3.581
7.418,3.584
7.438,3.586
7.458,3.589
7.478,3.591
7.498,3.593
7.518,3.596
7.538,3.598
7.558,3.600
7.578,3.602
7.598,3.604
7.618,3.606
7.637,3.608
7.657,3.610
7.676,3.612
7.696,3.614
7.715,3.615
7.735,3.617
7.754,3.619
7.773,3.620
7.792,3.622
7.811,3.623
7.831,3.625
7.850,3.626
7.869,3.628
7.888,3.629
7.906,3.631
7.925,3.632
7.944,3.633
7.963,3.635
7.982,3.636
8.000,3.637
8.019,3.639
8.038,3.640
8.056,3.641
8.075,3.642
8.093,3.644
8.112,3.645
8.130,3.646
8.149,3.648
8.167,3.649
8.186,3.650
8.204,3.652
8.222,3.653
8.241,3.654
8.259,3.656
8.277,3.657
8.296,3.659
8.314,3.660
8.332,3.662
8.351,3.663
8.369,3.665
8.387,3.667
8.406,3.668
8.424,3.670
8.442,3.672
8.461,3.674
8.479,3.676
8.497,3.678
8.516,3.680
8.534,3.682
8.552,3.684
8.571,3.686
8.589,3.688
8.607,3.691
8.626,3.693
8.644,3.695
8.662,3.698
8.681,3.700
8.699,3.703
8.717,3.705
8.736,3.708
8.754,3.710
8.772,3.713
8.790,3.716
8.809,3.719
8.827,3.721
8.845,3.724
8.864,3.727
8.882,3.730
8.900,3.733
8.918,3.736
8.936,3.739
8.954,3.742
8.973,3.745
8.991,3.748
9.009,3.751
9.027,3.754
9.045,3.757
9.063,3.761
9.081,3.764
9.099,3.767
9.117,3.770
9.135,3.774
9.153,3.777
9.171,3.780
9.188,3.783
9.206,3.787
9.224,3.790
9.242,3.793
9.259,3.797
9.277,3.800
9.295,3.804
9.312,3.807
9.330,3.810
9.347,3.814
9.365,3.817
9.382,3.821
9.400,3.824
9.417,3.828
9.434,3.831
9.452,3.835
9.469,3.838
9.486,3.842
9.503,3.845
9.520,3.849
9.537,3.852
9.554,3.856
9.572,3.859
9.589,3.863
9.606,3.867
9.622,3.870
9.639,3.874
9.656,3.878
9.673,3.882
9.690,3.885
9.707,3.889
9.724,3.893
9.741,3.897
9.757,3.901
9.774,3.905
9.791,3.909
9.808,3.913
9.824,3.917
9.841,3.921
9.858,3.926
9.874,3.930
9.891,3.934
9.908,3.938
9.924,3.943
9.941,3.947
9.958,3.952
9.974,3.956
9.991,3.961
10.008,3.966
10.024,3.970
10.041,3.975
10.058,3.980
10.074,3.985
10.091,3.990
10.108,3.995
10.124,4.000
10.141,4.005
10.158,4.011
10.174,4.016
10.191,4.021
10.208,4.027
10.224,4.033
10.241,4.038
10.258,4.044
10.274,4.050
10.291,4.055
10.307,4.061
10.324,4.067
10.341,4.073
10.357,4.080
10.374,4.086
10.390,4.092
10.407,4.098
10.423,4.105
10.440,4.111
10.456,4.118
10.472,4.125
10.489,4.131
10.505,4.138
10.521,4.145
10.537,4.152
10.554,4.159
10.570,4.166
10.586,4.173
10.602,4.181
10.618,4.188
10.634,4.195
10.649,4.203
10.665,4.211
10.681,4.218
10.697,4.226
10.712,4.234
10.728,4.242
10.743,4.250
10.759,4.258
10.774,4.266
10.789,4.274
10.804,4.282
10.820,4.291
10.835,4.299
10.850,4.308
10.864,4.316
10.879,4.325
10.894,4.334
10.908,4.343
10.923,4.352
10.937,4.361
10.952,4.370
10.966,4.379
10.980,4.388
10.994,4.397
11.008,4.406
11.021,4.416
11.035,4.425
11.049,4.434
11.062,4.444
11.075,4.453
11.088,4.463
11.101,4.472
11.114,4.482
11.126,4.491
11.139,4.501
