X,Y
22.677,26.444
22.713,26.395
22.752,26.345
22.794,26.292
22.840,26.238
22.889,26.181
22.941,26.123
22.996,26.063
23.054,26.001
23.114,25.937
23.177,25.872
23.242,25.806
23.309,25.739
23.378,25.670
23.450,25.601
23.523,25.530
23.597,25.459
23.674,25.387
23.751,25.314
23.830,25.241
23.911,25.167
23.992,25.093
24.074,25.019
24.156,24.944
24.240,24.870
24.323,24.796
24.407,24.722
24.491,24.648
24.576,24.575
24.660,24.502
24.744,24.430
24.828,24.358
24.911,24.287
24.993,24.217
25.075,24.148
25.156,24.080
25.237,24.013
25.317,23.947
25.397,23.881
25.476,23.816
25.554,23.752
25.632,23.689
25.710,23.627
25.787,23.565
25.863,23.504
25.939,23.443
26.015,23.383
26.091,23.324
26.166,23.265
26.240,23.207
26.314,23.149
26.388,23.092
26.462,23.035
26.535,22.979
26.608,22.923
26.681,22.868
26.754,22.813
26.826,22.759
26.898,22.704
26.970,22.650
27.042,22.597
27.113,22.543
27.185,22.490
27.256,22.438
27.328,22.385
27.399,22.332
27.470,22.280
27.541,22.228
27.612,22.176
27.683,22.124
27.754,22.072
27.825,22.021
27.896,21.969
27.966,21.917
28.037,21.866
28.108,21.814
28.179,21.762
28.250,21.711
28.321,21.659
28.392,21.607
28.463,21.555
28.534,21.504
28.605,21.451
28.676,21.399
28.747,21.347
28.819,21.294
28.890,21.241
28.962,21.188
29.033,21.135
29.105,21.082
29.177,21.028
29.249,20.974
29.321,20.920
29.394,20.865
29.466,20.810
29.539,20.755
29.612,20.699
29.685,20.643
29.758,20.587
29.831,20.531
29.905,20.475
29.978,20.420
30.052,20.364
30.126,20.308
30.199,20.253
30.273,20.198
30.347,20.143
30.421,20.088
30.496,20.034
30.570,19.981
30.644,19.928
30.718,19.876
30.793,19.824
30.867,19.773
30.942,19.723
31.016,19.674
31.090,19.626
31.165,19.579
31.239,19.533
31.314,19.487
31.388,19.444
31.463,19.401
31.537,19.359
31.611,19.319
31.686,19.280
31.760,19.243
31.834,19.207
31.908,19.172
31.982,19.138
32.056,19.105
32.130,19.074
32.204,19.043
32.278,19.013
32.351,18.985
32.425,18.957
32.498,18.930
32.572,18.904
32.645,18.878
32.718,18.853
32.791,18.829
32.864,18.805
32.936,18.782
33.009,18.759
33.081,18.736
33.154,18.714
33.226,18.692
33.298,18.671
33.369,18.649
33.441,18.628
33.512,18.606
33.583,18.585
33.654,18.564
33.724,18.544
33.794,18.525
33.862,18.506
33.930,18.489
33.996,18.474
34.061,18.461
