X,Y
22.388,27.835
22.413,27.812
22.440,27.790
22.469,27.769
22.500,27.748
22.534,27.727
22.569,27.707
22.607,27.688
22.647,27.669
22.689,27.650
22.732,27.632
22.777,27.615
22.824,27.598
22.873,27.581
22.924,27.566
22.976,27.550
23.029,27.535
23.084,27.521
23.140,27.508
23.197,27.495
23.256,27.482
23.316,27.470
23.377,27.459
23.439,27.448
23.502,27.438
23.566,27.428
23.631,27.419
23.696,27.411
23.763,27.403
23.830,27.396
23.897,27.390
23.965,27.384
24.034,27.379
24.103,27.374
24.173,27.370
24.243,27.367
24.313,27.364
24.384,27.361
24.455,27.360
24.526,27.358
24.598,27.358
24.670,27.357
24.743,27.358
24.815,27.358
24.888,27.360
24.961,27.361
25.035,27.363
25.108,27.366
25.181,27.369
25.255,27.372
25.329,27.376
25.403,27.380
25.476,27.384
25.550,27.389
25.624,27.394
25.698,27.399
25.771,27.405
25.845,27.410
25.919,27.417
25.992,27.423
26.065,27.430
26.138,27.436
26.211,27.443
26.284,27.451
26.356,27.458
26.428,27.466
26.500,27.473
26.572,27.481
26.643,27.489
26.714,27.497
26.784,27.506
26.854,27.514
26.924,27.522
26.993,27.531
27.062,27.539
27.130,27.548
27.198,27.557
27.265,27.565
27.332,27.575
27.399,27.584
27.465,27.593
27.530,27.603
27.595,27.613
27.660,27.624
27.724,27.634
27.788,27.645
27.851,27.657
27.914,27.669
27.976,27.681
28.038,27.694
28.099,27.707
28.160,27.720
28.220,27.734
28.280,27.749
28.339,27.764
28.398,27.780
28.457,27.797
28.514,27.814
28.572,27.831
28.629,27.850
28.685,27.869
28.741,27.889
28.797,27.909
28.851,27.931
28.906,27.953
28.960,27.976
29.013,28.000
29.066,28.024
29.119,28.050
29.170,28.077
29.222,28.104
29.273,28.132
29.323,28.161
29.373,28.191
29.423,28.221
29.472,28.252
29.520,28.284
29.569,28.316
29.616,28.348
29.664,28.381
29.711,28.415
29.758,28.449
29.804,28.483
29.850,28.518
29.896,28.553
29.941,28.588
29.986,28.623
30.031,28.658
30.075,28.694
30.119,28.729
30.163,28.765
30.207,28.800
30.250,28.835
30.293,28.871
30.336,28.906
30.379,28.940
30.421,28.975
30.464,29.009
30.506,29.043
30.548,29.077
30.589,29.110
30.631,29.142
30.673,29.174
30.714,29.206
30.755,29.237
30.796,29.269
30.836,29.299
30.876,29.330
30.916,29.361
30.955,29.391
30.993,29.422
31.032,29.453
31.069,29.484
31.106,29.515
31.142,29.546
31.177,29.578
31.212,29.610
31.246,29.642
31.279,29.675
31.311,29.709
31.342,29.743
31.372,29.778
31.401,29.813
31.429,29.849
31.456,29.887
31.482,29.925
31.506,29.964
31.529,30.004
31.551,30.045
31.572,30.087
31.592,30.131
31.610,30.175
31.627,30.220
31.643,30.266
31.658,30.313
31.672,30.360
31.685,30.408
31.698,30.456
31.709,30.505
31.721,30.554
31.731,30.603
31.741,30.652
31.750,30.702
31.759,30.751
31.768,30.800
31.776,30.849
31.785,30.897
31.793,30.946
31.801,30.993
31.808,31.040
31.816,31.087
31.824,31.133
31.833,31.178
31.841,31.222
31.850,31.265
31.859,31.307
31.869,31.348
31.879,31.387
31.889,31.426
31.900,31.464
31.911,31.501
31.922,31.537
31.932,31.573
31.943,31.608
31.954,31.643
31.965,31.678
31.975,31.713
31.985,31.748
31.994,31.783
32.003,31.818
32.012,31.854
32.019,31.890
32.026,31.927
32.032,31.964
32.038,32.003
32.042,32.042
32.045,32.082
32.047,32.124
32.048,32.167
32.047,32.211
32.045,32.257
32.043,32.303
32.039,32.351
32.033,32.400
32.027,32.450
32.020,32.501
32.011,32.553
32.002,32.606
31.992,32.659
31.980,32.713
31.968,32.768
31.955,32.824
31.941,32.880
31.926,32.936
31.910,32.993
31.893,33.050
31.876,33.108
31.858,33.166
31.839,33.224
31.820,33.282
31.800,33.340
31.779,33.399
31.757,33.457
31.735,33.515
31.713,33.573
31.690,33.631
31.666,33.688
31.642,33.745
31.618,33.802
31.593,33.858
31.567,33.914
31.542,33.969
31.516,34.024
31.489,34.078
31.462,34.131
31.435,34.184
31.407,34.237
31.379,34.289
31.351,34.340
31.322,34.392
31.292,34.442
31.262,34.493
31.232,34.543
31.201,34.592
31.170,34.641
31.138,34.690
31.106,34.739
31.073,34.787
31.040,34.835
31.006,34.882
30.971,34.929
30.937,34.976
30.901,35.023
30.865,35.069
30.829,35.115
30.791,35.161
30.754,35.207
30.715,35.253
30.677,35.298
30.637,35.343
30.597,35.388
30.556,35.433
30.515,35.478
30.473,35.523
30.431,35.567
30.387,35.612
30.344,35.656
30.299,35.701
30.255,35.745
30.209,35.789
30.164,35.833
30.118,35.877
30.072,35.921
30.025,35.965
29.979,36.008
29.932,36.052
29.885,36.095
29.839,36.138
29.792,36.181
29.745,36.224
29.699,36.266
29.653,36.309
29.606,36.351
29.561,36.393
29.515,36.435
29.470,36.477
29.425,36.519
29.381,36.560
29.338,36.601
29.294,36.642
29.252,36.683
29.210,36.724
29.169,36.764
29.129,36.804
29.090,36.844
29.051,36.884
29.014,36.923
28.977,36.962
28.942,37.001
28.907,37.040
28.874,37.078
28.842,37.116
28.810,37.154
28.779,37.192
28.749,37.229
28.720,37.266
28.691,37.302
28.662,37.339
28.634,37.374
28.606,37.410
28.578,37.445
28.550,37.480
28.522,37.514
28.494,37.548
28.465,37.581
28.436,37.614
28.407,37.647
28.377,37.679
28.346,37.710
28.315,37.742
28.283,37.772
28.249,37.802
28.215,37.832
28.180,37.861
28.143,37.889
28.105,37.917
28.066,37.944
28.025,37.971
27.983,37.997
27.939,38.023
27.895,38.048
27.849,38.072
27.803,38.095
27.756,38.118
27.707,38.140
27.658,38.162
27.609,38.182
27.558,38.202
27.507,38.221
27.456,38.240
27.404,38.257
27.352,38.274
27.300,38.290
27.247,38.305
27.195,38.319
27.142,38.332
27.089,38.345
27.036,38.356
26.984,38.367
26.932,38.376
26.880,38.385
26.828,38.392
26.777,38.399
26.727,38.405
26.677,38.409
26.627,38.413
26.579,38.415
26.531,38.417
26.484,38.417
26.437,38.417
26.392,38.415
26.347,38.412
26.302,38.409
26.258,38.404
26.215,38.398
26.173,38.392
26.131,38.384
26.090,38.376
26.049,38.366
26.009,38.356
25.970,38.344
25.931,38.332
25.893,38.319
25.855,38.305
25.818,38.290
25.782,38.274
25.746,38.257
25.710,38.239
25.675,38.220
25.641,38.201
25.607,38.181
25.574,38.159
25.541,38.137
25.508,38.114
25.476,38.091
25.444,38.066
25.413,38.040
25.382,38.014
25.351,37.986
25.320,37.957
25.290,37.928
25.260,37.898
25.229,37.866
25.199,37.834
25.170,37.800
25.140,37.766
25.110,37.731
25.080,37.694
25.050,37.657
25.021,37.618
24.991,37.578
24.961,37.538
24.931,37.496
24.900,37.453
24.870,37.409
24.839,37.364
24.808,37.318
24.777,37.270
24.745,37.222
24.714,37.173
24.682,37.122
24.650,37.071
24.618,37.019
24.586,36.967
24.554,36.913
24.522,36.859
24.490,36.804
24.458,36.748
24.426,36.692
24.393,36.635
24.361,36.577
24.329,36.519
24.298,36.461
24.266,36.402
24.234,36.343
24.203,36.283
24.172,36.223
24.141,36.163
24.110,36.103
24.079,36.043
24.049,35.982
24.019,35.921
23.989,35.860
23.960,35.800
23.931,35.739
23.902,35.678
23.874,35.617
23.846,35.557
23.819,35.496
23.792,35.436
23.765,35.376
23.739,35.317
23.714,35.258
23.689,35.199
23.664,35.140
23.640,35.082
23.617,35.024
23.594,34.967
23.571,34.909
23.548,34.852
23.526,34.795
23.505,34.739
23.483,34.682
23.462,34.626
23.441,34.570
23.420,34.514
23.400,34.458
23.380,34.402
23.359,34.347
23.339,34.292
23.319,34.236
23.299,34.181
23.280,34.126
23.260,34.070
23.240,34.015
23.220,33.960
23.200,33.905
23.180,33.849
23.160,33.794
23.140,33.739
23.119,33.683
23.099,33.628
23.078,33.572
23.057,33.516
23.036,33.460
23.015,33.404
22.993,33.348
22.971,33.292
22.948,33.235
22.926,33.178
22.903,33.121
22.880,33.064
22.856,33.007
22.833,32.950
22.810,32.893
22.786,32.836
22.762,32.779
22.739,32.722
22.715,32.665
22.691,32.608
22.668,32.551
22.644,32.495
22.621,32.438
22.598,32.382
22.575,32.326
22.552,32.270
22.530,32.215
22.507,32.160
22.486,32.105
22.464,32.050
22.443,31.996
22.422,31.943
22.401,31.889
22.381,31.837
22.362,31.784
22.343,31.732
22.324,31.681
22.307,31.630
22.289,31.580
22.273,31.530
22.257,31.481
22.241,31.433
22.227,31.385
22.213,31.338
22.200,31.291
22.187,31.245
22.175,31.199
22.164,31.154
22.153,31.109
22.143,31.065
22.134,31.021
22.126,30.977
22.118,30.934
22.111,30.890
22.104,30.847
22.098,30.805
22.093,30.762
22.088,30.719
22.084,30.677
22.080,30.635
22.078,30.592
22.075,30.550
22.074,30.508
22.073,30.465
22.073,30.423
22.073,30.380
22.074,30.337
22.075,30.294
22.077,30.251
22.080,30.208
22.083,30.165
22.087,30.121
22.090,30.078
22.095,30.035
22.099,29.991
22.104,29.948
22.109,29.905
22.114,29.862
22.119,29.819
22.125,29.776
22.130,29.734
22.136,29.692
22.141,29.650
22.146,29.608
22.152,29.567
22.157,29.526
22.162,29.485
22.166,29.445
22.171,29.406
22.175,29.367
22.179,29.328
22.182,29.290
22.185,29.252
22.188,29.215
22.190,29.179
22.192,29.143
22.194,29.107
22.196,29.072
22.197,29.037
22.198,29.003
22.199,28.970
22.200,28.936
22.201,28.904
22.201,28.871
22.202,28.839
22.202,28.808
22.203,28.777
22.203,28.746
22.204,28.715
22.204,28.685
22.205,28.655
22.206,28.626
22.207,28.597
22.208,28.568
22.209,28.540
22.210,28.511
22.211,28.483
22.213,28.455
22.215,28.428
22.216,28.400
22.218,28.373
22.220,28.346
22.222,28.319
22.225,28.292
22.227,28.265
22.230,28.239
22.233,28.212
22.236,28.185
22.239,28.159
22.243,28.132
22.248,28.106
22.254,28.080
22.260,28.054
22.268,28.029
22.277,28.003
22.288,27.978
22.300,27.953
22.313,27.929
22.329,27.905
22.347,27.881
22.366,27.858
22.388,27.835
