X,Y
134.692,62.386
134.704,62.277
134.721,62.166
134.744,62.052
134.771,61.936
134.804,61.817
134.841,61.697
134.883,61.575
134.930,61.452
134.981,61.327
135.036,61.202
135.095,61.075
135.158,60.948
135.225,60.820
135.295,60.692
135.369,60.564
135.446,60.436
135.527,60.309
135.610,60.182
135.696,60.056
135.784,59.931
135.876,59.807
135.969,59.684
136.065,59.563
136.162,59.444
136.262,59.327
136.364,59.211
136.467,59.098
136.572,58.986
136.679,58.876
136.787,58.768
136.898,58.661
137.010,58.556
137.124,58.453
137.239,58.351
137.356,58.250
137.475,58.150
137.595,58.052
137.717,57.955
137.840,57.859
137.965,57.764
138.091,57.670
138.219,57.577
138.349,57.485
138.479,57.393
138.611,57.302
138.745,57.212
138.879,57.123
139.016,57.034
139.153,56.945
139.292,56.857
139.431,56.770
139.573,56.682
139.715,56.595
139.858,56.508
140.003,56.422
140.148,56.335
140.295,56.249
140.443,56.163
140.592,56.077
140.741,55.992
140.892,55.907
141.043,55.822
141.195,55.738
141.348,55.653
141.502,55.569
141.657,55.485
141.812,55.402
141.968,55.319
142.124,55.236
142.281,55.153
142.439,55.071
142.597,54.989
142.756,54.907
142.915,54.825
143.074,54.744
143.234,54.663
143.394,54.583
143.555,54.502
143.715,54.422
143.876,54.343
144.037,54.263
144.199,54.184
144.360,54.105
144.522,54.027
144.683,53.949
144.845,53.871
145.006,53.793
145.168,53.716
145.329,53.640
145.491,53.564
145.652,53.488
145.813,53.413
145.974,53.338
146.134,53.264
146.294,53.190
146.454,53.117
146.614,53.044
146.773,52.972
146.932,52.901
147.091,52.830
147.249,52.760
147.406,52.690
147.563,52.621
147.719,52.553
147.875,52.486
148.030,52.419
148.184,52.353
148.338,52.288
148.491,52.224
148.643,52.160
148.795,52.098
148.945,52.036
149.095,51.975
149.244,51.915
149.392,51.855
149.540,51.797
149.687,51.740
149.833,51.684
149.979,51.628
150.124,51.574
150.270,51.521
150.415,51.469
150.560,51.418
150.705,51.369
150.851,51.320
150.996,51.273
151.142,51.227
151.288,51.182
151.434,51.139
151.581,51.097
151.729,51.056
151.877,51.016
152.026,50.978
152.176,50.942
152.327,50.907
152.479,50.873
152.632,50.841
152.787,50.811
152.942,50.782
153.099,50.755
153.258,50.729
153.417,50.705
153.578,50.683
153.740,50.662
153.902,50.643
154.064,50.626
154.227,50.610
154.389,50.597
154.552,50.585
154.714,50.575
154.875,50.566
155.036,50.560
155.196,50.555
155.355,50.552
155.512,50.551
155.667,50.552
155.821,50.555
155.973,50.560
156.123,50.567
156.270,50.576
156.415,50.586
156.557,50.599
156.696,50.614
156.832,50.631
156.965,50.650
157.094,50.671
157.219,50.694
157.340,50.719
157.458,50.747
157.571,50.777
157.681,50.810
157.787,50.845
157.889,50.884
157.987,50.926
158.082,50.971
158.172,51.019
158.258,51.072
158.341,51.128
158.420,51.188
158.494,51.252
158.565,51.320
158.632,51.393
158.696,51.471
158.755,51.553
158.810,51.640
158.862,51.732
158.909,51.829
158.953,51.931
158.993,52.037
159.029,52.148
159.062,52.263
159.091,52.382
159.117,52.505
159.139,52.631
159.158,52.761
159.173,52.895
159.185,53.031
159.193,53.171
159.198,53.314
159.200,53.459
159.199,53.607
159.195,53.758
159.187,53.910
159.177,54.065
159.164,54.222
159.147,54.380
159.128,54.540
159.106,54.702
159.081,54.865
159.054,55.029
159.023,55.194
158.990,55.360
158.955,55.528
158.917,55.697
158.877,55.866
158.835,56.037
158.790,56.209
158.743,56.382
158.694,56.556
158.643,56.731
158.590,56.906
158.535,57.083
158.478,57.261
158.420,57.439
158.360,57.618
158.298,57.798
158.235,57.978
158.170,58.160
158.104,58.342
158.037,58.524
157.968,58.708
157.898,58.891
157.827,59.076
157.755,59.261
157.682,59.446
157.608,59.632
157.533,59.818
157.458,60.005
157.382,60.192
157.305,60.380
157.227,60.567
157.149,60.755
157.071,60.944
156.993,61.132
156.914,61.320
156.835,61.508
156.756,61.696
156.678,61.883
156.599,62.069
156.521,62.255
156.443,62.441
156.365,62.625
156.288,62.808
156.212,62.990
156.136,63.171
