X,Y
136.746,65.331
136.823,65.249
136.913,65.172
137.015,65.098
137.128,65.027
137.252,64.961
137.385,64.898
137.526,64.839
137.675,64.784
137.830,64.731
137.991,64.682
138.157,64.636
138.326,64.594
138.499,64.554
138.673,64.517
138.849,64.483
139.025,64.452
139.199,64.423
139.373,64.397
139.544,64.373
139.712,64.352
139.880,64.333
140.045,64.316
140.210,64.302
140.374,64.290
140.537,64.280
140.701,64.273
140.864,64.267
141.028,64.264
141.193,64.263
141.359,64.263
141.526,64.266
141.695,64.270
141.867,64.276
142.040,64.285
142.217,64.294
142.397,64.306
142.580,64.319
142.766,64.334
142.956,64.351
143.150,64.369
143.346,64.389
143.544,64.411
143.744,64.434
143.945,64.459
144.147,64.486
144.350,64.514
144.553,64.545
144.756,64.577
144.957,64.611
145.158,64.646
145.357,64.684
145.554,64.723
145.748,64.765
145.939,64.808
146.127,64.853
146.312,64.900
146.492,64.949
146.667,65.000
146.837,65.053
147.002,65.108
147.161,65.165
147.315,65.224
147.463,65.285
147.607,65.349
147.746,65.416
147.881,65.485
148.013,65.557
148.141,65.633
148.267,65.712
148.390,65.794
148.510,65.880
148.629,65.969
148.746,66.063
148.863,66.160
148.978,66.262
149.093,66.368
149.208,66.479
149.323,66.594
149.439,66.714
149.555,66.839
149.670,66.967
149.786,67.100
149.902,67.236
150.017,67.375
150.131,67.517
150.244,67.663
150.357,67.811
150.468,67.961
150.578,68.113
150.686,68.267
150.792,68.422
150.897,68.579
151.000,68.737
151.100,68.896
151.198,69.055
151.294,69.214
151.386,69.373
151.476,69.533
151.562,69.691
151.646,69.849
151.726,70.006
151.803,70.163
151.878,70.319
151.950,70.475
152.018,70.630
152.085,70.784
152.148,70.938
152.209,71.091
152.268,71.243
152.324,71.395
152.378,71.547
152.429,71.698
152.479,71.848
152.526,71.998
152.572,72.147
152.615,72.296
152.657,72.445
152.697,72.592
152.735,72.740
152.770,72.887
152.803,73.033
152.834,73.180
152.861,73.326
152.885,73.472
152.905,73.618
152.921,73.763
152.934,73.909
152.941,74.055
152.944,74.201
152.941,74.347
152.933,74.494
152.920,74.641
152.900,74.788
152.875,74.935
152.842,75.083
152.804,75.232
152.759,75.381
152.709,75.530
152.653,75.679
152.593,75.829
152.529,75.978
152.460,76.127
152.388,76.276
152.312,76.424
152.234,76.572
152.153,76.719
152.070,76.866
151.986,77.012
151.900,77.156
151.813,77.300
151.726,77.443
151.639,77.585
151.552,77.725
151.466,77.863
151.380,78.001
151.294,78.137
151.207,78.271
151.120,78.405
151.032,78.537
150.941,78.667
150.849,78.797
150.755,78.925
150.658,79.052
150.558,79.178
150.454,79.302
150.346,79.426
150.234,79.548
150.118,79.670
149.996,79.790
149.869,79.909
149.736,80.028
149.596,80.145
149.451,80.262
149.299,80.377
149.142,80.491
148.979,80.605
148.811,80.717
148.640,80.828
148.464,80.937
148.284,81.046
148.102,81.153
147.917,81.258
147.729,81.363
147.540,81.465
147.350,81.567
147.158,81.666
146.966,81.764
146.774,81.861
146.582,81.955
146.391,82.048
146.201,82.139
146.013,82.228
145.827,82.315
145.643,82.401
145.462,82.484
145.285,82.565
145.111,82.644
144.940,82.721
144.773,82.796
144.609,82.869
144.448,82.940
144.290,83.009
144.135,83.077
143.983,83.142
143.833,83.206
143.685,83.269
143.540,83.330
143.397,83.389
143.256,83.447
143.118,83.503
142.981,83.558
142.845,83.611
142.712,83.663
142.579,83.714
142.448,83.764
142.319,83.812
142.190,83.859
142.063,83.903
141.937,83.946
141.812,83.985
141.689,84.021
141.566,84.054
141.444,84.084
141.324,84.109
141.204,84.130
141.086,84.146
140.968,84.157
140.851,84.163
140.735,84.163
140.620,84.157
140.506,84.145
140.393,84.126
140.282,84.101
140.172,84.069
140.064,84.029
139.958,83.983
139.854,83.928
139.752,83.866
139.652,83.796
139.555,83.718
139.461,83.632
139.370,83.536
139.282,83.432
139.197,83.320
139.115,83.201
139.035,83.076
138.958,82.947
138.882,82.814
138.808,82.678
138.736,82.541
138.664,82.404
138.594,82.269
138.523,82.135
138.453,82.005
138.383,81.880
138.313,81.760
138.242,81.646
138.171,81.541
138.098,81.445
138.023,81.359
137.948,81.281
137.872,81.210
137.795,81.145
137.717,81.084
137.640,81.026
137.562,80.969
137.485,80.911
137.408,80.851
137.331,80.788
137.256,80.720
137.182,80.645
137.108,80.564
137.037,80.475
136.966,80.379
136.897,80.277
136.830,80.168
136.764,80.053
136.699,79.932
136.636,79.806
136.574,79.674
136.514,79.536
136.456,79.394
136.399,79.246
136.344,79.094
136.291,78.938
136.239,78.777
136.189,78.613
136.141,78.445
136.095,78.273
136.050,78.099
136.006,77.923
135.963,77.745
135.922,77.565
135.881,77.385
135.840,77.205
135.801,77.025
135.761,76.846
135.722,76.668
135.682,76.492
135.643,76.318
135.603,76.147
135.563,75.979
135.522,75.814
135.480,75.654
135.437,75.499
135.393,75.348
135.348,75.204
135.302,75.065
135.254,74.932
135.207,74.803
135.159,74.678
135.112,74.557
135.067,74.438
135.023,74.320
134.982,74.204
134.944,74.088
134.909,73.971
134.879,73.853
134.852,73.734
134.831,73.612
134.816,73.486
134.807,73.356
134.804,73.222
134.807,73.084
134.816,72.941
134.829,72.796
134.848,72.647
134.870,72.496
134.896,72.342
134.926,72.187
134.958,72.030
134.992,71.872
135.028,71.713
135.065,71.553
135.103,71.394
135.142,71.234
135.180,71.076
135.218,70.918
135.254,70.762
135.289,70.608
135.323,70.455
135.355,70.305
135.386,70.156
135.416,70.009
135.446,69.864
135.475,69.721
135.504,69.579
135.534,69.439
135.564,69.300
135.595,69.163
135.626,69.028
135.660,68.893
135.694,68.761
135.731,68.629
135.770,68.499
135.811,68.369
135.855,68.241
135.900,68.114
135.948,67.988
135.997,67.864
136.046,67.740
136.095,67.617
136.143,67.495
136.191,67.375
136.236,67.255
136.279,67.136
136.319,67.018
136.356,66.901
136.388,66.785
136.416,66.670
136.439,66.556
136.456,66.443
136.469,66.330
136.481,66.220
136.491,66.111
136.503,66.004
136.517,65.899
136.535,65.796
136.559,65.697
136.591,65.600
136.631,65.507
136.682,65.417
136.746,65.331
