X,Y
47.272,16.738
47.296,16.687
47.327,16.635
47.364,16.584
47.408,16.531
47.458,16.479
47.515,16.426
47.576,16.373
47.643,16.319
47.716,16.264
47.793,16.209
47.875,16.153
47.962,16.097
48.053,16.040
48.148,15.982
48.247,15.923
48.349,15.863
48.455,15.803
48.564,15.742
48.675,15.679
48.789,15.616
48.906,15.551
49.025,15.486
49.145,15.419
49.268,15.351
49.391,15.282
49.516,15.212
49.642,15.140
49.769,15.067
49.896,14.993
50.023,14.917
50.151,14.840
50.279,14.762
50.407,14.683
50.536,14.602
50.664,14.520
50.793,14.437
50.922,14.353
51.052,14.269
51.181,14.183
51.310,14.096
51.439,14.009
51.569,13.921
51.698,13.832
51.828,13.742
51.957,13.652
52.086,13.561
52.215,13.470
52.344,13.378
52.473,13.286
52.601,13.193
52.730,13.100
52.858,13.007
52.985,12.914
53.113,12.820
53.240,12.727
53.367,12.633
53.493,12.539
53.619,12.446
53.745,12.352
53.870,12.258
53.994,12.165
54.119,12.072
54.242,11.979
54.365,11.887
54.487,11.795
54.609,11.704
54.730,11.612
54.851,11.522
54.970,11.432
55.089,11.343
55.207,11.254
55.325,11.166
55.442,11.079
55.558,10.992
55.674,10.906
55.789,10.821
55.904,10.736
56.018,10.652
56.132,10.569
56.245,10.486
56.358,10.404
56.470,10.322
56.583,10.241
56.695,10.161
56.806,10.081
56.918,10.002
57.030,9.923
57.141,9.846
57.252,9.768
57.363,9.692
57.475,9.616
57.586,9.540
57.697,9.465
57.808,9.391
57.920,9.317
58.032,9.244
58.143,9.171
58.256,9.099
58.368,9.028
58.481,8.957
58.594,8.887
58.707,8.817
58.821,8.748
58.935,8.679
59.050,8.611
59.165,8.543
59.281,8.476
59.397,8.410
59.514,8.344
59.632,8.279
59.749,8.214
59.868,8.150
59.986,8.086
60.106,8.023
60.225,7.961
60.345,7.899
60.465,7.838
60.586,7.777
60.707,7.717
60.828,7.658
60.949,7.600
61.071,7.542
61.193,7.485
61.315,7.428
61.438,7.372
61.560,7.317
61.683,7.263
61.806,7.209
61.929,7.156
62.052,7.104
62.175,7.053
62.299,7.002
62.422,6.952
62.545,6.903
62.669,6.855
62.792,6.807
62.916,6.761
63.039,6.715
63.162,6.670
63.286,6.625
63.409,6.582
63.532,6.539
63.654,6.498
63.777,6.457
63.900,6.417
64.023,6.378
64.146,6.339
64.268,6.302
64.391,6.265
64.514,6.230
64.638,6.195
64.761,6.161
64.884,6.128
65.008,6.095
65.132,6.064
65.256,6.033
65.381,6.004
65.506,5.975
65.631,5.947
65.756,5.920
65.882,5.894
66.009,5.868
66.136,5.844
66.263,5.820
66.391,5.798
66.520,5.776
66.649,5.755
66.778,5.735
66.909,5.716
67.040,5.698
67.172,5.680
67.304,5.664
67.437,5.648
67.571,5.633
67.706,5.619
67.842,5.607
67.978,5.595
68.115,5.584
68.252,5.574
68.389,5.565
68.527,5.558
68.664,5.551
68.801,5.547
68.937,5.544
69.072,5.542
69.206,5.542
69.340,5.544
69.471,5.547
69.602,5.553
69.730,5.560
69.857,5.569
69.981,5.581
70.103,5.595
70.223,5.611
70.340,5.629
70.454,5.650
70.565,5.673
70.673,5.699
70.777,5.727
70.878,5.758
70.975,5.792
71.068,5.829
71.156,5.869
71.240,5.912
71.320,5.958
71.395,6.007
71.465,6.060
71.530,6.116
71.590,6.175
71.645,6.237
71.696,6.302
71.743,6.370
71.785,6.441
71.824,6.515
71.860,6.591
71.891,6.670
71.920,6.751
71.945,6.835
71.968,6.920
71.988,7.008
72.005,7.098
72.021,7.190
72.034,7.284
72.045,7.380
72.055,7.477
72.063,7.576
72.070,7.676
72.076,7.778
72.081,7.881
72.085,7.985
72.089,8.090
72.092,8.197
72.095,8.304
72.097,8.412
72.098,8.521
72.099,8.631
72.099,8.741
72.098,8.852
72.096,8.964
72.094,9.077
72.090,9.189
72.086,9.302
72.081,9.416
72.074,9.530
72.067,9.644
72.058,9.758
72.049,9.873
72.038,9.987
72.026,10.101
72.012,10.216
71.998,10.330
71.982,10.444
71.965,10.557
71.946,10.671
71.926,10.783
71.904,10.896
71.881,11.008
71.857,11.119
71.830,11.230
71.803,11.340
71.773,11.449
71.742,11.558
71.709,11.666
71.675,11.773
71.640,11.880
71.603,11.987
71.564,12.093
71.525,12.198
71.484,12.303
71.442,12.408
71.399,12.513
71.354,12.617
71.309,12.721
71.263,12.825
71.215,12.929
71.167,13.033
71.118,13.137
71.068,13.241
71.017,13.345
70.965,13.449
70.913,13.553
70.860,13.657
70.807,13.762
70.753,13.867
70.698,13.972
70.643,14.078
70.588,14.184
70.532,14.290
70.476,14.397
70.420,14.504
70.364,14.613
70.307,14.721
70.250,14.830
70.193,14.940
70.136,15.050
70.079,15.160
70.022,15.271
69.965,15.382
69.908,15.494
69.851,15.606
69.794,15.718
69.738,15.830
69.681,15.942
69.625,16.055
69.569,16.167
69.513,16.280
69.458,16.393
69.403,16.506
69.348,16.618
69.294,16.731
69.240,16.844
69.187,16.956
69.134,17.068
69.082,17.180
69.030,17.292
68.979,17.404
68.929,17.515
68.879,17.626
68.830,17.737
68.782,17.847
68.735,17.957
68.688,18.067
68.642,18.175
68.597,18.284
68.553,18.391
68.509,18.498
68.466,18.604
68.423,18.709
68.379,18.813
68.336,18.915
68.292,19.016
68.248,19.116
68.203,19.213
68.157,19.309
68.111,19.403
68.063,19.495
68.014,19.585
67.963,19.673
67.911,19.758
67.857,19.841
67.801,19.921
67.743,19.998
67.683,20.072
67.620,20.144
67.555,20.212
67.487,20.277
67.416,20.339
67.341,20.397
67.264,20.451
67.183,20.502
67.099,20.549
67.012,20.593
66.921,20.632
66.827,20.669
66.730,20.702
66.630,20.732
66.527,20.760
66.421,20.784
66.313,20.806
66.202,20.825
66.088,20.841
65.972,20.856
65.854,20.868
65.733,20.878
65.610,20.886
65.486,20.892
65.359,20.897
65.230,20.900
65.099,20.902
64.967,20.902
64.833,20.901
64.698,20.899
64.561,20.897
64.423,20.893
64.284,20.889
64.143,20.885
64.001,20.880
63.859,20.875
63.715,20.869
63.571,20.864
63.426,20.859
63.281,20.854
63.134,20.850
62.988,20.846
62.841,20.842
62.694,20.839
62.547,20.836
62.400,20.834
62.253,20.832
62.107,20.830
61.960,20.829
61.814,20.828
61.669,20.828
61.524,20.828
61.380,20.828
61.237,20.829
61.095,20.831
60.954,20.833
60.814,20.835
60.675,20.838
60.538,20.841
60.402,20.845
60.268,20.849
60.135,20.854
60.004,20.859
59.875,20.865
59.748,20.871
59.624,20.878
59.501,20.885
59.381,20.893
59.263,20.901
59.148,20.910
59.035,20.919
58.925,20.929
58.818,20.940
58.713,20.950
58.612,20.962
58.514,20.974
58.419,20.986
58.327,21.000
58.237,21.014
58.149,21.028
58.064,21.044
57.980,21.060
57.899,21.077
57.818,21.095
57.739,21.114
57.661,21.134
57.584,21.155
57.508,21.177
57.432,21.200
57.357,21.225
57.281,21.250
57.205,21.277
57.129,21.305
57.053,21.335
56.975,21.366
56.897,21.398
56.817,21.432
56.736,21.467
56.654,21.504
56.570,21.542
56.485,21.581
56.399,21.621
56.313,21.662
56.225,21.703
56.136,21.744
56.047,21.786
55.958,21.827
55.867,21.868
55.777,21.908
55.686,21.948
55.596,21.986
55.505,22.024
55.414,22.060
55.324,22.095
55.234,22.128
55.144,22.159
55.055,22.188
54.966,22.215
54.879,22.239
54.792,22.261
54.706,22.280
54.621,22.295
54.537,22.308
54.454,22.317
54.373,22.324
54.292,22.327
54.212,22.328
54.133,22.326
54.054,22.321
53.975,22.315
53.897,22.306
53.819,22.296
53.741,22.283
53.663,22.269
53.585,22.254
53.507,22.237
53.428,22.220
53.348,22.201
53.268,22.181
53.187,22.161
53.106,22.141
53.023,22.119
52.939,22.098
52.854,22.077
52.768,22.056
52.680,22.035
52.592,22.014
52.503,21.992
52.413,21.971
52.322,21.950
52.231,21.928
52.140,21.906
52.049,21.884
51.958,21.861
51.867,21.838
51.776,21.815
51.686,21.791
51.597,21.766
51.508,21.741
51.420,21.715
51.333,21.689
51.248,21.662
51.164,21.634
51.081,21.606
51.000,21.576
50.920,21.546
50.843,21.515
50.767,21.482
50.694,21.449
50.623,21.415
50.553,21.380
50.486,21.345
50.420,21.310
50.356,21.275
50.293,21.239
50.231,21.204
50.171,21.170
50.112,21.136
50.054,21.103
49.997,21.070
49.941,21.039
49.886,21.009
49.831,20.981
49.777,20.954
49.724,20.929
49.670,20.905
49.617,20.884
49.565,20.865
49.512,20.848
49.460,20.834
49.407,20.821
49.355,20.810
49.303,20.802
49.250,20.796
49.197,20.791
49.144,20.789
49.091,20.789
49.037,20.791
48.983,20.796
48.929,20.802
48.874,20.810
48.819,20.820
48.765,20.830
48.711,20.840
48.658,20.849
48.607,20.856
48.558,20.860
48.511,20.861
48.467,20.858
48.426,20.849
48.388,20.835
48.355,20.814
48.326,20.785
48.302,20.750
48.281,20.707
48.265,20.658
48.251,20.603
48.240,20.543
48.231,20.479
48.225,20.410
48.220,20.338
48.216,20.264
48.214,20.187
48.211,20.109
48.209,20.029
48.206,19.950
48.202,19.870
48.197,19.791
48.191,19.713
48.183,19.638
48.172,19.565
48.159,19.494
