X,Y
7.496,3.293
7.503,3.287
7.511,3.281
7.520,3.276
7.529,3.272
7.539,3.268
7.550,3.264
7.561,3.261
7.573,3.258
7.586,3.255
7.599,3.253
7.613,3.251
7.627,3.249
7.642,3.248
7.658,3.247
7.674,3.246
7.690,3.246
7.707,3.246
7.724,3.246
7.742,3.246
7.760,3.247
7.778,3.248
7.797,3.249
7.817,3.250
7.836,3.252
7.856,3.254
7.876,3.255
7.896,3.258
7.917,3.260
7.938,3.262
7.959,3.265
7.980,3.267
8.002,3.270
8.023,3.273
8.045,3.276
8.067,3.279
8.089,3.282
8.111,3.286
8.133,3.289
8.155,3.292
8.177,3.296
8.199,3.299
8.222,3.303
8.244,3.306
8.266,3.310
8.288,3.313
8.309,3.316
8.331,3.320
8.353,3.323
8.374,3.326
8.395,3.330
8.417,3.333
8.437,3.336
8.458,3.339
8.479,3.342
8.499,3.345
8.520,3.348
8.540,3.351
8.560,3.354
8.580,3.357
8.600,3.360
8.620,3.362
8.640,3.365
8.659,3.368
8.679,3.371
8.698,3.373
8.717,3.376
8.737,3.379
8.756,3.382
8.775,3.384
8.794,3.387
8.813,3.390
8.832,3.393
8.851,3.396
8.869,3.398
8.888,3.401
8.907,3.404
8.926,3.407
8.944,3.410
8.963,3.413
8.981,3.416
9.000,3.419
9.019,3.422
9.037,3.425
9.056,3.428
9.074,3.431
9.093,3.435
9.112,3.438
9.130,3.441
9.149,3.445
9.168,3.448
9.186,3.452
9.205,3.456
9.224,3.459
9.243,3.463
9.262,3.467
9.281,3.471
9.300,3.475
9.319,3.479
9.338,3.484
9.357,3.488
9.377,3.493
9.396,3.497
9.416,3.502
9.435,3.507
9.455,3.512
9.475,3.517
9.495,3.522
9.515,3.527
9.535,3.533
9.555,3.538
9.575,3.544
9.595,3.549
9.615,3.555
9.635,3.561
9.656,3.567
9.676,3.573
9.696,3.579
9.717,3.585
9.737,3.591
9.757,3.598
9.778,3.604
9.798,3.611
9.818,3.617
9.839,3.624
9.859,3.631
9.879,3.637
9.900,3.644
9.920,3.651
9.940,3.658
9.961,3.665
9.981,3.672
10.001,3.680
10.021,3.687
10.041,3.694
10.061,3.702
10.081,3.709
10.101,3.717
10.121,3.724
10.140,3.732
10.160,3.740
10.180,3.747
10.199,3.755
10.218,3.763
10.238,3.771
10.257,3.779
10.276,3.787
10.295,3.795
10.314,3.803
10.332,3.811
10.351,3.819
10.369,3.827
10.388,3.835
10.406,3.844
10.424,3.852
10.442,3.860
10.459,3.869
10.477,3.877
10.494,3.885
10.511,3.894
10.528,3.902
10.545,3.911
10.562,3.919
10.579,3.928
10.595,3.936
10.611,3.945
10.627,3.953
10.643,3.962
10.659,3.971
10.675,3.979
10.690,3.988
10.705,3.997
10.721,4.005
10.736,4.014
10.751,4.023
10.765,4.032
10.780,4.041
10.795,4.050
10.809,4.059
10.823,4.068
10.837,4.077
10.852,4.086
10.865,4.095
10.879,4.105
10.893,4.114
10.907,4.123
10.920,4.132
10.933,4.142
10.947,4.151
10.960,4.161
10.973,4.170
10.986,4.180
10.999,4.189
11.011,4.199
11.024,4.209
11.037,4.219
11.049,4.229
11.062,4.238
11.074,4.248
11.086,4.258
11.098,4.268
11.111,4.279
11.123,4.289
11.135,4.299
11.146,4.309
11.158,4.320
11.170,4.330
11.182,4.340
11.193,4.351
11.205,4.362
11.217,4.372
11.228,4.383
11.240,4.394
11.251,4.404
11.263,4.415
11.274,4.426
11.285,4.437
11.297,4.448
11.308,4.459
11.319,4.470
11.331,4.481
11.342,4.492
11.353,4.504
11.365,4.515
11.376,4.526
11.388,4.537
11.399,4.549
11.411,4.560
11.422,4.571
11.434,4.583
11.445,4.594
11.457,4.606
11.468,4.617
